feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.078,0.0,0.0,False,OK,0.0,250,75
win_pct_diff,0.0151,-0.0023,0.196972,0.118972,0.078,0.017356,0.014265,False,OK,2.733,250,75
elo_diff,8.6543,-2.6889,0.214279,0.136279,0.078,11.343174,16.078051,False,OK,2.163,250,75
rest_days_diff,0.0533,-0.016,0.04235,0.0,0.078,0.069333,0.059907,False,OK,0.005,250,75
sp_era_diff,-0.3717,0.1172,0.165728,0.087361,0.078367,-0.488905,0.413075,False,OK,1.917,245,75
sp_era_5g_diff,-0.2537,0.0519,0.123467,0.045248,0.078219,-0.305631,0.587232,False,OK,2.096,247,75
sp_fbvelo_diff,-0.3416,-0.0768,0.081365,0.003072,0.078293,-0.26474,0.569157,False,OK,2.955,246,75
lineup_woba_mean_diff,0.0021,-0.0007,0.128147,0.050147,0.078,0.002841,0.002778,False,OK,1.939,250,75
lineup_woba_top3_diff,0.0033,-0.0013,0.092141,0.014141,0.078,0.004571,0.004786,False,OK,1.87,250,75
lineup_woba_std_diff,-0.0025,0.0001,0.132352,0.054352,0.078,-0.002671,0.002119,False,OK,1.504,250,75
woba_30g_diff,0.005,-0.0013,0.243331,0.165331,0.078,0.006303,0.004836,False,OK,1.551,250,75
bullpen_whip_diff,-0.0158,-0.0096,0.214285,0.136066,0.078219,-0.006246,0.066088,False,OK,2.587,247,75
bullpen_whip_3g_diff,-0.1668,0.0246,0.132487,0.054268,0.078219,-0.19136,0.124564,False,OK,1.714,247,75
bullpen_pitches_diff,-12.3067,9.824,0.125536,0.047536,0.078,-22.130667,14.380635,False,OK,1.689,250,75
team_barrel_diff,0.0011,-0.0006,0.192312,0.114312,0.078,0.00176,0.002477,False,OK,1.418,250,75
team_hardhit_diff,0.0014,0.0027,0.129859,0.051859,0.078,-0.00134,0.010263,False,OK,0.24,250,75
team_exitvelo_diff,0.105,0.1851,0.191737,0.113737,0.078,-0.080166,0.342218,False,OK,1.403,250,75
lineup_handedness_matchup_advantage,0.0239,0.0011,0.163849,0.085849,0.078,0.022732,0.018948,False,OK,2.575,250,75
travel_fatigue_diff,-0.1067,-0.136,0.001814,0.0,0.078,0.029333,0.128391,False,OK,0.021,250,75
closer_availability_diff,-0.0267,-0.016,0.000685,0.0,0.078,-0.010667,0.065822,False,OK,0.008,250,75
