game_pk,game_date,home_team,away_team,home_score,away_score,home_win,total_runs,home_starter_id,away_starter_id,venue,rest_days_home,rest_days_away,sp_era_home,sp_k9_home,sp_bb9_home,sp_whip_home,sp_fip_home,sp_xwoba_home,sp_era_away,sp_k9_away,sp_bb9_away,sp_whip_away,sp_fip_away,sp_xwoba_away,sp_era_5g_home,sp_k9_5g_home,sp_era_5g_away,sp_k9_5g_away,woba_30g_home,team_iso_30g_home,team_k_rate_30g_home,team_bb_rate_30g_home,woba_30g_away,team_iso_30g_away,team_k_rate_30g_away,team_bb_rate_30g_away,bullpen_whip_10g_home,bullpen_era_10g_home,bullpen_whip_10g_away,bullpen_era_10g_away,bullpen_whip_3g_home,bullpen_whip_3g_away,sp_fbvelo_3g_home,sp_fbpct_3g_home,sp_whiff_3g_home,sp_xwoba_vs_l_home,sp_xwoba_vs_r_home,sp_fbvelo_3g_away,sp_fbpct_3g_away,sp_whiff_3g_away,sp_xwoba_vs_l_away,sp_xwoba_vs_r_away,team_barrel_15g_home,team_hardhit_15g_home,team_exitvelo_15g_home,team_barrel_15g_away,team_hardhit_15g_away,team_exitvelo_15g_away,opp_lefty_share_home,opp_lefty_share_away,bullpen_pitches_3d_home,bullpen_ip_3d_home,bullpen_pitches_3d_away,bullpen_ip_3d_away,lineup_ops_vs_l_home,lineup_ops_vs_r_home,lineup_ops_vs_l_away,lineup_ops_vs_r_away,lineup_ops_vs_starter_hand_home,lineup_ops_vs_starter_hand_away,time_zones_crossed_last_3d_home,time_zones_crossed_last_3d_away,closer_available_home,closer_available_away,lineup_woba_mean_home,lineup_woba_top3_home,lineup_woba_std_home,lineup_woba_mean_away,lineup_woba_top3_away,lineup_woba_std_away,sp_era_delta_home,sp_k9_delta_home,sp_bb9_delta_home,sp_whip_delta_home,sp_xwoba_delta_home,sp_fbvelo_delta_home,sp_fbpct_delta_home,sp_whiff_delta_home,woba_delta_home,team_iso_delta_home,team_k_rate_delta_home,team_bb_rate_delta_home,team_barrel_delta_home,team_hardhit_delta_home,team_exitvelo_delta_home,bullpen_whip_delta_home,bullpen_era_delta_home,lineup_woba_mean_delta_home,lineup_woba_top3_delta_home,sp_era_delta_away,sp_k9_delta_away,sp_bb9_delta_away,sp_whip_delta_away,sp_xwoba_delta_away,sp_fbvelo_delta_away,sp_fbpct_delta_away,sp_whiff_delta_away,woba_delta_away,team_iso_delta_away,team_k_rate_delta_away,team_bb_rate_delta_away,team_barrel_delta_away,team_hardhit_delta_away,team_exitvelo_delta_away,bullpen_whip_delta_away,bullpen_era_delta_away,lineup_woba_mean_delta_away,lineup_woba_top3_delta_away,home_starter_hand,away_starter_hand,league_k_pct,league_k_pct_cat_fastball,league_k_pct_cat_breaking,league_k_pct_cat_offspeed,league_xwoba_cat_fastball,league_xwoba_cat_breaking,league_xwoba_cat_offspeed,league_k_pct_fb_vs_l,league_k_pct_fb_vs_r,sp_k_pct_cat_fastball_home,sp_k_pct_cat_fastball_away,sp_k_pct_cat_breaking_home,sp_k_pct_cat_breaking_away,sp_k_pct_cat_offspeed_home,sp_k_pct_cat_offspeed_away,sp_usage_cat_fastball_home,sp_usage_cat_fastball_away,sp_usage_cat_breaking_home,sp_usage_cat_breaking_away,sp_usage_cat_offspeed_home,sp_usage_cat_offspeed_away,sp_xwoba_cat_fastball_home,sp_xwoba_cat_fastball_away,sp_xwoba_cat_breaking_home,sp_xwoba_cat_breaking_away,sp_xwoba_cat_offspeed_home,sp_xwoba_cat_offspeed_away,team_k_pct_cat_fastball_home,team_k_pct_cat_fastball_away,team_k_pct_cat_breaking_home,team_k_pct_cat_breaking_away,team_k_pct_cat_offspeed_home,team_k_pct_cat_offspeed_away,team_xwoba_cat_fastball_home,team_xwoba_cat_fastball_away,team_xwoba_cat_breaking_home,team_xwoba_cat_breaking_away,team_xwoba_cat_offspeed_home,team_xwoba_cat_offspeed_away,sp_k_pct_fb_vs_l_home,sp_k_pct_fb_vs_l_away,sp_k_pct_fb_vs_r_home,sp_k_pct_fb_vs_r_away,sp_pa_fb_vs_l_home,sp_pa_fb_vs_l_away,sp_pa_fb_vs_r_home,sp_pa_fb_vs_r_away,team_k_pct_fb_vs_l_home,team_k_pct_fb_vs_l_away,team_k_pct_fb_vs_r_home,team_k_pct_fb_vs_r_away,team_pa_fb_vs_l_home,team_pa_fb_vs_l_away,team_pa_fb_vs_r_home,team_pa_fb_vs_r_away,is_home,win_pct_diff,elo_diff,rest_days_diff,sp_era_diff,sp_era_5g_diff,sp_k9_diff,sp_k9_5g_diff,sp_fbvelo_diff,sp_fbpct_diff,sp_whiff_diff,sp_xwoba_diff,sp_xwoba_vs_l_diff,lineup_woba_mean_diff,lineup_woba_top3_diff,lineup_woba_std_diff,woba_30g_diff,bullpen_whip_diff,bullpen_whip_3g_diff,bullpen_pitches_diff,bullpen_ip_diff,team_barrel_diff,team_hardhit_diff,team_exitvelo_diff,lineup_handedness_matchup_advantage,travel_fatigue_diff,closer_availability_diff,dome_is_neutral,park_factor_slug_diff,wind_advantage_flyball_factor,air_density_velocity_boost,bullpen_meltdown_risk,pitcher_regression_indicator,lineup_depth_multiplier,ace_efficiency_factor,home_elo,away_elo,home_wins,home_losses,away_wins,away_losses,home_win_pct,away_win_pct,home_run_diff,away_run_diff,home_record,away_record,exp2_centered_k_diff,exp2_cat_k_fastball_diff,exp2_cat_xwoba_fastball_diff,exp2_cat_k_breaking_diff,exp2_cat_xwoba_breaking_diff,exp2_cat_k_offspeed_diff,exp2_cat_xwoba_offspeed_diff,exp2_cat_platoon_k_fastball_diff,game_id,start_time_utc,start_time_observed,lineup_actual_top3_delta_away,lineup_actual_top3_delta_home,lineup_actual_woba_delta_away,lineup_actual_woba_delta_home,lineup_rest_count_away,lineup_rest_count_home,park_wind_factor,air_density_level,dome_is_neutral_game,park_factor_slug
745444,2024-03-20,SD,LAD,2,5,0.0,7,506433,607192,Petco Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240320_LAD@SD,2024-03-20 19:00:00,False,,,,,,,0.0533,1.23108,0.0,-0.05
746175,2024-03-21,LAD,SD,11,15,0.0,26,808967,605397,Dodger Stadium,1.0,1.0,,,,,,,,,,,,,,,,,0.29062223,0.0,0.15555556,0.2,0.1844706,0.0,0.1764706,0.11764706,0.5,4.5,2.357143,23.142857,0.5,2.357143,,,,,,,,,,,0.0,0.32142857,88.192856,0.0,0.375,84.15,0.4117647,0.6,50.0,4.0,104.0,4.6666665,0.8,0.63703704,,0.5185185,0.63703704,0.5185185,0.0,0.0,1.0,1.0,0.30320853,0.303305,0.008290337,0.29878566,0.29657757,0.007458477,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,R,R,0.16455697,0.125,0.25,0.0,0.3715025,0.2583222,0.27271035,0.11111111,0.14285715,,,,,,,,,,,,,,,,,,,0.125,0.125,0.25,0.25,0.0,0.0,0.3715025,0.3715025,0.2583222,0.2583222,0.27271035,0.27271035,,,,,,,,,0.11111111,0.11111111,0.14285715,0.14285715,27.0,27.0,21.0,21.0,1.0,0.032258064516129004,23.698649223373195,0.0,,,,,,,,,,0.004422869999999968,0.006727429999999979,0.0008318600000000002,0.10615162999999997,-1.8571430000000002,-1.8571430000000002,-54.0,-0.6666664999999998,0.0,-0.053571429999999975,4.0428560000000004,0.11851854000000006,0.0,0.0,0.0,6.727429999999978e-05,,,100.285722,,2.9754548324099687e-05,,1511.8493246116866,1488.1506753883134,1,0,0,1,1.0,0.0,3,-3,1-0,0-1,,,,,,,,,20240321_SD@LAD,2024-03-21 19:00:00,False,,,,,,,-0.1083,1.21875,0.0,0.01
745687,2024-03-28,ATH,CLE,0,8,0.0,8,622072,669456,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_CLE@ATH,2024-03-28 19:00:00,False,,,,,,,-0.1454,1.23523,0.0,-0.01
746165,2024-03-28,LAD,STL,7,1,1.0,8,607192,571945,Dodger Stadium,6.0,,3.857143,5.785714,7.714286,1.2857143,1.2857143,0.3117873,,,,,,,3.857143,5.785714,,,0.35662112,0.069767445,0.16777778,0.16,,,,,1.8529412,17.470589,,,1.8529412,,96.316666,0.54545456,0.15584415,0.30381054,0.31710517,,,,,,0.014705882,0.3960084,88.15231,,,,,0.63,,,,,0.0,0.8634921,,,0.8634921,,0.0,0.0,1.0,1.0,0.3933112,0.3950022,0.016495934,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09010265,0.09169719,,,,,,,,,,,,,,,,,,,,R,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,0.0,,0.375,,,,0.6,,0.4,,,,0.33063462,,0.28351638,,,,,0.125,,0.2820513,,0.055555556,,0.40807205,,0.28911975,,0.4821875,0.0,,0.0,,6.0,,6.0,,,0.14035088,,0.10638298,,57.0,,47.0,1.0,0.0,-0.6495730664325947,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1499.3504269335674,1500.0,1,1,0,0,0.5,,-1,0,1-1,0-0,,,,,,,,,20240328_STL@LAD,2024-03-28 19:00:00,False,,,,,,,0.0,1.19068,0.0,0.01
747060,2024-03-28,BAL,LAA,11,3,1.0,14,669203,663776,Oriole Park at Camden Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,L,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_LAA@BAL,2024-03-28 19:00:00,False,,,,,,,0.3533,1.23641,0.0,-0.01
746737,2024-03-28,CIN,WSH,8,2,1.0,10,593423,680686,Great American Ball Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_WSH@CIN,2024-03-28 19:00:00,False,,,,,,,0.0079,1.18555,0.0,0.03
745116,2024-03-28,TB,TOR,2,8,0.0,10,621107,621244,Steinbrenner Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_TOR@TB,2024-03-28 19:00:00,False,,,,,,,0.0,1.18295,1.0,0.0
745445,2024-03-28,SD,SF,6,4,1.0,10,506433,657277,Petco Park,6.0,,0.0,8.1,8.1,1.5,0.9,0.26401636,,,,,,,0.0,8.1,,,0.32147115,0.08888889,0.16370699,0.1154273,,,,,2.25,21.9375,,,2.25,,94.14828,0.39726028,0.06849315,0.29264826,0.2010262,,,,,,0.013513514,0.3902027,87.02094,,,,,0.36625972,,,,,0.5,0.88315696,,,0.88315696,,0.0,0.0,1.0,1.0,0.3923652,0.39273316,0.0090096835,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09357953,0.09615556,,,,,,,,,,,,,,,,,,,,R,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,0.22222222,,0.0,,0.0,,0.6923077,,0.23076923,,0.07692308,,0.299,,0.25771034,,0.064,,,0.125,,0.2820513,,0.055555556,,0.40807205,,0.28911975,,0.4821875,0.2857143,,0.0,,7.0,,2.0,,,0.14035088,,0.10638298,,57.0,,47.0,1.0,0.0,0.6495730664325947,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.6495730664326,1500.0,1,1,0,0,0.5,,1,0,1-1,0-0,,,,,,,,,20240328_SF@SD,2024-03-28 19:00:00,False,,,,,,,0.2488,1.21346,0.0,-0.05
746821,2024-03-28,CWS,DET,0,1,0.0,1,676979,669373,Rate Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,L,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_DET@CWS,2024-03-28 19:00:00,False,,,,,,,-0.2817,1.21911,0.0,-0.03
746335,2024-03-28,KC,MIN,1,4,0.0,5,666142,641154,Kauffman Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,R,0.16483517,0.125,0.2820513,0.055555556,0.40807205,0.28911975,0.4821875,0.14035088,0.10638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1500.0,1500.0,0,0,0,0,,,0,0,0-0,0-0,,,,,,,,,20240328_MIN@KC,2024-03-28 19:00:00,False,,,,,,,-0.3421,1.1427,0.0,0.0
