rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1572.2,296,197,296-197,0.6,0,6-4,0.637,0.565
2,MIL,MIL,1552.7,278,193,278-193,0.59,0,7-3,0.621,0.558
3,NYY,NYY,1550.3,275,205,275-205,0.573,0,6-4,0.567,0.579
4,PHI,PHI,1547.9,268,199,268-199,0.574,0,8-2,0.632,0.515
5,SD,SD,1532.1,260,209,260-209,0.554,0,5-5,0.6,0.509
6,CHC,CHC,1531.2,256,212,256-212,0.547,0,4-6,0.585,0.509
7,CLE,CLE,1524.5,253,218,253-218,0.537,0,8-2,0.551,0.523
8,BOS,BOS,1517.7,245,217,245-217,0.53,0,7-3,0.526,0.534
9,ATL,ATL,1517.4,245,216,245-216,0.531,0,6-4,0.567,0.496
10,HOU,HOU,1517.2,243,217,243-217,0.528,0,5-5,0.539,0.518
11,AZ,AZ,1516.3,241,219,241-219,0.524,0,6-4,0.55,0.498
12,SEA,SEA,1514.2,245,226,245-226,0.52,0,5-5,0.593,0.447
13,TOR,TOR,1512.0,244,234,244-234,0.51,0,5-5,0.55,0.47
14,TB,TB,1510.1,237,221,237-221,0.517,0,5-5,0.555,0.48
15,DET,DET,1509.8,244,230,244-230,0.515,0,2-8,0.534,0.496
16,BAL,BAL,1506.0,232,229,232-229,0.503,0,5-5,0.504,0.502
17,NYM,NYM,1504.5,239,233,239-233,0.506,0,4-6,0.547,0.466
18,STL,STL,1498.3,229,232,229-232,0.497,0,3-7,0.524,0.469
19,KC,KC,1496.0,232,234,232-234,0.498,0,9-1,0.539,0.458
20,CIN,CIN,1494.0,224,238,224-238,0.485,0,4-6,0.504,0.466
21,TEX,TEX,1493.8,225,234,225-234,0.49,0,5-5,0.564,0.418
22,SF,SF,1482.9,216,243,216-243,0.471,0,4-6,0.507,0.435
23,PIT,PIT,1482.5,213,248,213-248,0.462,0,5-5,0.513,0.412
24,MIN,MIN,1479.4,216,244,216-244,0.47,0,3-7,0.504,0.435
25,MIA,MIA,1471.8,209,250,209-250,0.455,0,4-6,0.476,0.434
26,ATH,ATH,1465.6,198,261,198-261,0.431,0,4-6,0.432,0.43
27,WSH,WSH,1464.4,201,260,201-260,0.436,0,4-6,0.435,0.437
28,LAA,LAA,1441.7,187,272,187-272,0.407,0,3-7,0.433,0.382
29,CWS,CWS,1411.2,173,286,173-286,0.377,0,7-3,0.422,0.332
30,COL,COL,1403.6,156,303,156-303,0.34,0,2-8,0.392,0.289
