feature,window,n_games,n_nonnull,pct_nonnull,n_measured,pct_measured,n_default_zero,status
is_home,current,77,77,100.0,77,100.0,0,OK
dome_is_neutral,current,77,77,100.0,77,100.0,0,OK
park_factor_slug_diff,current,77,77,100.0,77,100.0,0,OK
wind_advantage_flyball_factor,current,77,75,97.4,60,77.9,15,LOW_COVERAGE
air_density_velocity_boost,current,77,75,97.4,75,97.4,0,OK
home_elo,current,77,77,100.0,77,100.0,0,OK
away_elo,current,77,77,100.0,77,100.0,0,OK
home_win_pct,current,77,77,100.0,77,100.0,0,OK
away_win_pct,current,77,77,100.0,77,100.0,0,OK
sp_era_home,current,77,76,98.7,76,98.7,0,OK
sp_era_away,current,77,76,98.7,76,98.7,0,OK
sp_k9_home,current,77,76,98.7,76,98.7,0,OK
sp_k9_away,current,77,76,98.7,76,98.7,0,OK
sp_xwoba_home,current,77,76,98.7,76,98.7,0,OK
sp_xwoba_away,current,77,76,98.7,76,98.7,0,OK
lineup_woba_mean_home,current,77,77,100.0,77,100.0,0,OK
lineup_woba_mean_away,current,77,77,100.0,77,100.0,0,OK
lineup_woba_top3_home,current,77,77,100.0,77,100.0,0,OK
lineup_woba_top3_away,current,77,77,100.0,77,100.0,0,OK
woba_30g_home,current,77,77,100.0,77,100.0,0,OK
woba_30g_away,current,77,77,100.0,77,100.0,0,OK
bullpen_whip_10g_home,current,77,76,98.7,76,98.7,0,OK
bullpen_whip_10g_away,current,77,77,100.0,77,100.0,0,OK
bullpen_whip_3g_home,current,77,76,98.7,76,98.7,0,OK
bullpen_whip_3g_away,current,77,77,100.0,77,100.0,0,OK
team_barrel_15g_home,current,77,77,100.0,77,100.0,0,OK
team_barrel_15g_away,current,77,77,100.0,77,100.0,0,OK
team_exitvelo_15g_home,current,77,77,100.0,77,100.0,0,OK
team_exitvelo_15g_away,current,77,77,100.0,77,100.0,0,OK
is_home,baseline,250,250,100.0,250,100.0,0,OK
dome_is_neutral,baseline,250,250,100.0,250,100.0,0,OK
park_factor_slug_diff,baseline,250,250,100.0,250,100.0,0,OK
wind_advantage_flyball_factor,baseline,250,244,97.6,197,78.8,47,LOW_COVERAGE
air_density_velocity_boost,baseline,250,246,98.4,246,98.4,0,OK
home_elo,baseline,250,250,100.0,250,100.0,0,OK
away_elo,baseline,250,250,100.0,250,100.0,0,OK
home_win_pct,baseline,250,250,100.0,250,100.0,0,OK
away_win_pct,baseline,250,250,100.0,250,100.0,0,OK
sp_era_home,baseline,250,246,98.4,246,98.4,0,OK
sp_era_away,baseline,250,248,99.2,248,99.2,0,OK
sp_k9_home,baseline,250,246,98.4,246,98.4,0,OK
sp_k9_away,baseline,250,248,99.2,248,99.2,0,OK
sp_xwoba_home,baseline,250,248,99.2,248,99.2,0,OK
sp_xwoba_away,baseline,250,249,99.6,249,99.6,0,OK
lineup_woba_mean_home,baseline,250,250,100.0,250,100.0,0,OK
lineup_woba_mean_away,baseline,250,250,100.0,250,100.0,0,OK
lineup_woba_top3_home,baseline,250,250,100.0,250,100.0,0,OK
lineup_woba_top3_away,baseline,250,250,100.0,250,100.0,0,OK
woba_30g_home,baseline,250,250,100.0,250,100.0,0,OK
woba_30g_away,baseline,250,250,100.0,250,100.0,0,OK
bullpen_whip_10g_home,baseline,250,250,100.0,250,100.0,0,OK
bullpen_whip_10g_away,baseline,250,246,98.4,246,98.4,0,OK
bullpen_whip_3g_home,baseline,250,250,100.0,250,100.0,0,OK
bullpen_whip_3g_away,baseline,250,246,98.4,246,98.4,0,OK
team_barrel_15g_home,baseline,250,250,100.0,250,100.0,0,OK
team_barrel_15g_away,baseline,250,250,100.0,250,100.0,0,OK
team_exitvelo_15g_home,baseline,250,250,100.0,250,100.0,0,OK
team_exitvelo_15g_away,baseline,250,250,100.0,250,100.0,0,OK
