game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
745111,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7272,0.6419,0.6419,0.5609,0.5609,0.4765,0.4765,0.4006,0.4006,0.332,0.332,0.2678,0.2678,0.2728,0.2728,0.3581,0.3581,0.4391,0.4391,0.5235,0.5235,0.5994,0.5994,0.668,0.668,0.7322,0.4117,0.3263,0.253,0.189,0.4117,0.5883,5,2,7,,False
745273,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7301,0.6441,0.6441,0.5627,0.5627,0.4809,0.4809,0.3984,0.3984,0.3252,0.3252,0.2627,0.2627,0.2699,0.2699,0.3559,0.3559,0.4373,0.4373,0.5191,0.5191,0.6016,0.6016,0.6748,0.6748,0.7373,0.4044,0.3178,0.246,0.1864,0.4044,0.5956,2,5,7,,False
745439,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7253,0.6382,0.6382,0.5564,0.5564,0.4716,0.4716,0.3921,0.3921,0.3209,0.3209,0.2565,0.2565,0.2747,0.2747,0.3618,0.3618,0.4436,0.4436,0.5284,0.5284,0.6079,0.6079,0.6791,0.6791,0.7435,0.4214,0.3285,0.2468,0.1855,0.4214,0.5786,2,5,7,,False
745598,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7263,0.6356,0.6356,0.5508,0.5508,0.4647,0.4647,0.3893,0.3893,0.3219,0.3219,0.2575,0.2575,0.2737,0.2737,0.3644,0.3644,0.4492,0.4492,0.5353,0.5353,0.6107,0.6107,0.6781,0.6781,0.7425,0.42,0.3321,0.2551,0.1847,0.42,0.58,9,4,13,,False
745680,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7279,0.642,0.642,0.5529,0.5529,0.4742,0.4742,0.3976,0.3976,0.3241,0.3241,0.2652,0.2652,0.2721,0.2721,0.358,0.358,0.4471,0.4471,0.5258,0.5258,0.6024,0.6024,0.6759,0.6759,0.7348,0.4147,0.3268,0.2511,0.1841,0.4147,0.5853,4,5,9,,False
746009,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7252,0.6455,0.6455,0.5557,0.5557,0.4744,0.4744,0.3983,0.3983,0.3299,0.3299,0.2675,0.2675,0.2748,0.2748,0.3545,0.3545,0.4443,0.4443,0.5256,0.5256,0.6017,0.6017,0.6701,0.6701,0.7325,0.4091,0.3248,0.2507,0.1888,0.4091,0.5909,3,2,5,,False
746086,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7296,0.648,0.648,0.5596,0.5596,0.4729,0.4729,0.4007,0.4007,0.3238,0.3238,0.2629,0.2629,0.2704,0.2704,0.352,0.352,0.4404,0.4404,0.5271,0.5271,0.5993,0.5993,0.6762,0.6762,0.7371,0.4148,0.3301,0.2513,0.1873,0.4148,0.5852,1,3,4,,False
746169,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.734,0.6538,0.6538,0.5675,0.5675,0.4855,0.4855,0.4044,0.4044,0.3321,0.3321,0.2649,0.2649,0.266,0.266,0.3462,0.3462,0.4325,0.4325,0.5145,0.5145,0.5956,0.5956,0.6679,0.6679,0.7351,0.4095,0.3249,0.247,0.1858,0.4095,0.5905,5,4,9,,False
746411,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7297,0.6453,0.6453,0.562,0.562,0.4788,0.4788,0.3977,0.3977,0.3265,0.3265,0.2619,0.2619,0.2703,0.2703,0.3547,0.3547,0.438,0.438,0.5212,0.5212,0.6023,0.6023,0.6735,0.6735,0.7381,0.4207,0.333,0.2517,0.1878,0.4207,0.5793,1,2,3,,False
746814,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7263,0.6461,0.6461,0.56,0.56,0.4798,0.4798,0.4004,0.4004,0.3294,0.3294,0.2685,0.2685,0.2737,0.2737,0.3539,0.3539,0.44,0.44,0.5202,0.5202,0.5996,0.5996,0.6706,0.6706,0.7315,0.4108,0.3193,0.2474,0.1879,0.4108,0.5892,3,2,5,,False
