game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
745111,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7272,0.6419,0.6419,0.5609,0.5609,0.4765,0.4765,0.4006,0.4006,0.332,0.332,0.2678,0.2678,0.0,0.0853,0.0,0.081,0.0,0.0844,0.0,0.0759,0.0,0.0686,0.0,0.0642,0.0,0.2728,0.2728,0.3581,0.3581,0.4391,0.4391,0.5235,0.5235,0.5994,0.5994,0.668,0.668,0.7322,0.47702,0.3263,0.253,0.189,0.3263,0.15072,0.52298,0.3263,0.0,0.6737,0.253,0.0733,0.6737,0.253,0.0,0.747,0.189,0.064,0.747,0.189,0.0,0.811,0.1409,0.0481,0.811,0.47702,0.52298,5,2,7,,False
745273,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7301,0.6441,0.6441,0.5627,0.5627,0.4809,0.4809,0.3984,0.3984,0.3252,0.3252,0.2627,0.2627,0.0,0.086,0.0,0.0814,0.0,0.0818,0.0,0.0825,0.0,0.0732,0.0,0.0625,0.0,0.2699,0.2699,0.3559,0.3559,0.4373,0.4373,0.5191,0.5191,0.6016,0.6016,0.6748,0.6748,0.7373,0.47553,0.3178,0.246,0.1864,0.3178,0.15773,0.52447,0.3178,0.0,0.6822,0.246,0.0718,0.6822,0.246,0.0,0.754,0.1864,0.0596,0.754,0.1864,0.0,0.8136,0.1377,0.0487,0.8136,0.47553,0.52447,2,5,7,,False
745439,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7253,0.6382,0.6382,0.5564,0.5564,0.4716,0.4716,0.3921,0.3921,0.3209,0.3209,0.2565,0.2565,0.0,0.0871,0.0,0.0818,0.0,0.0848,0.0,0.0795,0.0,0.0712,0.0,0.0644,0.0,0.2747,0.2747,0.3618,0.3618,0.4436,0.4436,0.5284,0.5284,0.6079,0.6079,0.6791,0.6791,0.7435,0.48717,0.3285,0.2468,0.1855,0.3285,0.15867,0.51283,0.3285,0.0,0.6715,0.2468,0.0817,0.6715,0.2468,0.0,0.7532,0.1855,0.0613,0.7532,0.1855,0.0,0.8145,0.1371,0.0484,0.8145,0.48717,0.51283,2,5,7,,False
745598,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7263,0.6356,0.6356,0.5508,0.5508,0.4647,0.4647,0.3893,0.3893,0.3219,0.3219,0.2575,0.2575,0.0,0.0907,0.0,0.0848,0.0,0.0861,0.0,0.0754,0.0,0.0674,0.0,0.0644,0.0,0.2737,0.2737,0.3644,0.3644,0.4492,0.4492,0.5353,0.5353,0.6107,0.6107,0.6781,0.6781,0.7425,0.48986,0.3321,0.2551,0.1847,0.3321,0.15776,0.51014,0.3321,0.0,0.6679,0.2551,0.077,0.6679,0.2551,0.0,0.7449,0.1847,0.0704,0.7449,0.1847,0.0,0.8153,0.1345,0.0502,0.8153,0.48986,0.51014,9,4,13,,False
745680,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7279,0.642,0.642,0.5529,0.5529,0.4742,0.4742,0.3976,0.3976,0.3241,0.3241,0.2652,0.2652,0.0,0.0859,0.0,0.0891,0.0,0.0787,0.0,0.0766,0.0,0.0735,0.0,0.0589,0.0,0.2721,0.2721,0.358,0.358,0.4471,0.4471,0.5258,0.5258,0.6024,0.6024,0.6759,0.6759,0.7348,0.48166,0.3268,0.2511,0.1841,0.3268,0.15486,0.51834,0.3268,0.0,0.6732,0.2511,0.0757,0.6732,0.2511,0.0,0.7489,0.1841,0.067,0.7489,0.1841,0.0,0.8159,0.1325,0.0516,0.8159,0.48166,0.51834,4,5,9,,False
746009,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7252,0.6455,0.6455,0.5557,0.5557,0.4744,0.4744,0.3983,0.3983,0.3299,0.3299,0.2675,0.2675,0.0,0.0797,0.0,0.0898,0.0,0.0813,0.0,0.0761,0.0,0.0684,0.0,0.0624,0.0,0.2748,0.2748,0.3545,0.3545,0.4443,0.4443,0.5256,0.5256,0.6017,0.6017,0.6701,0.6701,0.7325,0.48,0.3248,0.2507,0.1888,0.3248,0.1552,0.52,0.3248,0.0,0.6752,0.2507,0.0741,0.6752,0.2507,0.0,0.7493,0.1888,0.0619,0.7493,0.1888,0.0,0.8112,0.1343,0.0545,0.8112,0.48,0.52,3,2,5,,False
746086,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7296,0.648,0.648,0.5596,0.5596,0.4729,0.4729,0.4007,0.4007,0.3238,0.3238,0.2629,0.2629,0.0,0.0816,0.0,0.0884,0.0,0.0867,0.0,0.0722,0.0,0.0769,0.0,0.0609,0.0,0.2704,0.2704,0.352,0.352,0.4404,0.4404,0.5271,0.5271,0.5993,0.5993,0.6762,0.6762,0.7371,0.48414,0.3301,0.2513,0.1873,0.3301,0.15404,0.51586,0.3301,0.0,0.6699,0.2513,0.0788,0.6699,0.2513,0.0,0.7487,0.1873,0.064,0.7487,0.1873,0.0,0.8127,0.1365,0.0508,0.8127,0.48414,0.51586,1,3,4,,False
746169,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.734,0.6538,0.6538,0.5675,0.5675,0.4855,0.4855,0.4044,0.4044,0.3321,0.3321,0.2649,0.2649,0.0,0.0802,0.0,0.0863,0.0,0.082,0.0,0.0811,0.0,0.0723,0.0,0.0672,0.0,0.266,0.266,0.3462,0.3462,0.4325,0.4325,0.5145,0.5145,0.5956,0.5956,0.6679,0.6679,0.7351,0.47765,0.3249,0.247,0.1858,0.3249,0.15275,0.52235,0.3249,0.0,0.6751,0.247,0.0779,0.6751,0.247,0.0,0.753,0.1858,0.0612,0.753,0.1858,0.0,0.8142,0.1381,0.0477,0.8142,0.47765,0.52235,5,4,9,,False
746411,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7297,0.6453,0.6453,0.562,0.562,0.4788,0.4788,0.3977,0.3977,0.3265,0.3265,0.2619,0.2619,0.0,0.0844,0.0,0.0833,0.0,0.0832,0.0,0.0811,0.0,0.0712,0.0,0.0646,0.0,0.2703,0.2703,0.3547,0.3547,0.438,0.438,0.5212,0.5212,0.6023,0.6023,0.6735,0.6735,0.7381,0.48669,0.333,0.2517,0.1878,0.333,0.15369,0.51331,0.333,0.0,0.667,0.2517,0.0813,0.667,0.2517,0.0,0.7483,0.1878,0.0639,0.7483,0.1878,0.0,0.8122,0.1344,0.0534,0.8122,0.48669,0.51331,1,2,3,,False
746814,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7263,0.6461,0.6461,0.56,0.56,0.4798,0.4798,0.4004,0.4004,0.3294,0.3294,0.2685,0.2685,0.0,0.0802,0.0,0.0861,0.0,0.0802,0.0,0.0794,0.0,0.071,0.0,0.0609,0.0,0.2737,0.2737,0.3539,0.3539,0.44,0.44,0.5202,0.5202,0.5996,0.5996,0.6706,0.6706,0.7315,0.48059,0.3193,0.2474,0.1879,0.3193,0.16129,0.51941,0.3193,0.0,0.6807,0.2474,0.0719,0.6807,0.2474,0.0,0.7526,0.1879,0.0595,0.7526,0.1879,0.0,0.8121,0.1338,0.0541,0.8121,0.48059,0.51941,3,2,5,,False
746898,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7348,0.65,0.65,0.5664,0.5664,0.4807,0.4807,0.4027,0.4027,0.3313,0.3313,0.2697,0.2697,0.0,0.0848,0.0,0.0836,0.0,0.0857,0.0,0.078,0.0,0.0714,0.0,0.0616,0.0,0.2652,0.2652,0.35,0.35,0.4336,0.4336,0.5193,0.5193,0.5973,0.5973,0.6687,0.6687,0.7303,0.48651,0.3303,0.2511,0.192,0.3303,0.15621,0.51349,0.3303,0.0,0.6697,0.2511,0.0792,0.6697,0.2511,0.0,0.7489,0.192,0.0591,0.7489,0.192,0.0,0.808,0.1372,0.0548,0.808,0.48651,0.51349,12,2,14,,False
747057,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.7227,0.6395,0.6395,0.5567,0.5567,0.4715,0.4715,0.3944,0.3944,0.3266,0.3266,0.2652,0.2652,0.0,0.0832,0.0,0.0828,0.0,0.0852,0.0,0.0771,0.0,0.0678,0.0,0.0614,0.0,0.2773,0.2773,0.3605,0.3605,0.4433,0.4433,0.5285,0.5285,0.6056,0.6056,0.6734,0.6734,0.7348,0.48753,0.3286,0.2493,0.1825,0.3286,0.15893,0.51247,0.3286,0.0,0.6714,0.2493,0.0793,0.6714,0.2493,0.0,0.7507,0.1825,0.0668,0.7507,0.1825,0.0,0.8175,0.1327,0.0498,0.8175,0.48753,0.51247,1,4,5,,False
747220,2024-04-02,oof,4.6377,5.2319,0.2799,0.3296,0.737,0.6515,0.6515,0.5662,0.5662,0.4854,0.4854,0.4075,0.4075,0.3377,0.3377,0.2767,0.2767,0.0,0.0855,0.0,0.0853,0.0,0.0808,0.0,0.0779,0.0,0.0698,0.0,0.061,0.0,0.263,0.263,0.3485,0.3485,0.4338,0.4338,0.5146,0.5146,0.5925,0.5925,0.6623,0.6623,0.7233,0.47813,0.317,0.2437,0.1805,0.317,0.16113,0.52187,0.317,0.0,0.683,0.2437,0.0733,0.683,0.2437,0.0,0.7563,0.1805,0.0632,0.7563,0.1805,0.0,0.8195,0.1299,0.0506,0.8195,0.47813,0.52187,7,0,7,,False
744869,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7332,0.6453,0.6453,0.5642,0.5642,0.4781,0.4781,0.4055,0.4055,0.3333,0.3333,0.2675,0.2675,0.0,0.0879,0.0,0.0811,0.0,0.0861,0.0,0.0726,0.0,0.0722,0.0,0.0658,0.0,0.2668,0.2668,0.3547,0.3547,0.4358,0.4358,0.5219,0.5219,0.5945,0.5945,0.6667,0.6667,0.7325,0.48811,0.3359,0.2568,0.1897,0.3359,0.15221,0.51189,0.3359,0.0,0.6641,0.2568,0.0791,0.6641,0.2568,0.0,0.7432,0.1897,0.0671,0.7432,0.1897,0.0,0.8103,0.1393,0.0504,0.8103,0.48811,0.51189,5,3,8,,False
745114,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7252,0.647,0.647,0.5552,0.5552,0.4701,0.4701,0.3942,0.3942,0.3227,0.3227,0.2646,0.2646,0.0,0.0782,0.0,0.0918,0.0,0.0851,0.0,0.0759,0.0,0.0715,0.0,0.0581,0.0,0.2748,0.2748,0.353,0.353,0.4448,0.4448,0.5299,0.5299,0.6058,0.6058,0.6773,0.6773,0.7354,0.48304,0.3269,0.2506,0.1853,0.3269,0.15614,0.51696,0.3269,0.0,0.6731,0.2506,0.0763,0.6731,0.2506,0.0,0.7494,0.1853,0.0653,0.7494,0.1853,0.0,0.8147,0.1362,0.0491,0.8147,0.48304,0.51696,1,4,5,,False
745275,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7344,0.6518,0.6518,0.5724,0.5724,0.4832,0.4832,0.4011,0.4011,0.331,0.331,0.2698,0.2698,0.0,0.0826,0.0,0.0794,0.0,0.0892,0.0,0.0821,0.0,0.0701,0.0,0.0612,0.0,0.2656,0.2656,0.3482,0.3482,0.4276,0.4276,0.5168,0.5168,0.5989,0.5989,0.669,0.669,0.7302,0.48574,0.3256,0.2519,0.1893,0.3256,0.16014,0.51426,0.3256,0.0,0.6744,0.2519,0.0737,0.6744,0.2519,0.0,0.7481,0.1893,0.0626,0.7481,0.1893,0.0,0.8107,0.1394,0.0499,0.8107,0.48574,0.51426,0,8,8,,False
