game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
744867,2024-04-25,4.2625,4.8875,1,2
745027,2024-04-25,4.0215,4.3285,3,4
745512,2024-04-25,3.6325,4.4798,5,7
745755,2024-04-25,4.5758,4.1119,1,3
745918,2024-04-25,4.7909,3.8899,6,3
746320,2024-04-25,4.7471,4.0466,2,1
746564,2024-04-25,3.7656,4.0059,10,9
746646,2024-04-25,4.2236,4.5547,6,4
746724,2024-04-25,3.7819,4.3543,0,5
746887,2024-04-25,4.81,3.9045,3,1
744949,2024-04-26,4.3608,5.0053,2,12
745025,2024-04-26,3.816,4.5992,2,1
745269,2024-04-26,4.1866,4.5129,6,1
745347,2024-04-26,4.1383,4.2212,3,0
745424,2024-04-26,4.5841,4.4097,3,9
745835,2024-04-26,4.1377,4.5181,2,4
746000,2024-04-26,4.3225,4.3067,7,6
746078,2024-04-26,3.4905,4.9387,1,3
746243,2024-04-26,4.2682,4.4403,3,5
746482,2024-04-26,4.1821,4.6925,0,8
746808,2024-04-26,3.7001,4.3867,9,4
746972,2024-04-26,4.4949,4.4476,1,7
747050,2024-04-26,4.8538,4.0944,2,3
747129,2024-04-26,4.7786,4.6067,6,2
744946,2024-04-27,4.4187,4.3715,2,4
745020,2024-04-27,3.8932,4.6475,4,8
745266,2024-04-27,4.2366,4.37,3,1
745350,2024-04-27,3.9663,3.8247,3,4
745425,2024-04-27,4.1836,4.4455,1,5
745833,2024-04-27,4.1593,4.6071,4,7
745998,2024-04-27,4.3886,4.5218,3,15
746075,2024-04-27,3.9884,4.3073,4,11
746245,2024-04-27,4.145,4.1491,5,16
746484,2024-04-27,4.2294,4.1056,6,5
746560,2024-04-27,4.3574,4.1695,4,12
746803,2024-04-27,3.6317,4.4673,8,7
746971,2024-04-27,4.3361,4.6143,17,0
747052,2024-04-27,4.8658,4.0762,7,0
747131,2024-04-27,4.1399,4.8246,2,4
744947,2024-04-28,3.7009,4.8787,3,1
745022,2024-04-28,4.2918,4.5633,4,3
745265,2024-04-28,4.319,4.2127,2,3
745349,2024-04-28,3.7023,3.9487,3,2
745428,2024-04-28,3.8924,4.9067,6,8
745834,2024-04-28,3.9455,4.5343,4,2
746001,2024-04-28,4.2776,4.1173,5,15
746077,2024-04-28,4.0592,4.1065,9,12
746237,2024-04-28,3.8154,3.9317,5,11
746483,2024-04-28,4.2034,4.5432,4,1
746561,2024-04-28,3.9219,4.0087,2,8
746805,2024-04-28,3.6515,4.4159,4,2
746967,2024-04-28,4.2387,4.5474,5,4
747045,2024-04-28,4.9246,4.0763,6,7
747125,2024-04-28,4.0645,4.755,4,3
744945,2024-04-29,3.4929,4.9876,6,5
745263,2024-04-29,4.0148,4.7571,2,1
745427,2024-04-29,3.8673,4.2995,2,5
745672,2024-04-29,4.2573,4.5144,5,1
745832,2024-04-29,4.27,5.1452,1,3
745999,2024-04-29,4.4743,4.164,0,1
746074,2024-04-29,3.9625,3.6934,2,7
746236,2024-04-29,4.2144,4.6416,6,5
746804,2024-04-29,3.8448,4.3028,2,3
