feature,shap_value,signed_effect,perspective_team
home_team_id,0.214152,positive,BAL
away_team_id,0.067514,positive,BAL
bullpen_whip_3g_home,-0.032366,negative,BAL
run_margin_diff,0.028797,positive,BAL
bullpen_meltdown_risk,-0.02356,negative,BAL
air_density_velocity_boost,0.018199,positive,BAL
lineup_handedness_matchup_advantage,0.015133,positive,BAL
lineup_actual_woba_delta_away,0.013953,positive,BAL
sp_fbvelo_diff,0.011791,positive,BAL
team_hardhit_diff,0.011219,positive,BAL
bullpen_whip_diff,0.011187,positive,BAL
elo_diff,0.010523,positive,BAL
lineup_actual_top3_delta_away,-0.010148,negative,BAL
sp_era_5g_diff,-0.009534,negative,BAL
lineup_actual_top3_delta_home,0.008967,positive,BAL
pitcher_regression_indicator,-0.008884,negative,BAL
lineup_actual_woba_delta_home,-0.008043,negative,BAL
sp_fbpct_diff,0.007359,positive,BAL
sp_xwoba_vs_l_diff,-0.006774,negative,BAL
bullpen_pitches_diff,-0.006554,negative,BAL
lineup_woba_mean_diff,0.005163,positive,BAL
sp_k9_diff,-0.004792,negative,BAL
bullpen_whip_10g_home,0.004705,positive,BAL
sp_k9_5g_diff,-0.004407,negative,BAL
lineup_depth_multiplier,-0.00423,negative,BAL
sp_k9_away,-0.004025,negative,BAL
win_pct_diff,0.003983,positive,BAL
bullpen_whip_10g_away,0.003318,positive,BAL
lineup_woba_std_diff,-0.003246,negative,BAL
home_elo,0.003229,positive,BAL
away_elo,0.003122,positive,BAL
away_win_pct,0.002933,positive,BAL
sp_era_home,0.002904,positive,BAL
team_barrel_diff,0.002859,positive,BAL
lineup_woba_top3_diff,0.002798,positive,BAL
sp_xwoba_diff,0.002642,positive,BAL
bullpen_whip_3g_diff,-0.002399,negative,BAL
lineup_woba_mean_away,-0.002053,negative,BAL
lineup_woba_top3_away,0.001707,positive,BAL
sp_xwoba_home,-0.001632,negative,BAL
sp_k9_home,0.001572,positive,BAL
woba_30g_away,0.001196,positive,BAL
woba_30g_diff,0.000984,positive,BAL
bullpen_whip_3g_away,0.000955,positive,BAL
woba_30g_home,-0.000949,negative,BAL
sp_era_diff,0.000947,positive,BAL
sp_xwoba_away,0.000918,positive,BAL
team_exitvelo_15g_home,-0.000895,negative,BAL
sp_whiff_diff,0.000806,positive,BAL
ace_efficiency_factor,-0.000806,negative,BAL
team_barrel_15g_home,-0.000783,negative,BAL
lineup_woba_mean_home,-0.000647,negative,BAL
sp_era_away,0.000568,positive,BAL
team_barrel_15g_away,-0.000485,negative,BAL
lineup_rest_count_away,-0.000367,negative,BAL
travel_fatigue_diff,0.000262,positive,BAL
dome_is_neutral,0.000243,positive,BAL
lineup_woba_top3_home,-0.000217,negative,BAL
home_win_pct,-0.000154,negative,BAL
park_factor_slug_diff,-7.7e-05,negative,BAL
lineup_rest_count_home,7.6e-05,positive,BAL
team_exitvelo_diff,-6.7e-05,negative,BAL
closer_availability_diff,3.2e-05,positive,BAL
team_exitvelo_15g_away,-2.6e-05,negative,BAL
wind_advantage_flyball_factor,1.3e-05,positive,BAL
is_home,-0.0,negative,BAL
rest_days_diff,-0.0,negative,BAL
