feature,shap_value,signed_effect,perspective_team
away_team_id,-0.091785,negative,NYM
bullpen_whip_3g_home,0.028902,positive,NYM
run_margin_diff,-0.026624,negative,NYM
sp_era_5g_diff,-0.016691,negative,NYM
lineup_handedness_matchup_advantage,-0.015979,negative,NYM
lineup_actual_woba_delta_away,-0.015954,negative,NYM
bullpen_meltdown_risk,-0.013234,negative,NYM
home_team_id,0.012337,positive,NYM
lineup_actual_top3_delta_away,0.010246,positive,NYM
air_density_velocity_boost,0.008374,positive,NYM
lineup_actual_woba_delta_home,0.007802,positive,NYM
bullpen_whip_10g_home,0.007503,positive,NYM
bullpen_whip_diff,0.007474,positive,NYM
sp_k9_home,0.007039,positive,NYM
lineup_actual_top3_delta_home,-0.006456,negative,NYM
sp_xwoba_vs_l_diff,0.006342,positive,NYM
sp_k9_5g_diff,0.006278,positive,NYM
sp_fbpct_diff,-0.006275,negative,NYM
lineup_woba_std_diff,0.00564,positive,NYM
sp_k9_away,-0.00533,negative,NYM
lineup_woba_mean_diff,0.004718,positive,NYM
sp_era_home,0.004089,positive,NYM
away_win_pct,-0.003467,negative,NYM
team_barrel_diff,0.003393,positive,NYM
bullpen_pitches_diff,0.003097,positive,NYM
win_pct_diff,-0.002949,negative,NYM
woba_30g_away,-0.002868,negative,NYM
pitcher_regression_indicator,-0.002662,negative,NYM
elo_diff,0.002456,positive,NYM
away_elo,-0.002232,negative,NYM
sp_xwoba_diff,-0.002213,negative,NYM
sp_era_away,-0.001965,negative,NYM
sp_fbvelo_diff,-0.001822,negative,NYM
team_barrel_15g_home,0.00172,positive,NYM
sp_k9_diff,0.001704,positive,NYM
sp_era_diff,-0.001697,negative,NYM
team_exitvelo_15g_away,0.001578,positive,NYM
lineup_woba_mean_away,0.001419,positive,NYM
ace_efficiency_factor,0.0013,positive,NYM
woba_30g_home,0.001256,positive,NYM
lineup_depth_multiplier,0.001201,positive,NYM
lineup_woba_top3_diff,-0.001186,negative,NYM
home_win_pct,-0.00117,negative,NYM
bullpen_whip_3g_away,-0.001142,negative,NYM
lineup_woba_mean_home,-0.001067,negative,NYM
lineup_rest_count_away,0.000954,positive,NYM
sp_xwoba_home,-0.000886,negative,NYM
bullpen_whip_3g_diff,-0.00086,negative,NYM
bullpen_whip_10g_away,0.000747,positive,NYM
wind_advantage_flyball_factor,0.000656,positive,NYM
team_exitvelo_diff,0.000625,positive,NYM
sp_xwoba_away,-0.000549,negative,NYM
lineup_woba_top3_away,-0.000547,negative,NYM
lineup_woba_top3_home,-0.000504,negative,NYM
team_hardhit_diff,0.000503,positive,NYM
sp_whiff_diff,-0.000458,negative,NYM
home_elo,0.000397,positive,NYM
woba_30g_diff,-0.000364,negative,NYM
team_barrel_15g_away,-0.000317,negative,NYM
dome_is_neutral,-0.000284,negative,NYM
team_exitvelo_15g_home,-0.000278,negative,NYM
park_factor_slug_diff,-0.000261,negative,NYM
travel_fatigue_diff,-0.000119,negative,NYM
lineup_rest_count_home,-0.0001,negative,NYM
closer_availability_diff,-2.3e-05,negative,NYM
is_home,0.0,negative,NYM
rest_days_diff,0.0,negative,NYM
