feature,shap_value,signed_effect,perspective_team
home_team_id,0.197736,positive,PHI
away_team_id,0.060431,positive,PHI
air_density_velocity_boost,0.035556,positive,PHI
bullpen_whip_3g_home,-0.032167,negative,PHI
lineup_woba_std_diff,0.028576,positive,PHI
run_margin_diff,0.027937,positive,PHI
elo_diff,0.023837,positive,PHI
lineup_handedness_matchup_advantage,0.02009,positive,PHI
woba_30g_home,0.016126,positive,PHI
bullpen_whip_10g_home,-0.012593,negative,PHI
bullpen_meltdown_risk,0.012387,positive,PHI
lineup_actual_woba_delta_away,0.010178,positive,PHI
lineup_actual_top3_delta_away,-0.009255,negative,PHI
lineup_actual_woba_delta_home,-0.008551,negative,PHI
sp_xwoba_vs_l_diff,-0.008409,negative,PHI
lineup_actual_top3_delta_home,0.008148,positive,PHI
bullpen_whip_diff,-0.007958,negative,PHI
sp_era_5g_diff,-0.006972,negative,PHI
sp_era_home,-0.006412,negative,PHI
lineup_woba_mean_diff,0.006298,positive,PHI
sp_era_diff,-0.005599,negative,PHI
sp_k9_away,-0.005557,negative,PHI
sp_xwoba_home,-0.005411,negative,PHI
pitcher_regression_indicator,-0.005335,negative,PHI
bullpen_pitches_diff,-0.004382,negative,PHI
lineup_woba_top3_diff,0.003401,positive,PHI
away_win_pct,0.003285,positive,PHI
bullpen_whip_10g_away,-0.003274,negative,PHI
sp_k9_diff,-0.003223,negative,PHI
lineup_woba_mean_home,0.003214,positive,PHI
sp_k9_5g_diff,-0.003213,negative,PHI
lineup_depth_multiplier,-0.0032,negative,PHI
sp_fbpct_diff,-0.002908,negative,PHI
home_elo,0.002882,positive,PHI
sp_k9_home,-0.002866,negative,PHI
away_elo,0.002821,positive,PHI
lineup_woba_top3_home,0.002788,positive,PHI
sp_fbvelo_diff,0.002638,positive,PHI
wind_advantage_flyball_factor,-0.002613,negative,PHI
lineup_woba_mean_away,-0.002386,negative,PHI
team_barrel_diff,-0.002338,negative,PHI
win_pct_diff,-0.002098,negative,PHI
bullpen_whip_3g_diff,-0.002024,negative,PHI
sp_xwoba_diff,-0.001919,negative,PHI
team_exitvelo_15g_home,0.001892,positive,PHI
lineup_rest_count_away,-0.001841,negative,PHI
lineup_woba_top3_away,0.001839,positive,PHI
sp_xwoba_away,0.001491,positive,PHI
bullpen_whip_3g_away,0.001384,positive,PHI
team_exitvelo_15g_away,-0.001348,negative,PHI
park_factor_slug_diff,0.000997,positive,PHI
home_win_pct,0.000994,positive,PHI
woba_30g_away,-0.000991,negative,PHI
team_barrel_15g_home,0.000942,positive,PHI
ace_efficiency_factor,-0.000636,negative,PHI
sp_era_away,0.000606,positive,PHI
dome_is_neutral,0.000259,positive,PHI
woba_30g_diff,-0.000224,negative,PHI
travel_fatigue_diff,0.000217,positive,PHI
team_barrel_15g_away,0.000179,positive,PHI
team_hardhit_diff,-9.9e-05,negative,PHI
sp_whiff_diff,-7.9e-05,negative,PHI
team_exitvelo_diff,6e-05,positive,PHI
closer_availability_diff,1.5e-05,positive,PHI
lineup_rest_count_home,-1.2e-05,negative,PHI
is_home,-0.0,negative,PHI
rest_days_diff,-0.0,negative,PHI
