feature,shap_value,signed_effect,perspective_team
home_team_id,0.16292,positive,MIL
away_team_id,0.139637,positive,MIL
sp_xwoba_diff,0.034934,positive,MIL
run_margin_diff,0.032238,positive,MIL
bullpen_whip_3g_home,0.022506,positive,MIL
lineup_actual_woba_delta_away,-0.017055,negative,MIL
sp_era_5g_diff,0.016534,positive,MIL
elo_diff,0.015041,positive,MIL
sp_k9_5g_diff,0.012583,positive,MIL
lineup_actual_top3_delta_home,-0.008327,negative,MIL
lineup_actual_top3_delta_away,0.007846,positive,MIL
sp_fbvelo_diff,0.007261,positive,MIL
lineup_handedness_matchup_advantage,-0.007045,negative,MIL
lineup_actual_woba_delta_home,0.006341,positive,MIL
sp_fbpct_diff,-0.006336,negative,MIL
win_pct_diff,0.005808,positive,MIL
bullpen_whip_10g_home,0.005706,positive,MIL
sp_k9_diff,0.005603,positive,MIL
sp_k9_away,0.005278,positive,MIL
sp_xwoba_vs_l_diff,0.004941,positive,MIL
bullpen_pitches_diff,-0.004867,negative,MIL
pitcher_regression_indicator,-0.004431,negative,MIL
home_elo,0.004425,positive,MIL
woba_30g_away,-0.004197,negative,MIL
sp_era_diff,-0.004092,negative,MIL
sp_era_home,0.003871,positive,MIL
away_win_pct,-0.003804,negative,MIL
bullpen_whip_diff,0.003144,positive,MIL
sp_k9_home,0.002882,positive,MIL
bullpen_meltdown_risk,-0.002839,negative,MIL
air_density_velocity_boost,0.002775,positive,MIL
team_barrel_diff,0.002768,positive,MIL
team_barrel_15g_home,0.002462,positive,MIL
away_elo,-0.002299,negative,MIL
lineup_woba_mean_away,0.002279,positive,MIL
woba_30g_home,0.002262,positive,MIL
sp_era_away,0.001923,positive,MIL
team_exitvelo_diff,-0.001885,negative,MIL
lineup_woba_mean_diff,0.001834,positive,MIL
lineup_rest_count_away,0.001828,positive,MIL
bullpen_whip_3g_diff,0.00155,positive,MIL
lineup_depth_multiplier,0.001532,positive,MIL
team_exitvelo_15g_away,0.001525,positive,MIL
woba_30g_diff,0.00142,positive,MIL
wind_advantage_flyball_factor,0.001357,positive,MIL
sp_whiff_diff,0.001354,positive,MIL
lineup_woba_mean_home,0.001018,positive,MIL
home_win_pct,0.00094,positive,MIL
lineup_woba_top3_home,0.00088,positive,MIL
bullpen_whip_3g_away,-0.00077,negative,MIL
team_exitvelo_15g_home,-0.000718,negative,MIL
bullpen_whip_10g_away,0.00058,positive,MIL
sp_xwoba_home,0.000503,positive,MIL
lineup_woba_top3_diff,-0.000456,negative,MIL
team_hardhit_diff,-0.000412,negative,MIL
lineup_woba_top3_away,-0.00033,negative,MIL
lineup_woba_std_diff,0.000283,positive,MIL
dome_is_neutral,0.00017,positive,MIL
park_factor_slug_diff,-0.000128,negative,MIL
team_barrel_15g_away,-0.000107,negative,MIL
sp_xwoba_away,5.7e-05,positive,MIL
travel_fatigue_diff,-4.1e-05,negative,MIL
ace_efficiency_factor,-3e-05,negative,MIL
closer_availability_diff,-1.5e-05,negative,MIL
lineup_rest_count_home,2e-06,positive,MIL
is_home,0.0,negative,MIL
rest_days_diff,0.0,negative,MIL
