feature,shap_value,signed_effect,perspective_team
away_team_id,-0.077673,negative,SF
sp_xwoba_diff,0.074517,positive,SF
home_team_id,-0.068414,negative,SF
sp_k9_home,0.048678,positive,SF
sp_xwoba_vs_l_diff,0.041239,positive,SF
lineup_handedness_matchup_advantage,-0.030804,negative,SF
sp_era_5g_diff,0.020589,positive,SF
bullpen_meltdown_risk,-0.015681,negative,SF
bullpen_pitches_diff,0.015331,positive,SF
home_elo,-0.015164,negative,SF
bullpen_whip_3g_diff,0.011386,positive,SF
bullpen_whip_3g_home,0.010978,positive,SF
sp_fbpct_diff,0.009565,positive,SF
sp_era_diff,0.009564,positive,SF
sp_k9_away,0.008353,positive,SF
run_margin_diff,-0.007118,negative,SF
sp_k9_diff,-0.00637,negative,SF
away_win_pct,-0.005892,negative,SF
pitcher_regression_indicator,0.005445,positive,SF
sp_whiff_diff,0.005251,positive,SF
away_elo,0.005041,positive,SF
elo_diff,-0.004908,negative,SF
team_barrel_15g_home,0.00488,positive,SF
win_pct_diff,-0.004666,negative,SF
team_barrel_diff,0.004322,positive,SF
lineup_woba_std_diff,0.003691,positive,SF
lineup_woba_mean_home,0.003691,positive,SF
team_exitvelo_15g_away,0.003535,positive,SF
sp_k9_5g_diff,-0.00309,negative,SF
air_density_velocity_boost,0.002735,positive,SF
home_win_pct,-0.002627,negative,SF
lineup_woba_mean_away,0.001971,positive,SF
lineup_woba_top3_away,-0.001886,negative,SF
sp_fbvelo_diff,0.001846,positive,SF
ace_efficiency_factor,0.001713,positive,SF
bullpen_whip_10g_home,-0.001713,negative,SF
bullpen_whip_diff,0.001503,positive,SF
woba_30g_diff,-0.001459,negative,SF
lineup_depth_multiplier,0.001265,positive,SF
sp_era_home,0.001089,positive,SF
sp_xwoba_home,0.001041,positive,SF
wind_advantage_flyball_factor,-0.001012,negative,SF
team_exitvelo_diff,0.001,positive,SF
sp_xwoba_away,-0.000924,negative,SF
travel_fatigue_diff,0.000854,positive,SF
lineup_woba_top3_diff,0.000834,positive,SF
lineup_woba_mean_diff,0.000717,positive,SF
sp_era_away,-0.000572,negative,SF
woba_30g_home,-0.000338,negative,SF
woba_30g_away,-0.000219,negative,SF
bullpen_whip_10g_away,0.000209,positive,SF
team_exitvelo_15g_home,-0.000195,negative,SF
lineup_woba_top3_home,0.000186,positive,SF
bullpen_whip_3g_away,0.000174,positive,SF
team_hardhit_diff,-0.000147,negative,SF
dome_is_neutral,-5.1e-05,negative,SF
team_barrel_15g_away,-3e-05,negative,SF
closer_availability_diff,2.3e-05,positive,SF
rest_days_diff,1.3e-05,positive,SF
park_factor_slug_diff,6e-06,positive,SF
is_home,0.0,negative,SF
