feature,shap_value,signed_effect,perspective_team
away_team_id,-0.116463,negative,NYY
home_team_id,0.061826,positive,NYY
team_exitvelo_15g_away,-0.032549,negative,NYY
bullpen_whip_3g_home,0.031983,positive,NYY
lineup_actual_woba_delta_away,-0.019359,negative,NYY
lineup_handedness_matchup_advantage,-0.011504,negative,NYY
lineup_actual_top3_delta_away,0.011037,positive,NYY
bullpen_meltdown_risk,-0.008944,negative,NYY
lineup_actual_woba_delta_home,0.008848,positive,NYY
lineup_actual_top3_delta_home,-0.008834,negative,NYY
team_exitvelo_15g_home,0.008793,positive,NYY
sp_k9_home,-0.007965,negative,NYY
elo_diff,-0.007685,negative,NYY
air_density_velocity_boost,0.007626,positive,NYY
bullpen_whip_10g_home,0.006984,positive,NYY
lineup_woba_std_diff,0.006147,positive,NYY
sp_xwoba_away,-0.005095,negative,NYY
sp_era_5g_diff,-0.00507,negative,NYY
bullpen_pitches_diff,-0.004663,negative,NYY
sp_fbpct_diff,-0.004169,negative,NYY
away_win_pct,-0.003882,negative,NYY
sp_k9_diff,0.003881,positive,NYY
bullpen_whip_diff,0.003803,positive,NYY
lineup_depth_multiplier,0.003631,positive,NYY
away_elo,-0.003343,negative,NYY
team_exitvelo_diff,0.003331,positive,NYY
team_hardhit_diff,0.003159,positive,NYY
team_barrel_15g_away,0.003123,positive,NYY
run_margin_diff,-0.002937,negative,NYY
sp_xwoba_diff,-0.002905,negative,NYY
sp_fbvelo_diff,0.002752,positive,NYY
sp_era_diff,0.002636,positive,NYY
lineup_woba_top3_diff,-0.002256,negative,NYY
team_barrel_diff,-0.001877,negative,NYY
pitcher_regression_indicator,0.001875,positive,NYY
lineup_rest_count_away,0.001711,positive,NYY
team_barrel_15g_home,0.001658,positive,NYY
bullpen_whip_3g_diff,0.001636,positive,NYY
sp_xwoba_home,0.001535,positive,NYY
lineup_woba_top3_home,0.001496,positive,NYY
sp_k9_5g_diff,0.001487,positive,NYY
wind_advantage_flyball_factor,0.001439,positive,NYY
sp_era_home,-0.001366,negative,NYY
lineup_woba_mean_diff,-0.001321,negative,NYY
lineup_woba_top3_away,-0.001172,negative,NYY
home_elo,0.001104,positive,NYY
sp_era_away,-0.001056,negative,NYY
lineup_woba_mean_away,0.001034,positive,NYY
bullpen_whip_3g_away,-0.000969,negative,NYY
woba_30g_home,0.000798,positive,NYY
sp_whiff_diff,-0.000733,negative,NYY
home_win_pct,0.000696,positive,NYY
sp_xwoba_vs_l_diff,-0.000597,negative,NYY
lineup_woba_mean_home,-0.000596,negative,NYY
woba_30g_away,0.000462,positive,NYY
park_factor_slug_diff,-0.000387,negative,NYY
dome_is_neutral,-0.000293,negative,NYY
win_pct_diff,0.000291,positive,NYY
travel_fatigue_diff,-0.000196,negative,NYY
sp_k9_away,-0.000193,negative,NYY
ace_efficiency_factor,-8.8e-05,negative,NYY
lineup_rest_count_home,-8.8e-05,negative,NYY
bullpen_whip_10g_away,5.8e-05,positive,NYY
woba_30g_diff,2.8e-05,positive,NYY
closer_availability_diff,-2.1e-05,negative,NYY
is_home,0.0,negative,NYY
rest_days_diff,0.0,negative,NYY
