feature,shap_value,signed_effect,perspective_team
away_team_id,-0.124056,negative,NYY
home_team_id,0.055858,positive,NYY
lineup_handedness_matchup_advantage,-0.024076,negative,NYY
sp_xwoba_vs_l_diff,-0.020358,negative,NYY
team_exitvelo_15g_away,-0.01909,negative,NYY
bullpen_meltdown_risk,-0.016002,negative,NYY
run_margin_diff,-0.015219,negative,NYY
bullpen_whip_3g_home,0.013049,positive,NYY
sp_era_5g_diff,-0.012296,negative,NYY
bullpen_whip_3g_diff,0.01153,positive,NYY
sp_k9_away,0.011528,positive,NYY
home_elo,0.011093,positive,NYY
bullpen_whip_10g_home,0.010206,positive,NYY
sp_xwoba_diff,-0.00992,negative,NYY
elo_diff,-0.009307,negative,NYY
sp_era_diff,0.009031,positive,NYY
sp_k9_diff,0.008914,positive,NYY
away_win_pct,-0.006185,negative,NYY
sp_k9_home,-0.005908,negative,NYY
sp_era_home,0.005349,positive,NYY
sp_xwoba_home,0.005316,positive,NYY
team_barrel_diff,0.005233,positive,NYY
sp_fbvelo_diff,0.004627,positive,NYY
home_win_pct,0.004503,positive,NYY
win_pct_diff,0.004117,positive,NYY
team_exitvelo_15g_home,0.003942,positive,NYY
park_factor_slug_diff,-0.003534,negative,NYY
lineup_woba_std_diff,0.003058,positive,NYY
lineup_woba_top3_home,-0.002911,negative,NYY
sp_xwoba_away,-0.0028,negative,NYY
woba_30g_diff,-0.002602,negative,NYY
ace_efficiency_factor,0.002529,positive,NYY
sp_fbpct_diff,-0.002435,negative,NYY
lineup_depth_multiplier,-0.002185,negative,NYY
lineup_woba_mean_away,0.002177,positive,NYY
air_density_velocity_boost,0.001707,positive,NYY
lineup_woba_top3_away,-0.001548,negative,NYY
team_hardhit_diff,0.001055,positive,NYY
lineup_woba_mean_home,0.001024,positive,NYY
team_exitvelo_diff,0.000815,positive,NYY
bullpen_whip_diff,0.000781,positive,NYY
wind_advantage_flyball_factor,0.00077,positive,NYY
bullpen_pitches_diff,0.000755,positive,NYY
woba_30g_home,-0.000754,negative,NYY
team_barrel_15g_home,-0.000696,negative,NYY
sp_era_away,-0.000691,negative,NYY
lineup_woba_mean_diff,-0.000663,negative,NYY
travel_fatigue_diff,-0.00063,negative,NYY
woba_30g_away,-0.000523,negative,NYY
sp_k9_5g_diff,0.000487,positive,NYY
away_elo,-0.00044,negative,NYY
lineup_woba_top3_diff,-0.000299,negative,NYY
sp_whiff_diff,0.000287,positive,NYY
team_barrel_15g_away,-0.000249,negative,NYY
bullpen_whip_3g_away,0.000247,positive,NYY
bullpen_whip_10g_away,-0.000235,negative,NYY
pitcher_regression_indicator,-0.000156,negative,NYY
dome_is_neutral,-0.000108,negative,NYY
rest_days_diff,-3.5e-05,negative,NYY
closer_availability_diff,1.9e-05,positive,NYY
is_home,0.0,negative,NYY
