feature,shap_value,signed_effect,perspective_team
away_team_id,0.243261,positive,MIN
home_team_id,-0.059658,negative,MIN
air_density_velocity_boost,-0.051004,negative,MIN
bullpen_whip_3g_home,0.027254,positive,MIN
run_margin_diff,-0.024777,negative,MIN
sp_fbvelo_diff,-0.020414,negative,MIN
bullpen_whip_10g_home,-0.018866,negative,MIN
lineup_actual_woba_delta_away,-0.014862,negative,MIN
elo_diff,-0.013321,negative,MIN
bullpen_whip_diff,-0.011656,negative,MIN
bullpen_meltdown_risk,-0.010944,negative,MIN
sp_k9_5g_diff,-0.010807,negative,MIN
lineup_actual_top3_delta_home,-0.010453,negative,MIN
lineup_actual_top3_delta_away,0.010011,positive,MIN
sp_k9_home,0.009902,positive,MIN
lineup_actual_woba_delta_home,0.008187,positive,MIN
sp_k9_away,0.007885,positive,MIN
sp_era_5g_diff,-0.007043,negative,MIN
lineup_handedness_matchup_advantage,-0.005733,negative,MIN
sp_k9_diff,0.005161,positive,MIN
lineup_woba_mean_diff,-0.004683,negative,MIN
pitcher_regression_indicator,-0.004539,negative,MIN
sp_xwoba_vs_l_diff,0.004139,positive,MIN
away_win_pct,-0.003956,negative,MIN
sp_xwoba_diff,-0.003752,negative,MIN
sp_fbpct_diff,-0.003362,negative,MIN
sp_xwoba_home,-0.003151,negative,MIN
lineup_woba_std_diff,0.003133,positive,MIN
win_pct_diff,-0.002992,negative,MIN
team_barrel_diff,-0.00289,negative,MIN
lineup_depth_multiplier,0.002687,positive,MIN
bullpen_whip_3g_diff,0.002564,positive,MIN
away_elo,-0.002424,negative,MIN
lineup_woba_top3_diff,-0.002402,negative,MIN
team_exitvelo_15g_away,0.00209,positive,MIN
lineup_woba_top3_away,-0.001882,negative,MIN
team_hardhit_diff,0.001623,positive,MIN
sp_era_away,-0.00152,negative,MIN
lineup_woba_mean_away,0.001463,positive,MIN
home_win_pct,-0.001459,negative,MIN
sp_xwoba_away,-0.00125,negative,MIN
woba_30g_diff,-0.001088,negative,MIN
bullpen_pitches_diff,-0.001033,negative,MIN
team_exitvelo_15g_home,-0.000997,negative,MIN
bullpen_whip_3g_away,-0.000994,negative,MIN
woba_30g_home,0.000993,positive,MIN
team_barrel_15g_home,0.000879,positive,MIN
sp_whiff_diff,-0.000542,negative,MIN
team_barrel_15g_away,-0.00054,negative,MIN
woba_30g_away,-0.00053,negative,MIN
dome_is_neutral,0.000427,positive,MIN
lineup_rest_count_away,0.000398,positive,MIN
sp_era_diff,-0.000318,negative,MIN
ace_efficiency_factor,-0.000277,negative,MIN
sp_era_home,0.000177,positive,MIN
team_exitvelo_diff,-0.000174,negative,MIN
park_factor_slug_diff,0.000168,positive,MIN
lineup_woba_top3_home,-0.000149,negative,MIN
home_elo,0.000115,positive,MIN
lineup_woba_mean_home,9.3e-05,positive,MIN
travel_fatigue_diff,-9.2e-05,negative,MIN
lineup_rest_count_home,-5.3e-05,negative,MIN
bullpen_whip_10g_away,4.6e-05,positive,MIN
wind_advantage_flyball_factor,3.5e-05,positive,MIN
closer_availability_diff,-1.6e-05,negative,MIN
is_home,0.0,negative,MIN
rest_days_diff,0.0,negative,MIN
