feature,shap_value,signed_effect,perspective_team
away_team_id,0.253811,positive,ATL
home_team_id,0.085904,positive,ATL
air_density_velocity_boost,-0.071942,negative,ATL
sp_xwoba_diff,0.062833,positive,ATL
elo_diff,0.042348,positive,ATL
win_pct_diff,0.023175,positive,ATL
sp_era_5g_diff,0.022213,positive,ATL
bullpen_whip_3g_home,0.021581,positive,ATL
run_margin_diff,0.015131,positive,ATL
lineup_woba_mean_home,-0.014014,negative,ATL
sp_fbvelo_diff,-0.011117,negative,ATL
away_win_pct,0.010574,positive,ATL
woba_30g_diff,-0.01002,negative,ATL
sp_era_diff,0.009902,positive,ATL
sp_k9_away,0.008786,positive,ATL
sp_era_away,0.008708,positive,ATL
sp_xwoba_vs_l_diff,0.008062,positive,ATL
home_elo,0.007331,positive,ATL
bullpen_meltdown_risk,0.007018,positive,ATL
sp_k9_5g_diff,0.006608,positive,ATL
lineup_handedness_matchup_advantage,-0.006305,negative,ATL
away_elo,0.005969,positive,ATL
bullpen_whip_diff,0.004066,positive,ATL
sp_whiff_diff,-0.003902,negative,ATL
bullpen_whip_3g_diff,0.003734,positive,ATL
team_exitvelo_diff,0.003681,positive,ATL
team_exitvelo_15g_home,0.003681,positive,ATL
ace_efficiency_factor,-0.003457,negative,ATL
sp_xwoba_home,0.003187,positive,ATL
sp_era_home,0.002911,positive,ATL
sp_fbpct_diff,-0.002871,negative,ATL
team_exitvelo_15g_away,0.00268,positive,ATL
pitcher_regression_indicator,0.002559,positive,ATL
lineup_woba_mean_away,-0.002535,negative,ATL
bullpen_pitches_diff,-0.002496,negative,ATL
sp_k9_home,0.002368,positive,ATL
lineup_woba_top3_home,-0.002058,negative,ATL
bullpen_whip_10g_home,0.001923,positive,ATL
woba_30g_home,-0.00144,negative,ATL
lineup_woba_top3_away,0.001392,positive,ATL
park_factor_slug_diff,0.001382,positive,ATL
team_barrel_diff,0.001262,positive,ATL
lineup_woba_std_diff,-0.001188,negative,ATL
lineup_depth_multiplier,0.001145,positive,ATL
home_win_pct,0.001054,positive,ATL
lineup_woba_top3_diff,0.000877,positive,ATL
team_hardhit_diff,0.000752,positive,ATL
team_barrel_15g_home,0.000712,positive,ATL
sp_k9_diff,0.0006,positive,ATL
wind_advantage_flyball_factor,0.000589,positive,ATL
bullpen_whip_3g_away,0.000559,positive,ATL
lineup_woba_mean_diff,-0.000412,negative,ATL
woba_30g_away,-0.000342,negative,ATL
sp_xwoba_away,0.000303,positive,ATL
bullpen_whip_10g_away,0.0002,positive,ATL
travel_fatigue_diff,-0.000184,negative,ATL
dome_is_neutral,-5.9e-05,negative,ATL
rest_days_diff,2.5e-05,positive,ATL
team_barrel_15g_away,6e-06,positive,ATL
closer_availability_diff,1e-06,positive,ATL
is_home,0.0,negative,ATL
