feature,shap_value,signed_effect,perspective_team
air_density_velocity_boost,0.08804,positive,KC
run_margin_diff,0.03499,positive,KC
home_team_id,-0.029106,negative,KC
away_team_id,-0.021584,negative,KC
bullpen_meltdown_risk,0.017966,positive,KC
lineup_handedness_matchup_advantage,0.017826,positive,KC
bullpen_whip_diff,-0.014305,negative,KC
sp_xwoba_vs_l_diff,0.01412,positive,KC
sp_era_5g_diff,0.012703,positive,KC
bullpen_whip_3g_home,-0.011963,negative,KC
bullpen_whip_10g_home,-0.010565,negative,KC
sp_xwoba_diff,0.010421,positive,KC
sp_fbvelo_diff,0.010049,positive,KC
elo_diff,0.008597,positive,KC
sp_k9_away,-0.008155,negative,KC
sp_xwoba_home,0.007718,positive,KC
away_win_pct,0.006533,positive,KC
pitcher_regression_indicator,0.00552,positive,KC
sp_k9_5g_diff,-0.005457,negative,KC
home_win_pct,0.005253,positive,KC
sp_k9_home,0.005201,positive,KC
sp_k9_diff,-0.004852,negative,KC
woba_30g_diff,0.004244,positive,KC
sp_whiff_diff,-0.003998,negative,KC
away_elo,0.003597,positive,KC
ace_efficiency_factor,0.003075,positive,KC
bullpen_whip_3g_away,0.003074,positive,KC
sp_fbpct_diff,0.003056,positive,KC
sp_era_home,-0.002911,negative,KC
sp_xwoba_away,-0.002884,negative,KC
win_pct_diff,-0.002861,negative,KC
lineup_woba_std_diff,-0.002511,negative,KC
bullpen_pitches_diff,-0.002447,negative,KC
lineup_woba_top3_diff,-0.002194,negative,KC
team_barrel_15g_home,0.002042,positive,KC
lineup_depth_multiplier,-0.002028,negative,KC
team_exitvelo_15g_away,0.002011,positive,KC
lineup_woba_top3_away,0.00197,positive,KC
lineup_woba_mean_home,-0.001841,negative,KC
sp_era_diff,0.001539,positive,KC
lineup_woba_mean_diff,-0.001308,negative,KC
park_factor_slug_diff,0.001253,positive,KC
wind_advantage_flyball_factor,-0.001207,negative,KC
lineup_woba_mean_away,0.000885,positive,KC
bullpen_whip_3g_diff,-0.000817,negative,KC
team_exitvelo_15g_home,-0.000702,negative,KC
team_barrel_diff,0.000607,positive,KC
woba_30g_away,0.000557,positive,KC
team_exitvelo_diff,0.000523,positive,KC
team_barrel_15g_away,-0.000493,negative,KC
woba_30g_home,-0.000346,negative,KC
bullpen_whip_10g_away,0.000337,positive,KC
lineup_woba_top3_home,-0.00029,negative,KC
travel_fatigue_diff,-9.8e-05,negative,KC
rest_days_diff,4.5e-05,positive,KC
home_elo,-3.2e-05,negative,KC
sp_era_away,-2e-05,negative,KC
team_hardhit_diff,1.9e-05,positive,KC
closer_availability_diff,-1.8e-05,negative,KC
dome_is_neutral,-1.4e-05,negative,KC
is_home,-0.0,negative,KC
