feature,shap_value,signed_effect,perspective_team
away_team_id,0.114465,positive,STL
bullpen_whip_3g_home,0.026372,positive,STL
lineup_depth_multiplier,-0.022808,negative,STL
home_team_id,-0.020465,negative,STL
lineup_actual_woba_delta_away,-0.018397,negative,STL
elo_diff,-0.012173,negative,STL
bullpen_meltdown_risk,-0.012093,negative,STL
lineup_actual_top3_delta_home,-0.010962,negative,STL
lineup_actual_woba_delta_home,0.008534,positive,STL
sp_era_5g_diff,-0.008423,negative,STL
team_hardhit_diff,0.007296,positive,STL
air_density_velocity_boost,0.007132,positive,STL
lineup_actual_top3_delta_away,0.006924,positive,STL
woba_30g_away,0.006778,positive,STL
sp_xwoba_away,-0.005944,negative,STL
run_margin_diff,-0.005786,negative,STL
sp_fbpct_diff,-0.005481,negative,STL
lineup_handedness_matchup_advantage,-0.005446,negative,STL
bullpen_whip_3g_diff,0.005402,positive,STL
sp_k9_diff,0.004327,positive,STL
team_exitvelo_diff,0.004292,positive,STL
lineup_woba_top3_away,0.004016,positive,STL
sp_era_home,0.003567,positive,STL
lineup_woba_mean_diff,-0.003488,negative,STL
sp_xwoba_diff,-0.003203,negative,STL
sp_k9_home,-0.003079,negative,STL
away_win_pct,-0.002617,negative,STL
away_elo,-0.002279,negative,STL
team_barrel_diff,0.002169,positive,STL
bullpen_pitches_diff,-0.002097,negative,STL
sp_k9_5g_diff,-0.002091,negative,STL
sp_k9_away,-0.002032,negative,STL
bullpen_whip_10g_home,0.00198,positive,STL
bullpen_whip_diff,-0.001937,negative,STL
sp_fbvelo_diff,-0.001923,negative,STL
sp_era_away,-0.00177,negative,STL
team_barrel_15g_home,-0.001746,negative,STL
lineup_woba_top3_diff,-0.001673,negative,STL
lineup_woba_mean_away,0.00162,positive,STL
bullpen_whip_3g_away,-0.001553,negative,STL
home_win_pct,-0.001258,negative,STL
sp_xwoba_home,0.001152,positive,STL
sp_xwoba_vs_l_diff,-0.0011,negative,STL
lineup_woba_std_diff,0.001033,positive,STL
sp_whiff_diff,-0.000971,negative,STL
win_pct_diff,-0.00092,negative,STL
sp_era_diff,-0.000715,negative,STL
pitcher_regression_indicator,0.000626,positive,STL
lineup_woba_top3_home,0.000617,positive,STL
team_exitvelo_15g_home,-0.000596,negative,STL
ace_efficiency_factor,-0.00057,negative,STL
park_factor_slug_diff,0.000526,positive,STL
team_exitvelo_15g_away,0.000491,positive,STL
home_elo,0.000459,positive,STL
woba_30g_home,0.000423,positive,STL
woba_30g_diff,0.000347,positive,STL
lineup_woba_mean_home,-0.000315,negative,STL
bullpen_whip_10g_away,-0.000313,negative,STL
lineup_rest_count_away,0.000248,positive,STL
travel_fatigue_diff,-0.000214,negative,STL
team_barrel_15g_away,0.000159,positive,STL
wind_advantage_flyball_factor,0.000144,positive,STL
dome_is_neutral,-0.000117,negative,STL
lineup_rest_count_home,-4.7e-05,negative,STL
closer_availability_diff,-2.1e-05,negative,STL
is_home,0.0,negative,STL
rest_days_diff,0.0,negative,STL
