feature,shap_value,signed_effect,perspective_team
home_team_id,0.128899,positive,CHC
air_density_velocity_boost,-0.056997,negative,CHC
bullpen_whip_3g_home,0.029959,positive,CHC
run_margin_diff,0.025068,positive,CHC
lineup_woba_top3_diff,0.016083,positive,CHC
sp_fbvelo_diff,-0.014726,negative,CHC
sp_k9_away,-0.014408,negative,CHC
bullpen_meltdown_risk,0.01252,positive,CHC
lineup_depth_multiplier,-0.01203,negative,CHC
sp_era_home,0.010727,positive,CHC
sp_era_5g_diff,0.009253,positive,CHC
bullpen_whip_diff,0.008929,positive,CHC
sp_era_diff,-0.00859,negative,CHC
team_exitvelo_15g_home,-0.007624,negative,CHC
bullpen_whip_10g_away,0.007337,positive,CHC
team_exitvelo_15g_away,0.006767,positive,CHC
team_barrel_15g_home,0.006353,positive,CHC
sp_k9_diff,-0.005381,negative,CHC
home_win_pct,0.004677,positive,CHC
sp_xwoba_diff,-0.004637,negative,CHC
lineup_handedness_matchup_advantage,-0.004473,negative,CHC
away_win_pct,-0.004312,negative,CHC
bullpen_whip_10g_home,0.003942,positive,CHC
sp_xwoba_away,-0.003588,negative,CHC
away_elo,-0.003483,negative,CHC
team_barrel_15g_away,0.003249,positive,CHC
sp_k9_home,-0.003098,negative,CHC
sp_era_away,-0.002934,negative,CHC
sp_xwoba_vs_l_diff,0.002539,positive,CHC
lineup_woba_mean_diff,-0.0023,negative,CHC
team_hardhit_diff,0.002195,positive,CHC
bullpen_pitches_diff,-0.002164,negative,CHC
lineup_woba_mean_home,0.002139,positive,CHC
win_pct_diff,0.002007,positive,CHC
sp_xwoba_home,0.001959,positive,CHC
team_barrel_diff,0.001932,positive,CHC
pitcher_regression_indicator,0.001833,positive,CHC
lineup_woba_top3_home,0.001833,positive,CHC
bullpen_whip_3g_diff,0.00183,positive,CHC
sp_k9_5g_diff,-0.001656,negative,CHC
elo_diff,0.001642,positive,CHC
lineup_woba_mean_away,0.001613,positive,CHC
sp_whiff_diff,-0.001221,negative,CHC
woba_30g_diff,0.001166,positive,CHC
lineup_woba_std_diff,0.001151,positive,CHC
away_team_id,-0.001084,negative,CHC
home_elo,0.000948,positive,CHC
ace_efficiency_factor,-0.000907,negative,CHC
park_factor_slug_diff,-0.000889,negative,CHC
sp_fbpct_diff,-0.000884,negative,CHC
woba_30g_away,-0.000723,negative,CHC
wind_advantage_flyball_factor,0.000598,positive,CHC
team_exitvelo_diff,0.000532,positive,CHC
lineup_woba_top3_away,0.000246,positive,CHC
woba_30g_home,-0.00021,negative,CHC
bullpen_whip_3g_away,-0.000195,negative,CHC
dome_is_neutral,-8.2e-05,negative,CHC
travel_fatigue_diff,-8.1e-05,negative,CHC
closer_availability_diff,1.5e-05,positive,CHC
rest_days_diff,1e-05,positive,CHC
is_home,0.0,negative,CHC
