feature,shap_value,signed_effect,perspective_team
home_team_id,-0.159719,negative,WSH
away_team_id,0.060977,positive,WSH
bullpen_whip_3g_home,0.032343,positive,WSH
bullpen_meltdown_risk,0.019487,positive,WSH
lineup_depth_multiplier,-0.016852,negative,WSH
sp_era_home,0.01634,positive,WSH
bullpen_pitches_diff,0.014904,positive,WSH
bullpen_whip_10g_home,-0.011459,negative,WSH
pitcher_regression_indicator,0.009527,positive,WSH
air_density_velocity_boost,0.009316,positive,WSH
elo_diff,-0.009081,negative,WSH
team_exitvelo_15g_away,0.008349,positive,WSH
team_barrel_diff,0.007995,positive,WSH
sp_era_5g_diff,0.007913,positive,WSH
team_hardhit_diff,0.007775,positive,WSH
sp_era_diff,0.006415,positive,WSH
lineup_woba_top3_away,-0.00638,negative,WSH
home_elo,-0.005329,negative,WSH
sp_whiff_diff,0.004964,positive,WSH
team_exitvelo_15g_home,-0.004372,negative,WSH
sp_k9_away,0.004035,positive,WSH
bullpen_whip_diff,-0.003874,negative,WSH
away_win_pct,-0.003751,negative,WSH
sp_fbpct_diff,-0.00364,negative,WSH
team_barrel_15g_home,-0.003387,negative,WSH
team_exitvelo_diff,-0.003022,negative,WSH
wind_advantage_flyball_factor,0.002945,positive,WSH
sp_xwoba_vs_l_diff,0.002799,positive,WSH
bullpen_whip_3g_diff,0.002712,positive,WSH
lineup_woba_top3_home,-0.002599,negative,WSH
run_margin_diff,-0.002588,negative,WSH
away_elo,-0.002315,negative,WSH
woba_30g_diff,-0.002104,negative,WSH
lineup_woba_mean_away,0.0021,positive,WSH
lineup_woba_mean_diff,0.001947,positive,WSH
lineup_woba_std_diff,-0.001796,negative,WSH
sp_era_away,0.001711,positive,WSH
sp_xwoba_diff,-0.001709,negative,WSH
park_factor_slug_diff,-0.001174,negative,WSH
sp_xwoba_away,-0.001168,negative,WSH
ace_efficiency_factor,-0.000976,negative,WSH
lineup_woba_mean_home,-0.000828,negative,WSH
woba_30g_home,-0.000727,negative,WSH
win_pct_diff,0.000717,positive,WSH
sp_k9_home,-0.000699,negative,WSH
home_win_pct,0.000639,positive,WSH
bullpen_whip_10g_away,0.000619,positive,WSH
sp_fbvelo_diff,-0.00054,negative,WSH
sp_k9_diff,-0.000511,negative,WSH
bullpen_whip_3g_away,-0.000455,negative,WSH
sp_k9_5g_diff,-0.000453,negative,WSH
sp_xwoba_home,0.000377,positive,WSH
lineup_handedness_matchup_advantage,-0.000292,negative,WSH
lineup_woba_top3_diff,0.000276,positive,WSH
team_barrel_15g_away,-0.000272,negative,WSH
woba_30g_away,0.000225,positive,WSH
dome_is_neutral,-0.000175,negative,WSH
travel_fatigue_diff,-0.00013,negative,WSH
rest_days_diff,1.5e-05,positive,WSH
closer_availability_diff,1e-05,positive,WSH
is_home,0.0,negative,WSH
