feature,shap_value,signed_effect,perspective_team
home_team_id,0.083873,positive,TB
away_team_id,-0.077568,negative,TB
bullpen_whip_3g_home,0.040347,positive,TB
bullpen_meltdown_risk,0.017339,positive,TB
run_margin_diff,0.014105,positive,TB
bullpen_whip_diff,0.013875,positive,TB
sp_era_home,0.012274,positive,TB
home_elo,0.011288,positive,TB
sp_fbpct_diff,0.011023,positive,TB
bullpen_whip_10g_home,0.010344,positive,TB
team_exitvelo_15g_home,-0.007089,negative,TB
elo_diff,-0.006919,negative,TB
lineup_depth_multiplier,0.006822,positive,TB
sp_k9_away,0.006404,positive,TB
sp_era_diff,0.006129,positive,TB
sp_xwoba_vs_l_diff,0.0058,positive,TB
woba_30g_diff,-0.005676,negative,TB
air_density_velocity_boost,0.005369,positive,TB
win_pct_diff,0.004568,positive,TB
away_win_pct,-0.00413,negative,TB
sp_whiff_diff,-0.003399,negative,TB
team_hardhit_diff,0.003284,positive,TB
lineup_woba_mean_diff,0.002996,positive,TB
pitcher_regression_indicator,0.002815,positive,TB
team_exitvelo_diff,-0.00279,negative,TB
sp_xwoba_home,0.002504,positive,TB
bullpen_pitches_diff,-0.0025,negative,TB
bullpen_whip_3g_diff,0.002111,positive,TB
lineup_woba_top3_home,-0.001997,negative,TB
sp_era_away,0.001783,positive,TB
team_barrel_diff,-0.001733,negative,TB
woba_30g_home,-0.001677,negative,TB
lineup_woba_std_diff,-0.001647,negative,TB
home_win_pct,0.001586,positive,TB
lineup_woba_mean_home,0.001523,positive,TB
sp_k9_home,-0.001489,negative,TB
sp_era_5g_diff,-0.001337,negative,TB
away_elo,-0.001277,negative,TB
lineup_woba_top3_diff,-0.001212,negative,TB
sp_xwoba_diff,0.001003,positive,TB
woba_30g_away,0.000926,positive,TB
sp_fbvelo_diff,0.000917,positive,TB
lineup_handedness_matchup_advantage,0.000869,positive,TB
lineup_woba_mean_away,0.000863,positive,TB
sp_k9_5g_diff,-0.000799,negative,TB
team_barrel_15g_away,0.000775,positive,TB
ace_efficiency_factor,0.000696,positive,TB
sp_k9_diff,0.000642,positive,TB
wind_advantage_flyball_factor,0.00061,positive,TB
park_factor_slug_diff,-0.000593,negative,TB
lineup_woba_top3_away,0.000503,positive,TB
bullpen_whip_10g_away,0.000475,positive,TB
team_exitvelo_15g_away,-0.000416,negative,TB
team_barrel_15g_home,-0.000378,negative,TB
dome_is_neutral,0.000354,positive,TB
sp_xwoba_away,-0.000292,negative,TB
bullpen_whip_3g_away,-0.000139,negative,TB
travel_fatigue_diff,-2.3e-05,negative,TB
closer_availability_diff,-1e-05,negative,TB
rest_days_diff,9e-06,positive,TB
is_home,0.0,negative,TB
