feature,shap_value,signed_effect,perspective_team
away_team_id,0.105504,positive,TOR
home_team_id,0.059031,positive,TOR
bullpen_whip_3g_home,0.038136,positive,TOR
run_margin_diff,-0.023343,negative,TOR
sp_xwoba_vs_l_diff,-0.019753,negative,TOR
sp_k9_diff,-0.013215,negative,TOR
bullpen_whip_diff,0.013053,positive,TOR
sp_era_home,-0.012692,negative,TOR
sp_fbvelo_diff,-0.008649,negative,TOR
sp_era_diff,-0.00826,negative,TOR
air_density_velocity_boost,-0.00781,negative,TOR
team_exitvelo_15g_home,-0.006996,negative,TOR
woba_30g_diff,0.006843,positive,TOR
sp_era_5g_diff,-0.006337,negative,TOR
bullpen_whip_10g_away,0.005835,positive,TOR
win_pct_diff,0.005779,positive,TOR
team_exitvelo_diff,-0.005334,negative,TOR
team_exitvelo_15g_away,0.005269,positive,TOR
team_hardhit_diff,0.004373,positive,TOR
bullpen_meltdown_risk,-0.003924,negative,TOR
lineup_depth_multiplier,0.00382,positive,TOR
away_win_pct,-0.003811,negative,TOR
sp_k9_home,-0.003762,negative,TOR
sp_whiff_diff,-0.003102,negative,TOR
sp_xwoba_diff,-0.003018,negative,TOR
bullpen_pitches_diff,0.002728,positive,TOR
lineup_woba_mean_diff,0.002552,positive,TOR
bullpen_whip_3g_diff,0.002511,positive,TOR
wind_advantage_flyball_factor,-0.002461,negative,TOR
lineup_woba_mean_away,0.002392,positive,TOR
woba_30g_home,-0.002367,negative,TOR
away_elo,-0.002082,negative,TOR
pitcher_regression_indicator,0.002072,positive,TOR
woba_30g_away,0.001835,positive,TOR
lineup_woba_top3_home,-0.001751,negative,TOR
sp_xwoba_home,-0.001728,negative,TOR
elo_diff,0.001551,positive,TOR
lineup_woba_top3_diff,-0.001471,negative,TOR
sp_era_away,-0.001414,negative,TOR
bullpen_whip_10g_home,-0.001115,negative,TOR
sp_fbpct_diff,-0.001073,negative,TOR
lineup_woba_std_diff,0.000986,positive,TOR
lineup_woba_mean_home,0.000948,positive,TOR
sp_k9_away,0.000947,positive,TOR
bullpen_whip_3g_away,-0.000745,negative,TOR
lineup_woba_top3_away,0.000735,positive,TOR
home_elo,-0.000728,negative,TOR
ace_efficiency_factor,0.000705,positive,TOR
team_barrel_15g_away,0.000696,positive,TOR
team_barrel_diff,-0.000622,negative,TOR
team_barrel_15g_home,-0.000571,negative,TOR
dome_is_neutral,0.000534,positive,TOR
sp_k9_5g_diff,0.000414,positive,TOR
home_win_pct,-0.000396,negative,TOR
sp_xwoba_away,-0.000373,negative,TOR
park_factor_slug_diff,0.000307,positive,TOR
travel_fatigue_diff,-9.9e-05,negative,TOR
lineup_handedness_matchup_advantage,7.6e-05,positive,TOR
closer_availability_diff,-4e-06,negative,TOR
rest_days_diff,-2e-06,negative,TOR
is_home,0.0,negative,TOR
