feature,shap_value,signed_effect,perspective_team
home_team_id,-0.056183,negative,MIN
away_team_id,-0.041931,negative,MIN
bullpen_whip_diff,-0.019838,negative,MIN
sp_xwoba_vs_l_diff,0.01877,positive,MIN
lineup_handedness_matchup_advantage,-0.016354,negative,MIN
sp_era_5g_diff,-0.016173,negative,MIN
bullpen_meltdown_risk,0.011978,positive,MIN
bullpen_whip_3g_home,0.011973,positive,MIN
team_exitvelo_15g_away,0.008089,positive,MIN
sp_xwoba_diff,-0.006631,negative,MIN
sp_era_diff,0.005818,positive,MIN
team_exitvelo_diff,0.005455,positive,MIN
sp_era_home,0.005422,positive,MIN
bullpen_whip_3g_away,-0.005012,negative,MIN
bullpen_whip_10g_home,-0.004954,negative,MIN
sp_whiff_diff,-0.004724,negative,MIN
sp_k9_away,0.004583,positive,MIN
away_win_pct,-0.004481,negative,MIN
sp_fbpct_diff,-0.004335,negative,MIN
bullpen_whip_3g_diff,0.004278,positive,MIN
lineup_woba_std_diff,0.004124,positive,MIN
sp_fbvelo_diff,0.003522,positive,MIN
lineup_woba_mean_home,0.003501,positive,MIN
lineup_woba_mean_diff,0.003333,positive,MIN
sp_k9_5g_diff,0.003277,positive,MIN
away_elo,-0.002996,negative,MIN
win_pct_diff,-0.002886,negative,MIN
elo_diff,0.002382,positive,MIN
woba_30g_away,-0.002354,negative,MIN
lineup_woba_top3_away,0.002222,positive,MIN
team_barrel_15g_away,0.002218,positive,MIN
home_elo,-0.002107,negative,MIN
pitcher_regression_indicator,0.002033,positive,MIN
bullpen_pitches_diff,-0.001985,negative,MIN
sp_k9_home,-0.001885,negative,MIN
lineup_depth_multiplier,0.001783,positive,MIN
lineup_woba_mean_away,0.001766,positive,MIN
run_margin_diff,-0.001763,negative,MIN
sp_xwoba_away,-0.001686,negative,MIN
sp_era_away,-0.001584,negative,MIN
sp_k9_diff,0.001357,positive,MIN
air_density_velocity_boost,0.001147,positive,MIN
team_barrel_15g_home,-0.001144,negative,MIN
woba_30g_diff,0.001121,positive,MIN
team_barrel_diff,-0.000986,negative,MIN
woba_30g_home,-0.000881,negative,MIN
lineup_woba_top3_diff,-0.000875,negative,MIN
team_exitvelo_15g_home,0.000723,positive,MIN
team_hardhit_diff,0.000698,positive,MIN
lineup_woba_top3_home,-0.000659,negative,MIN
park_factor_slug_diff,-0.000582,negative,MIN
ace_efficiency_factor,-0.000534,negative,MIN
dome_is_neutral,0.000482,positive,MIN
travel_fatigue_diff,-0.000184,negative,MIN
sp_xwoba_home,0.000155,positive,MIN
bullpen_whip_10g_away,0.000145,positive,MIN
home_win_pct,-0.000122,negative,MIN
wind_advantage_flyball_factor,-2.2e-05,negative,MIN
rest_days_diff,-9e-06,negative,MIN
closer_availability_diff,-6e-06,negative,MIN
is_home,0.0,negative,MIN
