feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.081717,positive,TB
sp_xwoba_diff,0.045853,positive,TB
home_team_id,0.037248,positive,TB
air_density_velocity_boost,-0.023025,negative,TB
win_pct_diff,0.018463,positive,TB
sp_era_diff,-0.01558,negative,TB
bullpen_whip_diff,0.015224,positive,TB
bullpen_meltdown_risk,0.014385,positive,TB
lineup_depth_multiplier,-0.014301,negative,TB
team_exitvelo_15g_home,-0.013819,negative,TB
sp_fbvelo_diff,-0.013451,negative,TB
bullpen_whip_3g_home,0.011916,positive,TB
elo_diff,0.011666,positive,TB
sp_xwoba_away,0.009572,positive,TB
home_elo,0.009264,positive,TB
lineup_handedness_matchup_advantage,-0.007341,negative,TB
sp_xwoba_vs_l_diff,0.007107,positive,TB
lineup_woba_mean_home,0.005042,positive,TB
bullpen_whip_3g_away,-0.004992,negative,TB
sp_k9_away,0.004655,positive,TB
lineup_woba_mean_diff,-0.004492,negative,TB
woba_30g_away,-0.004337,negative,TB
away_elo,-0.004184,negative,TB
home_win_pct,0.004011,positive,TB
away_win_pct,-0.003507,negative,TB
woba_30g_diff,0.003488,positive,TB
lineup_woba_mean_away,0.003264,positive,TB
lineup_woba_top3_home,-0.002977,negative,TB
bullpen_whip_3g_diff,0.002796,positive,TB
team_exitvelo_15g_away,0.002728,positive,TB
pitcher_regression_indicator,0.002679,positive,TB
sp_k9_diff,0.002546,positive,TB
sp_era_home,-0.002355,negative,TB
team_barrel_diff,-0.002176,negative,TB
sp_era_5g_diff,0.002073,positive,TB
lineup_woba_std_diff,0.002008,positive,TB
team_hardhit_diff,0.001934,positive,TB
bullpen_pitches_diff,-0.001685,negative,TB
bullpen_whip_10g_home,0.001432,positive,TB
sp_k9_5g_diff,0.001409,positive,TB
lineup_woba_top3_away,0.001125,positive,TB
sp_fbpct_diff,-0.000902,negative,TB
team_barrel_15g_away,-0.000862,negative,TB
away_team_id,0.000825,positive,TB
team_exitvelo_diff,-0.000793,negative,TB
team_barrel_15g_home,-0.000539,negative,TB
sp_whiff_diff,0.000448,positive,TB
park_factor_slug_diff,-0.000273,negative,TB
sp_k9_home,0.000273,positive,TB
sp_era_away,0.00025,positive,TB
sp_xwoba_home,-0.000242,negative,TB
ace_efficiency_factor,0.000173,positive,TB
bullpen_whip_10g_away,-0.000163,negative,TB
lineup_woba_top3_diff,-0.000117,negative,TB
dome_is_neutral,5.3e-05,positive,TB
wind_advantage_flyball_factor,2.7e-05,positive,TB
closer_availability_diff,-2.3e-05,negative,TB
woba_30g_home,1.7e-05,positive,TB
travel_fatigue_diff,-1.1e-05,negative,TB
rest_days_diff,-2e-06,negative,TB
is_home,0.0,negative,TB
