feature,shap_value,signed_effect,perspective_team
away_team_id,0.086783,positive,SD
home_team_id,0.069879,positive,SD
run_margin_diff,0.040467,positive,SD
air_density_velocity_boost,0.036606,positive,SD
bullpen_whip_3g_home,-0.020273,negative,SD
bullpen_whip_diff,0.017196,positive,SD
bullpen_meltdown_risk,-0.01425,negative,SD
sp_era_diff,0.014232,positive,SD
sp_fbvelo_diff,0.00879,positive,SD
woba_30g_away,-0.007883,negative,SD
sp_xwoba_diff,0.007383,positive,SD
sp_era_home,0.006778,positive,SD
sp_k9_home,0.006471,positive,SD
lineup_handedness_matchup_advantage,0.006134,positive,SD
away_win_pct,0.006005,positive,SD
elo_diff,0.005082,positive,SD
bullpen_whip_10g_home,0.004985,positive,SD
bullpen_whip_3g_away,0.004963,positive,SD
team_exitvelo_15g_home,0.004411,positive,SD
lineup_woba_mean_diff,-0.004114,negative,SD
lineup_woba_mean_home,-0.003639,negative,SD
lineup_woba_mean_away,-0.003606,negative,SD
sp_k9_5g_diff,0.003587,positive,SD
sp_k9_away,-0.003486,negative,SD
sp_xwoba_home,0.003477,positive,SD
wind_advantage_flyball_factor,0.002983,positive,SD
sp_era_5g_diff,-0.002787,negative,SD
team_exitvelo_15g_away,-0.002305,negative,SD
lineup_woba_std_diff,-0.0021,negative,SD
sp_whiff_diff,0.002043,positive,SD
woba_30g_diff,0.001955,positive,SD
pitcher_regression_indicator,-0.001818,negative,SD
lineup_woba_top3_away,-0.001723,negative,SD
team_exitvelo_diff,0.001528,positive,SD
team_hardhit_diff,-0.001315,negative,SD
bullpen_pitches_diff,-0.001298,negative,SD
sp_xwoba_vs_l_diff,-0.001261,negative,SD
team_barrel_15g_away,-0.001219,negative,SD
home_elo,-0.001178,negative,SD
ace_efficiency_factor,0.000925,positive,SD
away_elo,0.000773,positive,SD
park_factor_slug_diff,0.000751,positive,SD
win_pct_diff,-0.000675,negative,SD
team_barrel_15g_home,0.000657,positive,SD
lineup_depth_multiplier,-0.000613,negative,SD
woba_30g_home,0.000578,positive,SD
sp_era_away,0.000498,positive,SD
lineup_woba_top3_home,-0.000444,negative,SD
sp_fbpct_diff,0.000441,positive,SD
home_win_pct,-0.000389,negative,SD
sp_xwoba_away,-0.000374,negative,SD
dome_is_neutral,0.000354,positive,SD
bullpen_whip_3g_diff,-0.00024,negative,SD
team_barrel_diff,0.000198,positive,SD
lineup_woba_top3_diff,0.000193,positive,SD
sp_k9_diff,-5.1e-05,negative,SD
travel_fatigue_diff,3.6e-05,positive,SD
bullpen_whip_10g_away,1.6e-05,positive,SD
rest_days_diff,-1.4e-05,negative,SD
closer_availability_diff,1e-05,positive,SD
is_home,-0.0,negative,SD
