feature,shap_value,signed_effect,perspective_team
away_team_id,0.05683,positive,ATL
home_team_id,0.052405,positive,ATL
elo_diff,0.037971,positive,ATL
air_density_velocity_boost,-0.031737,negative,ATL
win_pct_diff,0.023305,positive,ATL
away_elo,0.022954,positive,ATL
sp_era_5g_diff,-0.020955,negative,ATL
sp_fbvelo_diff,-0.018266,negative,ATL
sp_xwoba_vs_l_diff,0.017686,positive,ATL
team_hardhit_diff,-0.017285,negative,ATL
bullpen_whip_3g_home,0.012122,positive,ATL
pitcher_regression_indicator,-0.010702,negative,ATL
sp_era_diff,0.010292,positive,ATL
bullpen_whip_diff,0.00928,positive,ATL
bullpen_meltdown_risk,0.008882,positive,ATL
run_margin_diff,-0.006881,negative,ATL
sp_xwoba_diff,-0.005851,negative,ATL
sp_fbpct_diff,-0.005763,negative,ATL
sp_k9_away,0.005573,positive,ATL
woba_30g_diff,0.005345,positive,ATL
bullpen_whip_3g_diff,0.005192,positive,ATL
sp_era_home,-0.005039,negative,ATL
lineup_woba_mean_away,0.004957,positive,ATL
team_exitvelo_15g_away,-0.004912,negative,ATL
home_elo,0.004642,positive,ATL
lineup_handedness_matchup_advantage,-0.004499,negative,ATL
lineup_woba_mean_diff,-0.004346,negative,ATL
sp_k9_home,-0.00432,negative,ATL
home_win_pct,0.004126,positive,ATL
lineup_woba_std_diff,0.003545,positive,ATL
lineup_woba_top3_home,-0.003469,negative,ATL
away_win_pct,0.003099,positive,ATL
woba_30g_away,0.002939,positive,ATL
lineup_woba_mean_home,-0.002654,negative,ATL
sp_k9_5g_diff,0.002447,positive,ATL
ace_efficiency_factor,-0.002339,negative,ATL
bullpen_whip_3g_away,-0.002285,negative,ATL
sp_xwoba_home,-0.002272,negative,ATL
team_exitvelo_diff,-0.00209,negative,ATL
lineup_depth_multiplier,0.002017,positive,ATL
sp_whiff_diff,-0.001691,negative,ATL
team_barrel_15g_away,-0.001672,negative,ATL
sp_k9_diff,0.001644,positive,ATL
park_factor_slug_diff,-0.001274,negative,ATL
team_barrel_diff,-0.001161,negative,ATL
lineup_woba_top3_diff,-0.001047,negative,ATL
lineup_woba_top3_away,-0.000722,negative,ATL
sp_era_away,0.00065,positive,ATL
team_exitvelo_15g_home,0.000629,positive,ATL
bullpen_whip_10g_away,0.000605,positive,ATL
bullpen_whip_10g_home,0.000589,positive,ATL
team_barrel_15g_home,-0.000581,negative,ATL
wind_advantage_flyball_factor,0.000293,positive,ATL
woba_30g_home,-0.000245,negative,ATL
bullpen_pitches_diff,-0.000205,negative,ATL
dome_is_neutral,-0.000129,negative,ATL
sp_xwoba_away,6.8e-05,positive,ATL
travel_fatigue_diff,-1.9e-05,negative,ATL
closer_availability_diff,-2e-06,negative,ATL
rest_days_diff,-1e-06,negative,ATL
is_home,0.0,negative,ATL
