feature,shap_value,signed_effect,perspective_team
away_team_id,0.06621,positive,KC
run_margin_diff,-0.050483,negative,KC
sp_era_5g_diff,0.027474,positive,KC
home_team_id,0.026868,positive,KC
air_density_velocity_boost,-0.017624,negative,KC
bullpen_whip_3g_home,0.013316,positive,KC
sp_fbvelo_diff,-0.012846,negative,KC
sp_era_diff,0.011043,positive,KC
lineup_depth_multiplier,-0.009463,negative,KC
sp_k9_home,0.009031,positive,KC
lineup_handedness_matchup_advantage,-0.007129,negative,KC
sp_xwoba_vs_l_diff,0.006785,positive,KC
bullpen_meltdown_risk,-0.006659,negative,KC
team_exitvelo_diff,0.006592,positive,KC
lineup_woba_top3_home,0.006464,positive,KC
elo_diff,0.005906,positive,KC
sp_era_home,0.005595,positive,KC
away_elo,-0.005027,negative,KC
sp_xwoba_diff,-0.004464,negative,KC
lineup_woba_top3_diff,0.004128,positive,KC
sp_k9_away,0.004098,positive,KC
away_win_pct,0.003995,positive,KC
woba_30g_diff,0.003811,positive,KC
lineup_woba_mean_diff,0.003392,positive,KC
lineup_woba_mean_home,0.003356,positive,KC
lineup_woba_mean_away,0.003226,positive,KC
bullpen_whip_3g_away,-0.003204,negative,KC
home_win_pct,-0.003178,negative,KC
team_exitvelo_15g_home,0.003153,positive,KC
pitcher_regression_indicator,0.002679,positive,KC
team_exitvelo_15g_away,0.002646,positive,KC
team_hardhit_diff,0.002563,positive,KC
bullpen_whip_10g_away,-0.002359,negative,KC
woba_30g_away,-0.002244,negative,KC
sp_whiff_diff,-0.002215,negative,KC
bullpen_whip_3g_diff,0.002121,positive,KC
lineup_woba_top3_away,0.002009,positive,KC
lineup_woba_std_diff,0.001924,positive,KC
team_barrel_15g_home,-0.001918,negative,KC
bullpen_whip_diff,0.001847,positive,KC
sp_k9_5g_diff,0.001234,positive,KC
sp_xwoba_home,-0.001094,negative,KC
sp_fbpct_diff,0.000999,positive,KC
sp_xwoba_away,0.00086,positive,KC
bullpen_pitches_diff,-0.000787,negative,KC
park_factor_slug_diff,-0.000736,negative,KC
team_barrel_15g_away,-0.000729,negative,KC
win_pct_diff,0.000656,positive,KC
bullpen_whip_10g_home,0.00063,positive,KC
woba_30g_home,0.000408,positive,KC
sp_era_away,-0.000387,negative,KC
ace_efficiency_factor,-0.000371,negative,KC
wind_advantage_flyball_factor,0.00036,positive,KC
sp_k9_diff,0.000209,positive,KC
home_elo,0.000167,positive,KC
dome_is_neutral,-7.3e-05,negative,KC
team_barrel_diff,1.3e-05,positive,KC
rest_days_diff,6e-06,positive,KC
travel_fatigue_diff,1e-06,positive,KC
is_home,0.0,negative,KC
closer_availability_diff,0.0,negative,KC
