feature,shap_value,signed_effect,perspective_team
away_team_id,-0.143152,negative,CHC
home_team_id,0.103177,positive,CHC
lineup_woba_top3_diff,0.018764,positive,CHC
sp_era_5g_diff,-0.014337,negative,CHC
team_hardhit_diff,-0.013346,negative,CHC
lineup_handedness_matchup_advantage,-0.011393,negative,CHC
bullpen_whip_3g_home,0.010268,positive,CHC
sp_era_diff,0.007973,positive,CHC
sp_xwoba_home,-0.00648,negative,CHC
lineup_woba_mean_away,0.006188,positive,CHC
lineup_woba_mean_home,0.005629,positive,CHC
sp_k9_home,-0.005604,negative,CHC
home_win_pct,0.00519,positive,CHC
air_density_velocity_boost,0.004953,positive,CHC
sp_era_home,-0.004176,negative,CHC
sp_fbvelo_diff,0.003998,positive,CHC
sp_xwoba_diff,-0.003725,negative,CHC
sp_fbpct_diff,0.00362,positive,CHC
away_win_pct,-0.00328,negative,CHC
pitcher_regression_indicator,0.003221,positive,CHC
lineup_woba_std_diff,0.003211,positive,CHC
bullpen_whip_3g_diff,0.003145,positive,CHC
team_barrel_15g_home,0.003066,positive,CHC
sp_k9_away,0.003028,positive,CHC
woba_30g_diff,0.002871,positive,CHC
sp_xwoba_vs_l_diff,-0.00282,negative,CHC
bullpen_whip_diff,-0.00251,negative,CHC
bullpen_whip_10g_home,0.002467,positive,CHC
elo_diff,-0.002302,negative,CHC
lineup_woba_top3_away,0.002292,positive,CHC
away_elo,-0.002124,negative,CHC
woba_30g_home,0.002082,positive,CHC
bullpen_whip_3g_away,-0.002022,negative,CHC
lineup_woba_mean_diff,0.001913,positive,CHC
wind_advantage_flyball_factor,0.001901,positive,CHC
team_barrel_15g_away,-0.001879,negative,CHC
team_exitvelo_15g_away,0.001856,positive,CHC
bullpen_pitches_diff,0.001674,positive,CHC
lineup_depth_multiplier,0.001526,positive,CHC
bullpen_meltdown_risk,-0.001397,negative,CHC
team_exitvelo_15g_home,-0.001347,negative,CHC
woba_30g_away,-0.001288,negative,CHC
lineup_woba_top3_home,0.001193,positive,CHC
sp_xwoba_away,0.001028,positive,CHC
team_exitvelo_diff,0.001009,positive,CHC
sp_k9_5g_diff,-0.000999,negative,CHC
run_margin_diff,-0.000978,negative,CHC
home_elo,0.000922,positive,CHC
bullpen_whip_10g_away,-0.000809,negative,CHC
win_pct_diff,0.00056,positive,CHC
park_factor_slug_diff,-0.000545,negative,CHC
team_barrel_diff,0.000373,positive,CHC
sp_whiff_diff,-0.000372,negative,CHC
sp_k9_diff,0.000235,positive,CHC
sp_era_away,6.9e-05,positive,CHC
ace_efficiency_factor,-5.9e-05,negative,CHC
dome_is_neutral,-5.2e-05,negative,CHC
travel_fatigue_diff,-2.5e-05,negative,CHC
closer_availability_diff,-7e-06,negative,CHC
rest_days_diff,-5e-06,negative,CHC
is_home,0.0,negative,CHC
