feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.144813,positive,PHI
away_team_id,0.083438,positive,PHI
home_team_id,-0.050451,negative,PHI
air_density_velocity_boost,0.037072,positive,PHI
lineup_woba_std_diff,0.036002,positive,PHI
sp_xwoba_vs_l_diff,0.022414,positive,PHI
bullpen_whip_3g_home,-0.021899,negative,PHI
sp_era_5g_diff,0.019608,positive,PHI
bullpen_meltdown_risk,-0.016124,negative,PHI
sp_fbvelo_diff,0.012326,positive,PHI
sp_k9_away,0.011478,positive,PHI
team_exitvelo_15g_home,0.008266,positive,PHI
pitcher_regression_indicator,0.008141,positive,PHI
bullpen_whip_diff,0.007755,positive,PHI
sp_k9_diff,0.007665,positive,PHI
elo_diff,0.007637,positive,PHI
sp_era_home,-0.007276,negative,PHI
sp_xwoba_diff,0.006253,positive,PHI
bullpen_whip_3g_away,0.00589,positive,PHI
lineup_woba_mean_diff,0.005508,positive,PHI
away_win_pct,0.005112,positive,PHI
home_elo,0.004914,positive,PHI
woba_30g_diff,0.004255,positive,PHI
bullpen_whip_3g_diff,-0.003693,negative,PHI
sp_era_diff,-0.003538,negative,PHI
woba_30g_away,-0.003501,negative,PHI
lineup_handedness_matchup_advantage,0.002986,positive,PHI
lineup_woba_mean_home,-0.002977,negative,PHI
lineup_woba_mean_away,-0.002914,negative,PHI
win_pct_diff,0.002869,positive,PHI
lineup_depth_multiplier,-0.002839,negative,PHI
bullpen_whip_10g_away,0.002728,positive,PHI
bullpen_pitches_diff,-0.002628,negative,PHI
sp_whiff_diff,0.00255,positive,PHI
sp_k9_5g_diff,0.002328,positive,PHI
team_exitvelo_diff,0.002262,positive,PHI
lineup_woba_top3_diff,0.002155,positive,PHI
away_elo,-0.001977,negative,PHI
team_hardhit_diff,-0.001915,negative,PHI
team_barrel_diff,0.001889,positive,PHI
sp_xwoba_home,0.001887,positive,PHI
sp_xwoba_away,0.001655,positive,PHI
team_exitvelo_15g_away,0.001336,positive,PHI
lineup_woba_top3_away,0.001238,positive,PHI
home_win_pct,-0.001236,negative,PHI
sp_era_away,0.001189,positive,PHI
park_factor_slug_diff,0.001171,positive,PHI
sp_fbpct_diff,0.000957,positive,PHI
team_barrel_15g_home,0.000931,positive,PHI
team_barrel_15g_away,0.000896,positive,PHI
lineup_woba_top3_home,-0.000609,negative,PHI
bullpen_whip_10g_home,-0.000369,negative,PHI
wind_advantage_flyball_factor,-0.000322,negative,PHI
dome_is_neutral,-0.000166,negative,PHI
ace_efficiency_factor,0.000147,positive,PHI
woba_30g_home,0.000125,positive,PHI
sp_k9_home,-5.8e-05,negative,PHI
travel_fatigue_diff,1.6e-05,positive,PHI
rest_days_diff,-6e-06,negative,PHI
closer_availability_diff,1e-06,positive,PHI
is_home,-0.0,negative,PHI
