feature,shap_value,signed_effect,perspective_team
home_team_id,0.20309,positive,LAD
team_hardhit_diff,-0.022057,negative,LAD
sp_k9_home,0.016156,positive,LAD
sp_era_5g_diff,-0.01452,negative,LAD
sp_era_home,-0.013706,negative,LAD
bullpen_whip_10g_home,0.011848,positive,LAD
bullpen_whip_3g_home,0.011394,positive,LAD
bullpen_whip_diff,-0.011184,negative,LAD
bullpen_meltdown_risk,0.010843,positive,LAD
bullpen_whip_10g_away,0.01061,positive,LAD
bullpen_pitches_diff,0.009,positive,LAD
lineup_handedness_matchup_advantage,-0.007238,negative,LAD
sp_era_diff,-0.006857,negative,LAD
sp_fbvelo_diff,0.006808,positive,LAD
bullpen_whip_3g_diff,0.006464,positive,LAD
home_elo,0.005937,positive,LAD
away_win_pct,-0.00561,negative,LAD
sp_xwoba_vs_l_diff,0.004703,positive,LAD
air_density_velocity_boost,0.004691,positive,LAD
lineup_depth_multiplier,0.004516,positive,LAD
lineup_woba_top3_diff,-0.004217,negative,LAD
lineup_woba_std_diff,0.00406,positive,LAD
away_elo,-0.003973,negative,LAD
sp_k9_away,0.003972,positive,LAD
wind_advantage_flyball_factor,0.003961,positive,LAD
run_margin_diff,0.003589,positive,LAD
away_team_id,0.003542,positive,LAD
home_win_pct,0.003521,positive,LAD
woba_30g_away,-0.003141,negative,LAD
elo_diff,0.003131,positive,LAD
pitcher_regression_indicator,0.00307,positive,LAD
lineup_woba_mean_away,0.002952,positive,LAD
team_barrel_15g_home,-0.002848,negative,LAD
woba_30g_diff,0.002739,positive,LAD
sp_fbpct_diff,-0.002229,negative,LAD
team_barrel_15g_away,-0.002079,negative,LAD
lineup_woba_top3_away,-0.001983,negative,LAD
win_pct_diff,-0.001964,negative,LAD
lineup_woba_mean_diff,0.001748,positive,LAD
sp_k9_5g_diff,-0.001704,negative,LAD
sp_xwoba_diff,-0.00169,negative,LAD
bullpen_whip_3g_away,-0.00153,negative,LAD
team_exitvelo_diff,-0.001457,negative,LAD
sp_k9_diff,0.001372,positive,LAD
sp_era_away,-0.001295,negative,LAD
sp_xwoba_home,0.001106,positive,LAD
sp_xwoba_away,0.000932,positive,LAD
team_barrel_diff,-0.000867,negative,LAD
sp_whiff_diff,0.000851,positive,LAD
lineup_woba_mean_home,0.000825,positive,LAD
lineup_woba_top3_home,-0.000626,negative,LAD
park_factor_slug_diff,-0.000454,negative,LAD
woba_30g_home,0.000267,positive,LAD
ace_efficiency_factor,0.000254,positive,LAD
dome_is_neutral,-6.8e-05,negative,LAD
team_exitvelo_15g_home,3.5e-05,positive,LAD
team_exitvelo_15g_away,-2.6e-05,negative,LAD
rest_days_diff,-3e-06,negative,LAD
travel_fatigue_diff,-2e-06,negative,LAD
closer_availability_diff,2e-06,positive,LAD
is_home,0.0,negative,LAD
