feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.106291,positive,CLE
team_exitvelo_15g_away,-0.04793,negative,CLE
away_team_id,-0.03835,negative,CLE
sp_xwoba_diff,0.036056,positive,CLE
home_team_id,0.035761,positive,CLE
sp_era_5g_diff,0.031944,positive,CLE
bullpen_meltdown_risk,0.01457,positive,CLE
lineup_handedness_matchup_advantage,-0.012448,negative,CLE
bullpen_whip_3g_home,0.011786,positive,CLE
bullpen_whip_diff,0.01034,positive,CLE
sp_xwoba_vs_l_diff,0.009046,positive,CLE
elo_diff,-0.007802,negative,CLE
away_elo,0.007551,positive,CLE
pitcher_regression_indicator,-0.007062,negative,CLE
sp_era_home,0.006912,positive,CLE
sp_xwoba_home,0.006734,positive,CLE
sp_fbvelo_diff,0.004855,positive,CLE
bullpen_pitches_diff,-0.004236,negative,CLE
sp_k9_away,0.003807,positive,CLE
sp_era_diff,0.00376,positive,CLE
lineup_depth_multiplier,0.003622,positive,CLE
team_exitvelo_15g_home,-0.003576,negative,CLE
lineup_woba_mean_home,0.003248,positive,CLE
win_pct_diff,-0.002894,negative,CLE
woba_30g_away,-0.002894,negative,CLE
bullpen_whip_3g_diff,0.00285,positive,CLE
sp_k9_diff,0.0027,positive,CLE
bullpen_whip_3g_away,-0.002692,negative,CLE
woba_30g_diff,-0.002628,negative,CLE
lineup_woba_std_diff,0.002444,positive,CLE
team_barrel_15g_away,0.002391,positive,CLE
team_exitvelo_diff,0.002317,positive,CLE
sp_fbpct_diff,-0.00219,negative,CLE
sp_k9_5g_diff,0.002118,positive,CLE
lineup_woba_mean_away,0.001917,positive,CLE
bullpen_whip_10g_home,0.001629,positive,CLE
lineup_woba_mean_diff,0.001609,positive,CLE
sp_whiff_diff,0.001588,positive,CLE
lineup_woba_top3_home,0.001487,positive,CLE
team_barrel_diff,-0.001451,negative,CLE
air_density_velocity_boost,0.001387,positive,CLE
away_win_pct,-0.001273,negative,CLE
park_factor_slug_diff,-0.001091,negative,CLE
sp_xwoba_away,-0.001079,negative,CLE
home_win_pct,0.000904,positive,CLE
ace_efficiency_factor,0.000812,positive,CLE
woba_30g_home,-0.000712,negative,CLE
sp_k9_home,0.000708,positive,CLE
lineup_woba_top3_diff,-0.000636,negative,CLE
lineup_woba_top3_away,0.000611,positive,CLE
team_hardhit_diff,0.000582,positive,CLE
team_barrel_15g_home,-0.000579,negative,CLE
home_elo,0.000532,positive,CLE
sp_era_away,-0.000387,negative,CLE
wind_advantage_flyball_factor,0.000176,positive,CLE
bullpen_whip_10g_away,8.1e-05,positive,CLE
dome_is_neutral,-7.5e-05,negative,CLE
travel_fatigue_diff,1.7e-05,positive,CLE
rest_days_diff,1.1e-05,positive,CLE
closer_availability_diff,-3e-06,negative,CLE
is_home,0.0,negative,CLE
