feature,shap_value,signed_effect,perspective_team
home_team_id,0.082961,positive,TEX
away_team_id,0.056721,positive,TEX
away_elo,0.048903,positive,TEX
run_margin_diff,0.025281,positive,TEX
sp_xwoba_vs_l_diff,-0.017074,negative,TEX
away_win_pct,0.016251,positive,TEX
lineup_handedness_matchup_advantage,-0.012931,negative,TEX
sp_k9_home,0.010045,positive,TEX
sp_era_5g_diff,-0.009392,negative,TEX
sp_era_diff,0.009296,positive,TEX
lineup_woba_top3_away,-0.008704,negative,TEX
team_hardhit_diff,0.007098,positive,TEX
sp_xwoba_diff,-0.00674,negative,TEX
sp_fbpct_diff,0.006691,positive,TEX
bullpen_meltdown_risk,-0.006657,negative,TEX
elo_diff,0.006533,positive,TEX
lineup_woba_top3_diff,-0.006478,negative,TEX
team_exitvelo_15g_away,0.006293,positive,TEX
sp_era_home,0.005399,positive,TEX
park_factor_slug_diff,-0.005308,negative,TEX
air_density_velocity_boost,-0.004934,negative,TEX
sp_xwoba_away,-0.004777,negative,TEX
bullpen_whip_3g_diff,0.004648,positive,TEX
bullpen_whip_3g_home,0.004483,positive,TEX
sp_k9_away,0.003798,positive,TEX
lineup_woba_mean_away,0.003697,positive,TEX
lineup_woba_std_diff,0.003486,positive,TEX
lineup_depth_multiplier,0.003439,positive,TEX
woba_30g_away,-0.00336,negative,TEX
wind_advantage_flyball_factor,-0.003293,negative,TEX
bullpen_pitches_diff,-0.002964,negative,TEX
sp_whiff_diff,-0.00293,negative,TEX
sp_k9_diff,-0.002925,negative,TEX
team_barrel_diff,-0.002913,negative,TEX
pitcher_regression_indicator,0.002682,positive,TEX
bullpen_whip_diff,-0.002388,negative,TEX
bullpen_whip_3g_away,-0.002041,negative,TEX
team_exitvelo_15g_home,0.001926,positive,TEX
sp_k9_5g_diff,-0.001634,negative,TEX
home_elo,-0.001606,negative,TEX
lineup_woba_mean_diff,0.001544,positive,TEX
sp_fbvelo_diff,-0.001388,negative,TEX
sp_xwoba_home,0.001351,positive,TEX
woba_30g_diff,-0.001316,negative,TEX
bullpen_whip_10g_home,-0.001269,negative,TEX
team_barrel_15g_away,-0.00103,negative,TEX
bullpen_whip_10g_away,-0.000985,negative,TEX
lineup_woba_mean_home,0.000951,positive,TEX
win_pct_diff,-0.00086,negative,TEX
lineup_woba_top3_home,-0.000826,negative,TEX
team_exitvelo_diff,-0.000727,negative,TEX
woba_30g_home,0.000629,positive,TEX
sp_era_away,-0.000402,negative,TEX
home_win_pct,0.000119,positive,TEX
dome_is_neutral,0.000117,positive,TEX
team_barrel_15g_home,-7.4e-05,negative,TEX
ace_efficiency_factor,5.9e-05,positive,TEX
travel_fatigue_diff,3.7e-05,positive,TEX
rest_days_diff,-5e-06,negative,TEX
closer_availability_diff,-4e-06,negative,TEX
is_home,0.0,negative,TEX
