feature,shap_value,signed_effect,perspective_team
home_team_id,0.159505,positive,ATL
away_team_id,0.026933,positive,ATL
bullpen_pitches_diff,-0.022006,negative,ATL
sp_era_home,0.020099,positive,ATL
lineup_depth_multiplier,0.020043,positive,ATL
bullpen_whip_diff,0.013638,positive,ATL
lineup_woba_mean_away,0.010637,positive,ATL
sp_era_5g_diff,0.009248,positive,ATL
sp_fbpct_diff,-0.009236,negative,ATL
lineup_woba_mean_home,-0.009011,negative,ATL
run_margin_diff,-0.00863,negative,ATL
air_density_velocity_boost,-0.00792,negative,ATL
sp_k9_away,-0.007237,negative,ATL
sp_era_diff,0.006907,positive,ATL
sp_xwoba_diff,0.006823,positive,ATL
home_elo,0.006026,positive,ATL
sp_fbvelo_diff,-0.005069,negative,ATL
pitcher_regression_indicator,-0.005001,negative,ATL
bullpen_meltdown_risk,-0.004917,negative,ATL
lineup_handedness_matchup_advantage,0.004886,positive,ATL
sp_k9_5g_diff,-0.004607,negative,ATL
team_hardhit_diff,0.004421,positive,ATL
wind_advantage_flyball_factor,-0.004024,negative,ATL
elo_diff,0.004004,positive,ATL
win_pct_diff,-0.00388,negative,ATL
team_exitvelo_diff,0.003657,positive,ATL
sp_xwoba_home,0.003327,positive,ATL
bullpen_whip_3g_away,0.003096,positive,ATL
lineup_woba_std_diff,-0.003027,negative,ATL
sp_k9_home,0.002983,positive,ATL
team_barrel_15g_home,-0.002874,negative,ATL
park_factor_slug_diff,0.002488,positive,ATL
woba_30g_diff,0.002411,positive,ATL
lineup_woba_top3_home,0.002216,positive,ATL
bullpen_whip_3g_home,-0.002196,negative,ATL
sp_k9_diff,-0.00208,negative,ATL
lineup_woba_mean_diff,0.002017,positive,ATL
team_exitvelo_15g_home,0.001634,positive,ATL
away_elo,0.001632,positive,ATL
woba_30g_away,0.001615,positive,ATL
woba_30g_home,-0.001547,negative,ATL
team_barrel_15g_away,-0.001546,negative,ATL
lineup_woba_top3_away,-0.001313,negative,ATL
team_exitvelo_15g_away,-0.001228,negative,ATL
away_win_pct,-0.001222,negative,ATL
home_win_pct,0.001193,positive,ATL
bullpen_whip_3g_diff,-0.001164,negative,ATL
bullpen_whip_10g_home,0.000975,positive,ATL
team_barrel_diff,-0.000921,negative,ATL
sp_xwoba_away,-0.000777,negative,ATL
sp_era_away,-0.00077,negative,ATL
ace_efficiency_factor,-0.000757,negative,ATL
sp_whiff_diff,-0.000203,negative,ATL
lineup_woba_top3_diff,0.000138,positive,ATL
dome_is_neutral,8.4e-05,positive,ATL
bullpen_whip_10g_away,-6.1e-05,negative,ATL
travel_fatigue_diff,3.8e-05,positive,ATL
sp_xwoba_vs_l_diff,1.1e-05,positive,ATL
closer_availability_diff,2e-06,positive,ATL
rest_days_diff,1e-06,positive,ATL
is_home,-0.0,negative,ATL
