feature,shap_value,signed_effect,perspective_team
home_team_id,0.164479,positive,BAL
run_margin_diff,0.14942,positive,BAL
air_density_velocity_boost,0.065466,positive,BAL
away_team_id,0.064689,positive,BAL
sp_k9_home,-0.026159,negative,BAL
lineup_woba_std_diff,0.014017,positive,BAL
bullpen_whip_diff,0.012913,positive,BAL
bullpen_meltdown_risk,-0.011551,negative,BAL
sp_xwoba_diff,0.010016,positive,BAL
lineup_handedness_matchup_advantage,0.00992,positive,BAL
lineup_depth_multiplier,0.009458,positive,BAL
sp_fbvelo_diff,0.008943,positive,BAL
sp_xwoba_vs_l_diff,0.008682,positive,BAL
bullpen_pitches_diff,-0.008191,negative,BAL
sp_era_home,0.007254,positive,BAL
sp_fbpct_diff,0.006673,positive,BAL
home_elo,0.006552,positive,BAL
park_factor_slug_diff,-0.006469,negative,BAL
team_barrel_15g_away,0.006427,positive,BAL
sp_era_5g_diff,0.006382,positive,BAL
team_hardhit_diff,0.006296,positive,BAL
sp_k9_away,-0.005523,negative,BAL
sp_xwoba_away,0.005403,positive,BAL
bullpen_whip_3g_away,0.004645,positive,BAL
lineup_woba_mean_away,-0.004041,negative,BAL
bullpen_whip_3g_home,-0.003735,negative,BAL
away_win_pct,0.003259,positive,BAL
sp_xwoba_home,0.003189,positive,BAL
lineup_woba_top3_home,0.003167,positive,BAL
lineup_woba_mean_diff,-0.003063,negative,BAL
sp_k9_diff,0.002908,positive,BAL
woba_30g_diff,-0.002894,negative,BAL
team_exitvelo_15g_away,-0.002746,negative,BAL
home_win_pct,0.002658,positive,BAL
team_exitvelo_diff,0.002385,positive,BAL
sp_k9_5g_diff,0.002314,positive,BAL
bullpen_whip_10g_away,0.002164,positive,BAL
lineup_woba_top3_diff,-0.002031,negative,BAL
pitcher_regression_indicator,-0.002011,negative,BAL
lineup_woba_top3_away,0.002011,positive,BAL
woba_30g_away,0.001415,positive,BAL
away_elo,0.001365,positive,BAL
team_barrel_15g_home,0.001334,positive,BAL
bullpen_whip_10g_home,0.001146,positive,BAL
elo_diff,-0.000934,negative,BAL
woba_30g_home,-0.000874,negative,BAL
ace_efficiency_factor,0.000848,positive,BAL
sp_era_away,-0.000822,negative,BAL
sp_whiff_diff,0.000743,positive,BAL
lineup_woba_mean_home,-0.000586,negative,BAL
win_pct_diff,-0.000496,negative,BAL
sp_era_diff,-0.000374,negative,BAL
bullpen_whip_3g_diff,0.000259,positive,BAL
team_exitvelo_15g_home,-0.000202,negative,BAL
team_barrel_diff,0.0001,positive,BAL
dome_is_neutral,8e-05,positive,BAL
wind_advantage_flyball_factor,-6.8e-05,negative,BAL
travel_fatigue_diff,3.4e-05,positive,BAL
rest_days_diff,-1e-06,negative,BAL
is_home,-0.0,negative,BAL
closer_availability_diff,0.0,negative,BAL
