feature,shap_value,signed_effect,perspective_team
home_team_id,0.177933,positive,NYY
away_team_id,0.162686,positive,NYY
run_margin_diff,0.134712,positive,NYY
elo_diff,0.015808,positive,NYY
bullpen_meltdown_risk,0.013825,positive,NYY
sp_fbvelo_diff,0.013598,positive,NYY
sp_era_home,-0.013565,negative,NYY
team_hardhit_diff,0.011693,positive,NYY
lineup_handedness_matchup_advantage,0.011463,positive,NYY
sp_xwoba_away,0.010971,positive,NYY
sp_k9_away,0.009349,positive,NYY
sp_xwoba_diff,0.007753,positive,NYY
home_elo,0.007415,positive,NYY
woba_30g_diff,0.006194,positive,NYY
lineup_woba_mean_home,0.0061,positive,NYY
lineup_woba_mean_away,-0.00457,negative,NYY
sp_era_5g_diff,-0.004497,negative,NYY
bullpen_whip_3g_away,0.004309,positive,NYY
woba_30g_home,0.004286,positive,NYY
team_exitvelo_15g_home,-0.004179,negative,NYY
team_barrel_15g_away,0.00387,positive,NYY
away_win_pct,0.003868,positive,NYY
bullpen_whip_3g_home,-0.003775,negative,NYY
team_exitvelo_diff,0.003442,positive,NYY
bullpen_whip_3g_diff,0.003357,positive,NYY
home_win_pct,0.003292,positive,NYY
air_density_velocity_boost,0.003268,positive,NYY
park_factor_slug_diff,0.003215,positive,NYY
bullpen_pitches_diff,-0.002682,negative,NYY
sp_k9_home,0.002599,positive,NYY
bullpen_whip_diff,0.002536,positive,NYY
team_exitvelo_15g_away,-0.002373,negative,NYY
woba_30g_away,0.002338,positive,NYY
sp_fbpct_diff,0.002323,positive,NYY
pitcher_regression_indicator,-0.002295,negative,NYY
sp_era_away,0.002284,positive,NYY
lineup_woba_top3_home,0.002104,positive,NYY
lineup_woba_top3_diff,-0.00191,negative,NYY
lineup_woba_top3_away,0.001639,positive,NYY
win_pct_diff,0.001373,positive,NYY
lineup_depth_multiplier,-0.001103,negative,NYY
team_barrel_diff,0.001071,positive,NYY
sp_k9_diff,-0.000963,negative,NYY
sp_xwoba_home,-0.000876,negative,NYY
team_barrel_15g_home,-0.000831,negative,NYY
bullpen_whip_10g_away,-0.000743,negative,NYY
lineup_woba_mean_diff,0.000577,positive,NYY
sp_whiff_diff,0.000569,positive,NYY
away_elo,0.000559,positive,NYY
sp_xwoba_vs_l_diff,0.000481,positive,NYY
sp_k9_5g_diff,0.00044,positive,NYY
lineup_woba_std_diff,0.000375,positive,NYY
wind_advantage_flyball_factor,-0.000278,negative,NYY
sp_era_diff,-0.000209,negative,NYY
ace_efficiency_factor,0.000144,positive,NYY
bullpen_whip_10g_home,0.000139,positive,NYY
dome_is_neutral,9.9e-05,positive,NYY
travel_fatigue_diff,-5e-06,negative,NYY
closer_availability_diff,4e-06,positive,NYY
rest_days_diff,2e-06,positive,NYY
is_home,-0.0,negative,NYY
