feature,shap_value,signed_effect,perspective_team
away_team_id,0.099262,positive,BOS
run_margin_diff,0.06794,positive,BOS
home_team_id,-0.047613,negative,BOS
bullpen_pitches_diff,0.014539,positive,BOS
sp_fbvelo_diff,-0.010675,negative,BOS
sp_era_home,-0.009592,negative,BOS
bullpen_meltdown_risk,0.009258,positive,BOS
lineup_handedness_matchup_advantage,-0.008743,negative,BOS
sp_era_diff,-0.008307,negative,BOS
sp_k9_away,0.007047,positive,BOS
air_density_velocity_boost,0.006223,positive,BOS
sp_xwoba_diff,-0.006188,negative,BOS
bullpen_whip_3g_home,0.005831,positive,BOS
sp_xwoba_vs_l_diff,-0.005425,negative,BOS
lineup_woba_mean_home,0.005372,positive,BOS
bullpen_whip_diff,-0.004579,negative,BOS
elo_diff,0.004368,positive,BOS
lineup_woba_std_diff,0.004329,positive,BOS
lineup_woba_mean_away,0.004193,positive,BOS
away_win_pct,-0.004159,negative,BOS
team_exitvelo_diff,-0.003944,negative,BOS
woba_30g_home,-0.003618,negative,BOS
home_elo,0.003481,positive,BOS
sp_k9_5g_diff,0.003423,positive,BOS
sp_era_5g_diff,-0.002868,negative,BOS
sp_k9_home,-0.002654,negative,BOS
woba_30g_diff,0.002554,positive,BOS
lineup_depth_multiplier,0.002304,positive,BOS
team_exitvelo_15g_away,0.002268,positive,BOS
bullpen_whip_10g_home,-0.002245,negative,BOS
sp_xwoba_home,-0.001919,negative,BOS
team_hardhit_diff,0.001871,positive,BOS
team_barrel_diff,0.001739,positive,BOS
lineup_woba_top3_diff,-0.001641,negative,BOS
bullpen_whip_3g_diff,0.001629,positive,BOS
park_factor_slug_diff,-0.001492,negative,BOS
team_barrel_15g_away,0.001492,positive,BOS
lineup_woba_top3_home,0.001456,positive,BOS
lineup_woba_top3_away,0.001455,positive,BOS
lineup_woba_mean_diff,0.001407,positive,BOS
sp_k9_diff,0.0014,positive,BOS
team_barrel_15g_home,0.001312,positive,BOS
sp_fbpct_diff,-0.001284,negative,BOS
away_elo,-0.001275,negative,BOS
win_pct_diff,0.001268,positive,BOS
sp_xwoba_away,0.001113,positive,BOS
sp_whiff_diff,-0.000964,negative,BOS
home_win_pct,0.000949,positive,BOS
pitcher_regression_indicator,0.00094,positive,BOS
bullpen_whip_3g_away,-0.000886,negative,BOS
sp_era_away,-0.000708,negative,BOS
team_exitvelo_15g_home,0.000699,positive,BOS
woba_30g_away,-0.000667,negative,BOS
wind_advantage_flyball_factor,-0.000453,negative,BOS
ace_efficiency_factor,-0.000392,negative,BOS
bullpen_whip_10g_away,0.000344,positive,BOS
dome_is_neutral,-6.7e-05,negative,BOS
travel_fatigue_diff,-2.2e-05,negative,BOS
closer_availability_diff,-1.2e-05,negative,BOS
rest_days_diff,2e-06,positive,BOS
is_home,0.0,negative,BOS
