feature,shap_value,signed_effect,perspective_team
away_team_id,0.062307,positive,PIT
lineup_depth_multiplier,-0.030832,negative,PIT
elo_diff,0.010513,positive,PIT
bullpen_meltdown_risk,0.010388,positive,PIT
team_hardhit_diff,-0.00978,negative,PIT
sp_fbpct_diff,0.008956,positive,PIT
sp_fbvelo_diff,0.008834,positive,PIT
air_density_velocity_boost,0.00868,positive,PIT
sp_k9_away,0.008226,positive,PIT
bullpen_whip_diff,0.008099,positive,PIT
bullpen_pitches_diff,-0.005827,negative,PIT
away_win_pct,0.0052,positive,PIT
team_exitvelo_diff,-0.005013,negative,PIT
home_team_id,-0.004514,negative,PIT
pitcher_regression_indicator,0.004327,positive,PIT
bullpen_whip_3g_home,0.004232,positive,PIT
woba_30g_diff,-0.003627,negative,PIT
sp_xwoba_diff,-0.003615,negative,PIT
sp_era_5g_diff,-0.003311,negative,PIT
lineup_woba_std_diff,0.003175,positive,PIT
woba_30g_away,-0.003121,negative,PIT
run_margin_diff,0.003078,positive,PIT
lineup_woba_top3_home,-0.002925,negative,PIT
sp_k9_5g_diff,0.002904,positive,PIT
lineup_woba_mean_away,0.002674,positive,PIT
win_pct_diff,0.002084,positive,PIT
bullpen_whip_10g_home,0.001984,positive,PIT
lineup_woba_top3_diff,0.001855,positive,PIT
sp_era_away,-0.001836,negative,PIT
sp_k9_home,-0.001589,negative,PIT
bullpen_whip_3g_away,-0.001551,negative,PIT
sp_whiff_diff,0.001503,positive,PIT
sp_era_diff,-0.0015,negative,PIT
team_exitvelo_15g_home,-0.001483,negative,PIT
bullpen_whip_3g_diff,0.001468,positive,PIT
woba_30g_home,0.001264,positive,PIT
team_exitvelo_15g_away,0.00124,positive,PIT
lineup_woba_mean_diff,0.001168,positive,PIT
team_barrel_15g_away,-0.001074,negative,PIT
sp_xwoba_vs_l_diff,0.000952,positive,PIT
sp_xwoba_home,-0.000871,negative,PIT
sp_k9_diff,-0.000802,negative,PIT
sp_era_home,-0.000729,negative,PIT
team_barrel_15g_home,-0.000708,negative,PIT
ace_efficiency_factor,-0.000703,negative,PIT
lineup_woba_mean_home,0.000636,positive,PIT
away_elo,-0.000618,negative,PIT
lineup_woba_top3_away,-0.000562,negative,PIT
home_elo,-0.000543,negative,PIT
team_barrel_diff,0.000395,positive,PIT
bullpen_whip_10g_away,0.000382,positive,PIT
park_factor_slug_diff,-0.000347,negative,PIT
sp_xwoba_away,0.000216,positive,PIT
wind_advantage_flyball_factor,0.000173,positive,PIT
dome_is_neutral,-8.3e-05,negative,PIT
travel_fatigue_diff,4.4e-05,positive,PIT
home_win_pct,2.9e-05,positive,PIT
lineup_handedness_matchup_advantage,1.9e-05,positive,PIT
rest_days_diff,-1.3e-05,negative,PIT
closer_availability_diff,-8e-06,negative,PIT
is_home,0.0,negative,PIT
