feature,shap_value,signed_effect,perspective_team
home_team_id,0.118822,positive,SEA
run_margin_diff,0.09513,positive,SEA
away_team_id,0.064107,positive,SEA
away_elo,0.029801,positive,SEA
bullpen_whip_3g_away,-0.026802,negative,SEA
sp_era_5g_diff,0.023707,positive,SEA
bullpen_whip_3g_home,0.017463,positive,SEA
bullpen_whip_diff,-0.012735,negative,SEA
bullpen_meltdown_risk,-0.012564,negative,SEA
away_win_pct,0.011794,positive,SEA
sp_fbvelo_diff,-0.011704,negative,SEA
lineup_handedness_matchup_advantage,-0.010286,negative,SEA
sp_k9_away,-0.009353,negative,SEA
team_exitvelo_diff,0.007833,positive,SEA
bullpen_whip_3g_diff,0.00711,positive,SEA
sp_k9_5g_diff,-0.006756,negative,SEA
pitcher_regression_indicator,0.006722,positive,SEA
bullpen_whip_10g_home,-0.006218,negative,SEA
lineup_woba_mean_away,0.005936,positive,SEA
sp_k9_diff,-0.005741,negative,SEA
sp_era_diff,0.005494,positive,SEA
sp_era_home,0.004965,positive,SEA
air_density_velocity_boost,0.004768,positive,SEA
elo_diff,0.004713,positive,SEA
bullpen_whip_10g_away,-0.004004,negative,SEA
sp_whiff_diff,0.003734,positive,SEA
lineup_depth_multiplier,0.003126,positive,SEA
lineup_woba_mean_home,0.003093,positive,SEA
bullpen_pitches_diff,-0.003069,negative,SEA
lineup_woba_top3_away,-0.002948,negative,SEA
sp_xwoba_vs_l_diff,0.002733,positive,SEA
woba_30g_away,-0.002355,negative,SEA
sp_xwoba_diff,-0.002326,negative,SEA
sp_xwoba_home,0.002252,positive,SEA
team_exitvelo_15g_away,-0.00225,negative,SEA
sp_k9_home,-0.002245,negative,SEA
lineup_woba_std_diff,0.002173,positive,SEA
ace_efficiency_factor,-0.002173,negative,SEA
team_barrel_diff,-0.001581,negative,SEA
lineup_woba_top3_home,0.00147,positive,SEA
wind_advantage_flyball_factor,0.001073,positive,SEA
home_win_pct,-0.001013,negative,SEA
sp_xwoba_away,-0.000811,negative,SEA
team_hardhit_diff,-0.000762,negative,SEA
lineup_woba_top3_diff,0.000688,positive,SEA
team_exitvelo_15g_home,-0.000657,negative,SEA
win_pct_diff,-0.000648,negative,SEA
team_barrel_15g_away,-0.000612,negative,SEA
park_factor_slug_diff,0.000434,positive,SEA
sp_era_away,0.000374,positive,SEA
sp_fbpct_diff,-0.000291,negative,SEA
woba_30g_diff,-0.000287,negative,SEA
team_barrel_15g_home,-0.000234,negative,SEA
home_elo,0.000164,positive,SEA
dome_is_neutral,0.000114,positive,SEA
woba_30g_home,-7e-05,negative,SEA
closer_availability_diff,5.6e-05,positive,SEA
travel_fatigue_diff,3.8e-05,positive,SEA
lineup_woba_mean_diff,3.4e-05,positive,SEA
rest_days_diff,7e-06,positive,SEA
is_home,0.0,negative,SEA
