feature,shap_value,signed_effect,perspective_team
away_team_id,0.211495,positive,HOU
sp_xwoba_diff,0.048396,positive,HOU
bullpen_whip_3g_away,-0.02865,negative,HOU
bullpen_whip_3g_home,0.024212,positive,HOU
home_team_id,-0.022131,negative,HOU
lineup_handedness_matchup_advantage,-0.010716,negative,HOU
sp_era_5g_diff,0.009983,positive,HOU
sp_k9_away,0.009437,positive,HOU
elo_diff,-0.007548,negative,HOU
bullpen_whip_3g_diff,0.007185,positive,HOU
team_exitvelo_diff,-0.007027,negative,HOU
away_elo,0.006945,positive,HOU
sp_fbvelo_diff,0.005798,positive,HOU
bullpen_meltdown_risk,0.00578,positive,HOU
lineup_depth_multiplier,0.005547,positive,HOU
sp_era_diff,0.005454,positive,HOU
wind_advantage_flyball_factor,-0.005386,negative,HOU
sp_era_home,0.004994,positive,HOU
away_win_pct,-0.004375,negative,HOU
sp_k9_5g_diff,0.004268,positive,HOU
lineup_woba_top3_diff,0.003676,positive,HOU
bullpen_whip_10g_away,-0.003519,negative,HOU
sp_k9_diff,0.003491,positive,HOU
team_exitvelo_15g_away,0.003196,positive,HOU
lineup_woba_std_diff,0.003174,positive,HOU
sp_xwoba_away,0.003097,positive,HOU
sp_era_away,0.002672,positive,HOU
woba_30g_away,0.00264,positive,HOU
sp_xwoba_vs_l_diff,0.002534,positive,HOU
win_pct_diff,0.00244,positive,HOU
bullpen_pitches_diff,0.002288,positive,HOU
lineup_woba_mean_home,0.002077,positive,HOU
team_barrel_diff,-0.002066,negative,HOU
sp_k9_home,-0.001949,negative,HOU
sp_fbpct_diff,-0.00184,negative,HOU
lineup_woba_top3_away,-0.001838,negative,HOU
sp_whiff_diff,-0.001812,negative,HOU
sp_xwoba_home,0.001317,positive,HOU
run_margin_diff,-0.001177,negative,HOU
lineup_woba_mean_away,0.001165,positive,HOU
woba_30g_home,-0.001158,negative,HOU
bullpen_whip_diff,-0.001093,negative,HOU
air_density_velocity_boost,0.000955,positive,HOU
team_exitvelo_15g_home,-0.000756,negative,HOU
team_hardhit_diff,-0.00067,negative,HOU
park_factor_slug_diff,0.000516,positive,HOU
bullpen_whip_10g_home,-0.00043,negative,HOU
home_win_pct,-0.000346,negative,HOU
home_elo,-0.000335,negative,HOU
lineup_woba_mean_diff,0.00032,positive,HOU
woba_30g_diff,-0.000315,negative,HOU
lineup_woba_top3_home,-0.00029,negative,HOU
team_barrel_15g_away,0.00029,positive,HOU
pitcher_regression_indicator,-0.000268,negative,HOU
dome_is_neutral,0.000219,positive,HOU
team_barrel_15g_home,-9.4e-05,negative,HOU
ace_efficiency_factor,-6.2e-05,negative,HOU
travel_fatigue_diff,-1.6e-05,negative,HOU
rest_days_diff,4e-06,positive,HOU
closer_availability_diff,-4e-06,negative,HOU
is_home,0.0,negative,HOU
