feature,shap_value,signed_effect,perspective_team
away_team_id,-0.077566,negative,HOU
home_team_id,-0.016772,negative,HOU
sp_era_5g_diff,0.016073,positive,HOU
bullpen_pitches_diff,0.015243,positive,HOU
sp_xwoba_away,0.010461,positive,HOU
sp_xwoba_vs_l_diff,0.010391,positive,HOU
sp_era_home,-0.009505,negative,HOU
bullpen_whip_3g_diff,0.008543,positive,HOU
sp_fbvelo_diff,0.006403,positive,HOU
air_density_velocity_boost,0.006289,positive,HOU
sp_k9_away,0.00609,positive,HOU
bullpen_whip_3g_home,0.005796,positive,HOU
run_margin_diff,0.005231,positive,HOU
sp_xwoba_diff,-0.004843,negative,HOU
sp_k9_diff,0.004817,positive,HOU
sp_k9_5g_diff,0.004407,positive,HOU
sp_era_diff,-0.00425,negative,HOU
sp_fbpct_diff,0.004038,positive,HOU
team_exitvelo_15g_away,0.003722,positive,HOU
team_exitvelo_diff,0.00367,positive,HOU
elo_diff,-0.003563,negative,HOU
bullpen_whip_10g_home,0.003494,positive,HOU
park_factor_slug_diff,-0.003216,negative,HOU
lineup_woba_std_diff,0.003204,positive,HOU
lineup_depth_multiplier,0.003114,positive,HOU
team_barrel_15g_away,0.003055,positive,HOU
lineup_woba_top3_diff,-0.002641,negative,HOU
sp_k9_home,-0.00243,negative,HOU
lineup_woba_mean_away,0.002059,positive,HOU
home_elo,-0.002056,negative,HOU
team_hardhit_diff,0.00204,positive,HOU
team_barrel_15g_home,-0.001903,negative,HOU
away_win_pct,-0.001895,negative,HOU
sp_xwoba_home,-0.001843,negative,HOU
win_pct_diff,-0.001804,negative,HOU
team_exitvelo_15g_home,-0.001672,negative,HOU
away_elo,-0.001478,negative,HOU
bullpen_meltdown_risk,0.001469,positive,HOU
woba_30g_diff,-0.001387,negative,HOU
bullpen_whip_3g_away,-0.001276,negative,HOU
lineup_handedness_matchup_advantage,0.001216,positive,HOU
sp_whiff_diff,-0.001027,negative,HOU
lineup_woba_mean_diff,0.001012,positive,HOU
team_barrel_diff,-0.000886,negative,HOU
home_win_pct,0.000646,positive,HOU
pitcher_regression_indicator,-0.000613,negative,HOU
lineup_woba_top3_away,-0.000526,negative,HOU
lineup_woba_mean_home,0.000393,positive,HOU
woba_30g_home,-0.000327,negative,HOU
sp_era_away,-0.000283,negative,HOU
lineup_woba_top3_home,0.000173,positive,HOU
bullpen_whip_diff,0.000144,positive,HOU
woba_30g_away,-0.000137,negative,HOU
dome_is_neutral,8.2e-05,positive,HOU
bullpen_whip_10g_away,7.4e-05,positive,HOU
wind_advantage_flyball_factor,2.8e-05,positive,HOU
ace_efficiency_factor,-1.5e-05,negative,HOU
travel_fatigue_diff,-1e-05,negative,HOU
rest_days_diff,5e-06,positive,HOU
closer_availability_diff,-3e-06,negative,HOU
is_home,0.0,negative,HOU
