feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.079978,positive,CLE
air_density_velocity_boost,-0.061494,negative,CLE
away_team_id,-0.034635,negative,CLE
home_team_id,0.032257,positive,CLE
sp_fbvelo_diff,-0.020152,negative,CLE
lineup_depth_multiplier,-0.016722,negative,CLE
bullpen_meltdown_risk,0.015805,positive,CLE
bullpen_whip_3g_home,0.012511,positive,CLE
bullpen_whip_diff,0.009103,positive,CLE
sp_era_5g_diff,0.009102,positive,CLE
sp_era_diff,-0.007994,negative,CLE
sp_fbpct_diff,-0.0059,negative,CLE
bullpen_whip_3g_diff,0.005252,positive,CLE
elo_diff,0.004868,positive,CLE
bullpen_pitches_diff,0.004849,positive,CLE
sp_k9_away,0.004474,positive,CLE
pitcher_regression_indicator,0.004218,positive,CLE
lineup_woba_mean_away,0.004179,positive,CLE
team_exitvelo_15g_away,0.00383,positive,CLE
lineup_woba_std_diff,0.003608,positive,CLE
sp_k9_5g_diff,0.00349,positive,CLE
sp_whiff_diff,0.003463,positive,CLE
woba_30g_home,0.003249,positive,CLE
bullpen_whip_10g_home,0.003193,positive,CLE
away_win_pct,-0.003176,negative,CLE
sp_xwoba_diff,-0.003174,negative,CLE
park_factor_slug_diff,0.00306,positive,CLE
sp_k9_diff,0.002585,positive,CLE
lineup_woba_mean_home,0.002286,positive,CLE
bullpen_whip_3g_away,-0.002275,negative,CLE
lineup_woba_mean_diff,0.00221,positive,CLE
team_exitvelo_15g_home,-0.001883,negative,CLE
woba_30g_diff,0.001828,positive,CLE
sp_k9_home,0.001513,positive,CLE
team_exitvelo_diff,-0.001493,negative,CLE
team_barrel_15g_away,-0.001385,negative,CLE
wind_advantage_flyball_factor,-0.001197,negative,CLE
away_elo,-0.001197,negative,CLE
lineup_handedness_matchup_advantage,0.001097,positive,CLE
sp_era_home,-0.001038,negative,CLE
woba_30g_away,0.001027,positive,CLE
home_elo,0.000981,positive,CLE
lineup_woba_top3_diff,0.000918,positive,CLE
sp_xwoba_vs_l_diff,0.0009,positive,CLE
team_barrel_diff,-0.000839,negative,CLE
sp_era_away,-0.000648,negative,CLE
bullpen_whip_10g_away,0.000528,positive,CLE
team_hardhit_diff,0.000482,positive,CLE
win_pct_diff,-0.00046,negative,CLE
team_barrel_15g_home,0.000394,positive,CLE
home_win_pct,-0.00036,negative,CLE
sp_xwoba_home,-0.00029,negative,CLE
ace_efficiency_factor,0.00023,positive,CLE
sp_xwoba_away,0.000151,positive,CLE
lineup_woba_top3_away,9.4e-05,positive,CLE
dome_is_neutral,-7e-05,negative,CLE
lineup_woba_top3_home,6.6e-05,positive,CLE
travel_fatigue_diff,-3.8e-05,negative,CLE
closer_availability_diff,-3e-06,negative,CLE
rest_days_diff,2e-06,positive,CLE
is_home,0.0,negative,CLE
