feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.080771,positive,CLE
home_team_id,0.045357,positive,CLE
away_team_id,-0.035872,negative,CLE
lineup_depth_multiplier,-0.01671,negative,CLE
bullpen_meltdown_risk,0.015539,positive,CLE
bullpen_whip_3g_home,0.012527,positive,CLE
bullpen_whip_diff,0.008714,positive,CLE
sp_whiff_diff,0.008386,positive,CLE
sp_fbvelo_diff,0.007186,positive,CLE
team_exitvelo_15g_away,0.005809,positive,CLE
bullpen_whip_3g_diff,0.005265,positive,CLE
sp_k9_diff,0.004794,positive,CLE
elo_diff,0.004697,positive,CLE
bullpen_pitches_diff,0.004686,positive,CLE
lineup_woba_std_diff,0.004238,positive,CLE
lineup_woba_mean_away,0.004051,positive,CLE
wind_advantage_flyball_factor,0.00361,positive,CLE
sp_xwoba_away,-0.003558,negative,CLE
sp_xwoba_home,-0.003385,negative,CLE
away_win_pct,-0.003347,negative,CLE
woba_30g_home,0.003323,positive,CLE
bullpen_whip_10g_home,0.003246,positive,CLE
sp_k9_away,0.003187,positive,CLE
sp_era_5g_diff,0.003104,positive,CLE
park_factor_slug_diff,0.002902,positive,CLE
lineup_woba_mean_diff,0.002801,positive,CLE
air_density_velocity_boost,-0.002706,negative,CLE
sp_era_diff,0.002635,positive,CLE
sp_xwoba_vs_l_diff,0.002489,positive,CLE
bullpen_whip_3g_away,-0.002325,negative,CLE
sp_fbpct_diff,-0.002178,negative,CLE
lineup_woba_mean_home,0.002104,positive,CLE
sp_k9_5g_diff,-0.002091,negative,CLE
sp_k9_home,-0.00199,negative,CLE
team_exitvelo_15g_home,-0.001952,negative,CLE
woba_30g_diff,0.001807,positive,CLE
sp_xwoba_diff,-0.001444,negative,CLE
team_exitvelo_diff,-0.001438,negative,CLE
team_barrel_15g_away,-0.001352,negative,CLE
lineup_woba_top3_diff,0.001272,positive,CLE
away_elo,-0.001154,negative,CLE
woba_30g_away,0.00114,positive,CLE
win_pct_diff,-0.000927,negative,CLE
lineup_handedness_matchup_advantage,0.000916,positive,CLE
team_barrel_diff,-0.000857,negative,CLE
team_hardhit_diff,0.000854,positive,CLE
pitcher_regression_indicator,0.000764,positive,CLE
sp_era_away,-0.000581,negative,CLE
bullpen_whip_10g_away,0.000494,positive,CLE
home_elo,0.000244,positive,CLE
sp_era_home,0.000227,positive,CLE
team_barrel_15g_home,0.000203,positive,CLE
lineup_woba_top3_away,0.000176,positive,CLE
home_win_pct,-0.000166,negative,CLE
lineup_woba_top3_home,0.000112,positive,CLE
travel_fatigue_diff,-3.4e-05,negative,CLE
ace_efficiency_factor,1.6e-05,positive,CLE
dome_is_neutral,-1e-05,negative,CLE
closer_availability_diff,-3e-06,negative,CLE
rest_days_diff,1e-06,positive,CLE
is_home,0.0,negative,CLE
