feature,shap_value,signed_effect,perspective_team
away_team_id,0.150307,positive,MIL
run_margin_diff,0.049318,positive,MIL
home_team_id,0.04148,positive,MIL
air_density_velocity_boost,0.03615,positive,MIL
sp_xwoba_vs_l_diff,0.020237,positive,MIL
sp_era_home,0.013207,positive,MIL
sp_whiff_diff,-0.00926,negative,MIL
bullpen_pitches_diff,0.008088,positive,MIL
bullpen_meltdown_risk,0.007401,positive,MIL
bullpen_whip_3g_diff,-0.007094,negative,MIL
bullpen_whip_3g_home,-0.007045,negative,MIL
sp_k9_away,-0.006753,negative,MIL
team_hardhit_diff,0.005986,positive,MIL
bullpen_whip_3g_away,0.005931,positive,MIL
team_exitvelo_15g_away,-0.004807,negative,MIL
sp_k9_5g_diff,0.004434,positive,MIL
sp_k9_diff,0.004375,positive,MIL
sp_fbvelo_diff,-0.004358,negative,MIL
sp_xwoba_diff,0.003992,positive,MIL
team_exitvelo_15g_home,0.003655,positive,MIL
sp_k9_home,0.0034,positive,MIL
park_factor_slug_diff,-0.003266,negative,MIL
team_barrel_15g_away,0.002902,positive,MIL
team_barrel_diff,0.002716,positive,MIL
away_elo,0.002634,positive,MIL
home_elo,0.002597,positive,MIL
lineup_woba_std_diff,-0.002499,negative,MIL
bullpen_whip_10g_home,-0.002359,negative,MIL
away_win_pct,0.002229,positive,MIL
elo_diff,0.002218,positive,MIL
sp_era_5g_diff,0.002057,positive,MIL
sp_era_diff,0.001841,positive,MIL
win_pct_diff,0.001822,positive,MIL
lineup_woba_mean_away,0.001706,positive,MIL
sp_xwoba_home,0.001661,positive,MIL
bullpen_whip_diff,-0.001349,negative,MIL
woba_30g_diff,0.001291,positive,MIL
wind_advantage_flyball_factor,0.001192,positive,MIL
woba_30g_home,0.001147,positive,MIL
lineup_handedness_matchup_advantage,0.001106,positive,MIL
lineup_woba_top3_diff,0.000966,positive,MIL
lineup_depth_multiplier,-0.000952,negative,MIL
home_win_pct,0.000896,positive,MIL
sp_fbpct_diff,-0.000884,negative,MIL
team_exitvelo_diff,0.000805,positive,MIL
sp_era_away,0.000443,positive,MIL
lineup_woba_top3_away,0.00042,positive,MIL
pitcher_regression_indicator,0.000323,positive,MIL
team_barrel_15g_home,0.000251,positive,MIL
lineup_woba_mean_home,-0.000241,negative,MIL
woba_30g_away,0.000111,positive,MIL
bullpen_whip_10g_away,9.6e-05,positive,MIL
lineup_woba_top3_home,-7.5e-05,negative,MIL
sp_xwoba_away,-6.6e-05,negative,MIL
lineup_woba_mean_diff,5.2e-05,positive,MIL
travel_fatigue_diff,3.9e-05,positive,MIL
closer_availability_diff,7e-06,positive,MIL
dome_is_neutral,7e-06,positive,MIL
rest_days_diff,-4e-06,negative,MIL
ace_efficiency_factor,-3e-06,negative,MIL
is_home,-0.0,negative,MIL
