feature,shap_value,signed_effect,perspective_team
away_team_id,-0.191378,negative,SD
home_team_id,0.120133,positive,SD
sp_xwoba_vs_l_diff,-0.019584,negative,SD
run_margin_diff,-0.018837,negative,SD
lineup_woba_top3_diff,0.01551,positive,SD
sp_k9_away,0.010226,positive,SD
bullpen_pitches_diff,0.009976,positive,SD
sp_era_diff,-0.009642,negative,SD
air_density_velocity_boost,0.008108,positive,SD
sp_fbvelo_diff,0.007932,positive,SD
sp_era_5g_diff,-0.007863,negative,SD
bullpen_whip_3g_diff,0.006248,positive,SD
sp_whiff_diff,-0.005935,negative,SD
elo_diff,-0.0059,negative,SD
bullpen_whip_3g_home,0.005711,positive,SD
lineup_woba_mean_home,0.005525,positive,SD
sp_k9_5g_diff,-0.005014,negative,SD
sp_xwoba_diff,-0.004741,negative,SD
team_exitvelo_15g_away,0.003865,positive,SD
woba_30g_home,0.003634,positive,SD
bullpen_whip_3g_away,-0.00352,negative,SD
wind_advantage_flyball_factor,0.003256,positive,SD
sp_k9_home,-0.00322,negative,SD
bullpen_whip_10g_home,0.003055,positive,SD
team_exitvelo_15g_home,-0.003046,negative,SD
lineup_handedness_matchup_advantage,-0.002935,negative,SD
lineup_depth_multiplier,0.002917,positive,SD
pitcher_regression_indicator,0.002781,positive,SD
sp_era_home,-0.002671,negative,SD
lineup_woba_std_diff,0.002548,positive,SD
sp_xwoba_away,-0.002435,negative,SD
lineup_woba_mean_diff,0.002225,positive,SD
home_elo,-0.002144,negative,SD
sp_k9_diff,-0.001978,negative,SD
lineup_woba_mean_away,0.00193,positive,SD
team_barrel_15g_away,-0.001921,negative,SD
win_pct_diff,-0.001747,negative,SD
home_win_pct,-0.001532,negative,SD
away_elo,-0.00148,negative,SD
team_exitvelo_diff,-0.001475,negative,SD
bullpen_whip_diff,0.001288,positive,SD
lineup_woba_top3_home,0.001071,positive,SD
woba_30g_diff,0.001002,positive,SD
team_barrel_diff,-0.000921,negative,SD
lineup_woba_top3_away,0.000883,positive,SD
bullpen_meltdown_risk,-0.000745,negative,SD
park_factor_slug_diff,0.000495,positive,SD
sp_fbpct_diff,-0.000473,negative,SD
away_win_pct,-0.000449,negative,SD
sp_era_away,-0.000378,negative,SD
woba_30g_away,-0.000274,negative,SD
sp_xwoba_home,-0.000199,negative,SD
ace_efficiency_factor,0.000155,positive,SD
team_barrel_15g_home,-0.000107,negative,SD
team_hardhit_diff,3.6e-05,positive,SD
travel_fatigue_diff,-3e-05,negative,SD
dome_is_neutral,-2.2e-05,negative,SD
rest_days_diff,4e-06,positive,SD
closer_availability_diff,-2e-06,negative,SD
bullpen_whip_10g_away,-1e-06,negative,SD
is_home,0.0,negative,SD
