feature,shap_value,signed_effect,perspective_team
away_team_id,0.140775,positive,BOS
home_team_id,0.102883,positive,BOS
run_margin_diff,0.05753,positive,BOS
sp_k9_diff,0.014821,positive,BOS
sp_k9_home,-0.011785,negative,BOS
lineup_woba_mean_home,-0.009224,negative,BOS
sp_era_diff,0.008607,positive,BOS
bullpen_whip_diff,-0.008408,negative,BOS
bullpen_pitches_diff,0.008037,positive,BOS
sp_era_home,0.007752,positive,BOS
sp_k9_away,-0.006605,negative,BOS
air_density_velocity_boost,-0.006532,negative,BOS
sp_xwoba_vs_l_diff,0.006505,positive,BOS
pitcher_regression_indicator,-0.005827,negative,BOS
away_win_pct,0.005504,positive,BOS
lineup_woba_top3_diff,0.004502,positive,BOS
sp_xwoba_diff,0.004323,positive,BOS
bullpen_meltdown_risk,-0.003872,negative,BOS
sp_era_5g_diff,0.003787,positive,BOS
team_barrel_diff,0.003666,positive,BOS
bullpen_whip_3g_diff,-0.002967,negative,BOS
elo_diff,0.00282,positive,BOS
team_exitvelo_15g_away,-0.002806,negative,BOS
sp_fbvelo_diff,-0.002608,negative,BOS
sp_k9_5g_diff,0.002226,positive,BOS
woba_30g_diff,0.002064,positive,BOS
bullpen_whip_10g_home,-0.002004,negative,BOS
sp_fbpct_diff,-0.001989,negative,BOS
lineup_woba_top3_home,-0.001708,negative,BOS
team_exitvelo_diff,-0.001669,negative,BOS
bullpen_whip_3g_home,-0.001612,negative,BOS
lineup_woba_std_diff,-0.001602,negative,BOS
woba_30g_away,-0.001576,negative,BOS
lineup_woba_top3_away,0.001433,positive,BOS
wind_advantage_flyball_factor,-0.001383,negative,BOS
lineup_depth_multiplier,0.001349,positive,BOS
home_win_pct,-0.001282,negative,BOS
sp_xwoba_home,0.001268,positive,BOS
team_barrel_15g_home,0.001205,positive,BOS
lineup_woba_mean_diff,-0.001177,negative,BOS
home_elo,-0.001105,negative,BOS
park_factor_slug_diff,0.001011,positive,BOS
win_pct_diff,0.000937,positive,BOS
sp_era_away,0.000898,positive,BOS
bullpen_whip_10g_away,-0.000875,negative,BOS
sp_whiff_diff,-0.00083,negative,BOS
team_hardhit_diff,-0.00056,negative,BOS
sp_xwoba_away,-0.000534,negative,BOS
lineup_woba_mean_away,-0.000408,negative,BOS
away_elo,-0.000258,negative,BOS
lineup_handedness_matchup_advantage,0.000221,positive,BOS
team_exitvelo_15g_home,0.000212,positive,BOS
team_barrel_15g_away,-0.000117,negative,BOS
ace_efficiency_factor,0.000116,positive,BOS
woba_30g_home,0.000103,positive,BOS
travel_fatigue_diff,-8.1e-05,negative,BOS
dome_is_neutral,6.3e-05,positive,BOS
bullpen_whip_3g_away,5.9e-05,positive,BOS
closer_availability_diff,4e-06,positive,BOS
rest_days_diff,1e-06,positive,BOS
is_home,-0.0,negative,BOS
