feature,shap_value,signed_effect,perspective_team
home_team_id,-0.144157,negative,CWS
away_team_id,0.088868,positive,CWS
run_margin_diff,0.060775,positive,CWS
lineup_depth_multiplier,-0.022746,negative,CWS
sp_era_5g_diff,0.015547,positive,CWS
bullpen_whip_3g_home,0.014957,positive,CWS
bullpen_whip_3g_diff,0.010543,positive,CWS
bullpen_pitches_diff,-0.010468,negative,CWS
sp_k9_away,-0.00816,negative,CWS
sp_k9_diff,-0.00771,negative,CWS
pitcher_regression_indicator,0.00692,positive,CWS
elo_diff,0.00636,positive,CWS
sp_k9_5g_diff,-0.00584,negative,CWS
team_exitvelo_15g_away,0.005431,positive,CWS
team_exitvelo_15g_home,-0.005131,negative,CWS
team_exitvelo_diff,-0.005032,negative,CWS
woba_30g_home,0.004955,positive,CWS
bullpen_whip_10g_home,0.00493,positive,CWS
bullpen_whip_diff,0.004818,positive,CWS
park_factor_slug_diff,-0.004756,negative,CWS
home_elo,-0.004551,negative,CWS
air_density_velocity_boost,0.004345,positive,CWS
lineup_woba_mean_home,0.004259,positive,CWS
sp_xwoba_away,0.00414,positive,CWS
sp_xwoba_diff,-0.00412,negative,CWS
lineup_woba_mean_away,0.003855,positive,CWS
sp_fbvelo_diff,0.003833,positive,CWS
sp_k9_home,-0.003585,negative,CWS
sp_xwoba_vs_l_diff,0.003425,positive,CWS
sp_era_home,-0.003407,negative,CWS
team_barrel_15g_away,-0.00317,negative,CWS
lineup_woba_std_diff,0.003064,positive,CWS
lineup_woba_top3_diff,-0.002689,negative,CWS
sp_xwoba_home,-0.002444,negative,CWS
sp_fbpct_diff,-0.002378,negative,CWS
away_win_pct,-0.001773,negative,CWS
away_elo,-0.001584,negative,CWS
bullpen_whip_3g_away,-0.001276,negative,CWS
team_barrel_diff,0.001267,positive,CWS
lineup_woba_mean_diff,0.001202,positive,CWS
sp_era_away,-0.000636,negative,CWS
home_win_pct,0.000631,positive,CWS
sp_era_diff,-0.000576,negative,CWS
lineup_woba_top3_away,-0.000492,negative,CWS
bullpen_whip_10g_away,0.00047,positive,CWS
wind_advantage_flyball_factor,0.000452,positive,CWS
lineup_woba_top3_home,0.000376,positive,CWS
sp_whiff_diff,-0.00037,negative,CWS
woba_30g_diff,0.000232,positive,CWS
lineup_handedness_matchup_advantage,-0.0002,negative,CWS
team_hardhit_diff,0.000198,positive,CWS
bullpen_meltdown_risk,0.000195,positive,CWS
team_barrel_15g_home,-0.000187,negative,CWS
woba_30g_away,-0.000146,negative,CWS
win_pct_diff,0.000113,positive,CWS
ace_efficiency_factor,7.6e-05,positive,CWS
dome_is_neutral,-1.4e-05,negative,CWS
rest_days_diff,5e-06,positive,CWS
travel_fatigue_diff,-5e-06,negative,CWS
closer_availability_diff,-5e-06,negative,CWS
is_home,0.0,negative,CWS
