feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.126457,positive,NYM
away_team_id,0.083311,positive,NYM
home_team_id,0.027002,positive,NYM
bullpen_meltdown_risk,0.017553,positive,NYM
sp_fbvelo_diff,-0.013406,negative,NYM
air_density_velocity_boost,-0.011654,negative,NYM
bullpen_whip_diff,0.009766,positive,NYM
sp_k9_diff,0.009037,positive,NYM
sp_whiff_diff,-0.008502,negative,NYM
bullpen_pitches_diff,-0.00777,negative,NYM
lineup_woba_top3_home,0.007189,positive,NYM
sp_era_home,0.006842,positive,NYM
away_win_pct,0.006739,positive,NYM
sp_k9_away,0.006257,positive,NYM
sp_era_5g_diff,0.005993,positive,NYM
team_barrel_15g_home,-0.00527,negative,NYM
lineup_depth_multiplier,0.005155,positive,NYM
sp_k9_5g_diff,0.005081,positive,NYM
team_barrel_diff,-0.004954,negative,NYM
sp_era_diff,0.004391,positive,NYM
pitcher_regression_indicator,0.00425,positive,NYM
lineup_woba_std_diff,0.003801,positive,NYM
team_barrel_15g_away,-0.003687,negative,NYM
bullpen_whip_10g_away,0.003461,positive,NYM
team_exitvelo_15g_away,0.003432,positive,NYM
bullpen_whip_3g_diff,0.003152,positive,NYM
elo_diff,0.002963,positive,NYM
lineup_woba_mean_diff,-0.002931,negative,NYM
sp_k9_home,0.002361,positive,NYM
bullpen_whip_3g_home,0.002354,positive,NYM
sp_xwoba_vs_l_diff,0.002283,positive,NYM
woba_30g_away,-0.002233,negative,NYM
sp_xwoba_diff,-0.002026,negative,NYM
bullpen_whip_10g_home,0.002015,positive,NYM
sp_xwoba_away,0.002001,positive,NYM
lineup_woba_mean_home,0.001582,positive,NYM
lineup_handedness_matchup_advantage,-0.001333,negative,NYM
woba_30g_diff,0.001323,positive,NYM
sp_xwoba_home,0.000988,positive,NYM
sp_fbpct_diff,-0.000919,negative,NYM
wind_advantage_flyball_factor,-0.000915,negative,NYM
home_elo,0.000793,positive,NYM
lineup_woba_top3_diff,-0.000551,negative,NYM
lineup_woba_mean_away,0.000529,positive,NYM
sp_era_away,-0.00048,negative,NYM
ace_efficiency_factor,0.000429,positive,NYM
away_elo,0.000411,positive,NYM
lineup_woba_top3_away,-0.000374,negative,NYM
team_exitvelo_diff,-0.000358,negative,NYM
woba_30g_home,-0.000321,negative,NYM
team_hardhit_diff,0.000312,positive,NYM
win_pct_diff,-0.000307,negative,NYM
home_win_pct,-0.000275,negative,NYM
park_factor_slug_diff,-0.000267,negative,NYM
team_exitvelo_15g_home,-0.000231,negative,NYM
travel_fatigue_diff,6.8e-05,positive,NYM
bullpen_whip_3g_away,-4e-05,negative,NYM
dome_is_neutral,-2.7e-05,negative,NYM
rest_days_diff,1.8e-05,positive,NYM
closer_availability_diff,-3e-06,negative,NYM
is_home,0.0,negative,NYM
