feature,shap_value,signed_effect,perspective_team
home_team_id,0.202737,positive,STL
run_margin_diff,0.166423,positive,STL
air_density_velocity_boost,0.053547,positive,STL
away_team_id,0.040456,positive,STL
sp_fbpct_diff,-0.016888,negative,STL
sp_era_diff,-0.012275,negative,STL
sp_fbvelo_diff,0.010928,positive,STL
pitcher_regression_indicator,-0.00801,negative,STL
sp_era_5g_diff,-0.00758,negative,STL
bullpen_pitches_diff,0.007447,positive,STL
park_factor_slug_diff,-0.007239,negative,STL
sp_xwoba_vs_l_diff,0.006962,positive,STL
away_win_pct,0.006741,positive,STL
lineup_depth_multiplier,-0.006197,negative,STL
ace_efficiency_factor,-0.006177,negative,STL
bullpen_whip_10g_home,0.005957,positive,STL
sp_k9_diff,-0.005847,negative,STL
team_barrel_diff,0.005257,positive,STL
sp_k9_away,0.004642,positive,STL
sp_xwoba_diff,0.004639,positive,STL
lineup_woba_std_diff,-0.004556,negative,STL
home_elo,-0.004532,negative,STL
home_win_pct,-0.004387,negative,STL
team_barrel_15g_away,0.004138,positive,STL
sp_era_home,-0.004056,negative,STL
bullpen_whip_diff,0.003548,positive,STL
bullpen_meltdown_risk,0.003506,positive,STL
bullpen_whip_3g_diff,-0.002955,negative,STL
lineup_woba_mean_away,0.002621,positive,STL
away_elo,0.002607,positive,STL
sp_k9_home,0.002374,positive,STL
woba_30g_away,0.002239,positive,STL
wind_advantage_flyball_factor,0.001778,positive,STL
woba_30g_home,-0.001768,negative,STL
lineup_woba_top3_home,-0.001477,negative,STL
lineup_handedness_matchup_advantage,-0.001466,negative,STL
lineup_woba_mean_home,-0.001249,negative,STL
lineup_woba_mean_diff,-0.001244,negative,STL
lineup_woba_top3_diff,0.001145,positive,STL
woba_30g_diff,-0.0011,negative,STL
bullpen_whip_3g_home,-0.001094,negative,STL
sp_whiff_diff,0.001062,positive,STL
team_barrel_15g_home,0.000995,positive,STL
team_exitvelo_15g_away,-0.000955,negative,STL
win_pct_diff,0.000644,positive,STL
team_hardhit_diff,-0.000628,negative,STL
team_exitvelo_15g_home,0.000329,positive,STL
lineup_woba_top3_away,0.000292,positive,STL
sp_k9_5g_diff,0.000255,positive,STL
team_exitvelo_diff,-0.00025,negative,STL
travel_fatigue_diff,0.000248,positive,STL
bullpen_whip_10g_away,-0.000233,negative,STL
sp_xwoba_home,0.000211,positive,STL
sp_xwoba_away,0.000184,positive,STL
sp_era_away,0.000136,positive,STL
bullpen_whip_3g_away,0.00013,positive,STL
rest_days_diff,6e-05,positive,STL
elo_diff,4.9e-05,positive,STL
dome_is_neutral,3.9e-05,positive,STL
closer_availability_diff,6e-06,positive,STL
is_home,-0.0,negative,STL
