feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.058839,positive,TOR
team_exitvelo_15g_away,0.018719,positive,TOR
air_density_velocity_boost,0.014884,positive,TOR
away_team_id,0.0127,positive,TOR
sp_k9_away,-0.008638,negative,TOR
bullpen_whip_diff,-0.007983,negative,TOR
team_barrel_diff,0.007548,positive,TOR
bullpen_pitches_diff,0.007538,positive,TOR
away_win_pct,0.006637,positive,TOR
lineup_handedness_matchup_advantage,0.006294,positive,TOR
sp_era_5g_diff,0.005746,positive,TOR
sp_era_diff,-0.005483,negative,TOR
sp_k9_home,0.005422,positive,TOR
sp_xwoba_home,-0.005355,negative,TOR
home_team_id,-0.005264,negative,TOR
lineup_woba_mean_home,-0.005109,negative,TOR
bullpen_whip_3g_diff,-0.004146,negative,TOR
sp_xwoba_diff,0.003815,positive,TOR
bullpen_meltdown_risk,-0.003307,negative,TOR
woba_30g_away,0.003066,positive,TOR
team_barrel_15g_home,0.002953,positive,TOR
sp_fbpct_diff,0.002841,positive,TOR
elo_diff,0.002837,positive,TOR
lineup_woba_top3_home,0.002687,positive,TOR
bullpen_whip_10g_home,-0.002609,negative,TOR
home_win_pct,-0.002525,negative,TOR
sp_era_home,0.002388,positive,TOR
bullpen_whip_3g_home,-0.002115,negative,TOR
woba_30g_diff,-0.001911,negative,TOR
away_elo,0.001819,positive,TOR
sp_fbvelo_diff,-0.001633,negative,TOR
pitcher_regression_indicator,-0.00154,negative,TOR
team_barrel_15g_away,-0.001385,negative,TOR
win_pct_diff,0.001253,positive,TOR
woba_30g_home,-0.00125,negative,TOR
sp_k9_5g_diff,-0.001158,negative,TOR
lineup_woba_mean_diff,-0.001107,negative,TOR
team_exitvelo_diff,-0.001083,negative,TOR
park_factor_slug_diff,0.000974,positive,TOR
team_hardhit_diff,-0.000947,negative,TOR
lineup_woba_std_diff,-0.000945,negative,TOR
home_elo,-0.00091,negative,TOR
lineup_depth_multiplier,0.000835,positive,TOR
lineup_woba_mean_away,-0.00075,negative,TOR
sp_whiff_diff,0.000729,positive,TOR
sp_xwoba_away,-0.000661,negative,TOR
ace_efficiency_factor,0.000544,positive,TOR
lineup_woba_top3_away,-0.000404,negative,TOR
sp_k9_diff,0.000365,positive,TOR
wind_advantage_flyball_factor,-0.00035,negative,TOR
lineup_woba_top3_diff,0.000309,positive,TOR
travel_fatigue_diff,0.000196,positive,TOR
sp_era_away,0.000171,positive,TOR
bullpen_whip_10g_away,-0.000135,negative,TOR
sp_xwoba_vs_l_diff,-9.2e-05,negative,TOR
bullpen_whip_3g_away,6.6e-05,positive,TOR
dome_is_neutral,5.3e-05,positive,TOR
team_exitvelo_15g_home,4.7e-05,positive,TOR
rest_days_diff,2e-06,positive,TOR
closer_availability_diff,1e-06,positive,TOR
is_home,-0.0,negative,TOR
