feature,shap_value,signed_effect,perspective_team
home_team_id,0.100166,positive,CHC
away_team_id,0.084146,positive,CHC
run_margin_diff,0.075482,positive,CHC
lineup_handedness_matchup_advantage,0.016865,positive,CHC
sp_era_5g_diff,0.008249,positive,CHC
away_win_pct,0.008106,positive,CHC
bullpen_meltdown_risk,0.008096,positive,CHC
team_exitvelo_15g_away,-0.007529,negative,CHC
bullpen_pitches_diff,-0.007278,negative,CHC
sp_fbpct_diff,0.007183,positive,CHC
sp_era_diff,0.006767,positive,CHC
sp_fbvelo_diff,-0.005909,negative,CHC
sp_whiff_diff,-0.005856,negative,CHC
away_elo,-0.005369,negative,CHC
lineup_woba_mean_home,-0.005208,negative,CHC
lineup_woba_mean_away,-0.004814,negative,CHC
sp_xwoba_diff,0.004519,positive,CHC
sp_k9_away,-0.004495,negative,CHC
air_density_velocity_boost,-0.004342,negative,CHC
bullpen_whip_3g_home,-0.004035,negative,CHC
pitcher_regression_indicator,-0.003946,negative,CHC
lineup_woba_top3_away,0.003473,positive,CHC
sp_k9_home,0.003458,positive,CHC
sp_era_home,0.003392,positive,CHC
lineup_woba_mean_diff,0.003219,positive,CHC
lineup_woba_top3_diff,0.003199,positive,CHC
team_exitvelo_diff,0.002945,positive,CHC
bullpen_whip_10g_home,-0.002911,negative,CHC
team_barrel_diff,0.002825,positive,CHC
sp_xwoba_home,0.002809,positive,CHC
team_hardhit_diff,-0.002781,negative,CHC
lineup_woba_std_diff,-0.002724,negative,CHC
sp_era_away,0.002334,positive,CHC
bullpen_whip_diff,-0.002026,negative,CHC
sp_xwoba_away,0.001986,positive,CHC
park_factor_slug_diff,-0.001958,negative,CHC
bullpen_whip_3g_diff,-0.001806,negative,CHC
woba_30g_home,0.001767,positive,CHC
sp_xwoba_vs_l_diff,-0.001583,negative,CHC
sp_k9_5g_diff,-0.001556,negative,CHC
win_pct_diff,0.001509,positive,CHC
home_win_pct,0.001483,positive,CHC
woba_30g_diff,0.001264,positive,CHC
lineup_woba_top3_home,0.001253,positive,CHC
team_exitvelo_15g_home,0.00111,positive,CHC
home_elo,-0.000982,negative,CHC
team_barrel_15g_home,0.000959,positive,CHC
elo_diff,0.000903,positive,CHC
sp_k9_diff,0.000845,positive,CHC
bullpen_whip_10g_away,-0.000615,negative,CHC
team_barrel_15g_away,0.000473,positive,CHC
woba_30g_away,-0.000462,negative,CHC
wind_advantage_flyball_factor,0.000427,positive,CHC
lineup_depth_multiplier,-0.000356,negative,CHC
travel_fatigue_diff,0.000299,positive,CHC
dome_is_neutral,-0.00023,negative,CHC
ace_efficiency_factor,-0.000186,negative,CHC
bullpen_whip_3g_away,-6.3e-05,negative,CHC
closer_availability_diff,-5e-06,negative,CHC
rest_days_diff,1e-06,positive,CHC
is_home,-0.0,negative,CHC
