feature,shap_value,signed_effect,perspective_team
away_team_id,0.157692,positive,PIT
run_margin_diff,0.106107,positive,PIT
lineup_woba_mean_away,-0.02197,negative,PIT
bullpen_whip_3g_home,0.021088,positive,PIT
away_elo,0.017671,positive,PIT
home_team_id,-0.016003,negative,PIT
air_density_velocity_boost,-0.015273,negative,PIT
away_win_pct,0.012093,positive,PIT
lineup_woba_mean_diff,-0.01146,negative,PIT
woba_30g_away,-0.011377,negative,PIT
team_exitvelo_diff,-0.011067,negative,PIT
sp_fbvelo_diff,-0.011033,negative,PIT
bullpen_meltdown_risk,-0.010624,negative,PIT
team_barrel_diff,-0.008945,negative,PIT
sp_era_diff,-0.007168,negative,PIT
team_exitvelo_15g_home,-0.006605,negative,PIT
sp_era_5g_diff,-0.005727,negative,PIT
pitcher_regression_indicator,0.005677,positive,PIT
team_barrel_15g_away,0.005526,positive,PIT
sp_k9_diff,0.00511,positive,PIT
lineup_handedness_matchup_advantage,0.004036,positive,PIT
sp_xwoba_diff,-0.003766,negative,PIT
bullpen_whip_3g_diff,0.003755,positive,PIT
team_exitvelo_15g_away,-0.003737,negative,PIT
elo_diff,0.003534,positive,PIT
home_elo,0.003178,positive,PIT
lineup_woba_std_diff,0.003177,positive,PIT
sp_k9_5g_diff,-0.003025,negative,PIT
bullpen_pitches_diff,0.002573,positive,PIT
sp_xwoba_away,-0.002442,negative,PIT
sp_era_home,0.002388,positive,PIT
lineup_woba_top3_diff,-0.002364,negative,PIT
bullpen_whip_diff,-0.002361,negative,PIT
sp_whiff_diff,-0.00229,negative,PIT
sp_k9_away,0.002215,positive,PIT
lineup_depth_multiplier,0.002193,positive,PIT
bullpen_whip_10g_home,0.001954,positive,PIT
lineup_woba_mean_home,0.001785,positive,PIT
team_hardhit_diff,0.001737,positive,PIT
sp_xwoba_vs_l_diff,0.001689,positive,PIT
woba_30g_diff,0.001393,positive,PIT
bullpen_whip_3g_away,-0.001317,negative,PIT
sp_k9_home,-0.00117,negative,PIT
sp_xwoba_home,-0.00111,negative,PIT
woba_30g_home,0.000988,positive,PIT
win_pct_diff,0.000943,positive,PIT
lineup_woba_top3_away,0.00086,positive,PIT
team_barrel_15g_home,0.000668,positive,PIT
wind_advantage_flyball_factor,0.000654,positive,PIT
sp_fbpct_diff,-0.000629,negative,PIT
bullpen_whip_10g_away,0.00032,positive,PIT
park_factor_slug_diff,-0.000284,negative,PIT
sp_era_away,-0.000213,negative,PIT
ace_efficiency_factor,0.000183,positive,PIT
home_win_pct,-0.000116,negative,PIT
lineup_woba_top3_home,-0.000113,negative,PIT
dome_is_neutral,-4.7e-05,negative,PIT
travel_fatigue_diff,3.6e-05,positive,PIT
closer_availability_diff,4e-06,positive,PIT
rest_days_diff,-2e-06,negative,PIT
is_home,0.0,negative,PIT
