feature,shap_value,signed_effect,perspective_team
home_team_id,0.106655,positive,TEX
away_team_id,-0.020937,negative,TEX
bullpen_whip_10g_home,-0.020545,negative,TEX
sp_k9_away,-0.016386,negative,TEX
bullpen_whip_diff,-0.015577,negative,TEX
bullpen_meltdown_risk,0.013008,positive,TEX
lineup_handedness_matchup_advantage,-0.009577,negative,TEX
away_win_pct,-0.008376,negative,TEX
team_exitvelo_diff,0.008163,positive,TEX
run_margin_diff,-0.007515,negative,TEX
sp_fbvelo_diff,0.007344,positive,TEX
sp_era_5g_diff,0.005839,positive,TEX
team_exitvelo_15g_away,0.005818,positive,TEX
bullpen_pitches_diff,0.005755,positive,TEX
air_density_velocity_boost,0.005753,positive,TEX
win_pct_diff,0.004842,positive,TEX
team_hardhit_diff,0.004232,positive,TEX
lineup_woba_mean_diff,-0.004184,negative,TEX
bullpen_whip_3g_home,0.003934,positive,TEX
sp_k9_5g_diff,-0.003741,negative,TEX
sp_k9_home,-0.003591,negative,TEX
sp_fbpct_diff,-0.003322,negative,TEX
woba_30g_away,0.003186,positive,TEX
sp_k9_diff,-0.00315,negative,TEX
pitcher_regression_indicator,-0.002839,negative,TEX
sp_xwoba_diff,-0.002418,negative,TEX
sp_xwoba_away,-0.002388,negative,TEX
lineup_woba_std_diff,0.002291,positive,TEX
park_factor_slug_diff,-0.002246,negative,TEX
elo_diff,-0.002046,negative,TEX
team_barrel_15g_home,-0.001875,negative,TEX
team_barrel_diff,0.001849,positive,TEX
lineup_woba_top3_diff,-0.001714,negative,TEX
sp_era_home,-0.001699,negative,TEX
home_win_pct,-0.0015,negative,TEX
bullpen_whip_3g_diff,-0.001258,negative,TEX
lineup_depth_multiplier,0.001116,positive,TEX
woba_30g_home,0.001101,positive,TEX
sp_xwoba_home,0.000917,positive,TEX
wind_advantage_flyball_factor,0.000906,positive,TEX
away_elo,0.000892,positive,TEX
sp_era_away,-0.00087,negative,TEX
lineup_woba_top3_away,0.000741,positive,TEX
lineup_woba_mean_away,0.000722,positive,TEX
bullpen_whip_3g_away,0.000697,positive,TEX
sp_xwoba_vs_l_diff,-0.000676,negative,TEX
home_elo,0.000561,positive,TEX
lineup_woba_mean_home,-0.000522,negative,TEX
woba_30g_diff,-0.00038,negative,TEX
sp_whiff_diff,-0.000371,negative,TEX
ace_efficiency_factor,0.000357,positive,TEX
team_barrel_15g_away,0.000315,positive,TEX
travel_fatigue_diff,-0.000261,negative,TEX
bullpen_whip_10g_away,0.000246,positive,TEX
dome_is_neutral,0.000175,positive,TEX
sp_era_diff,8.1e-05,positive,TEX
team_exitvelo_15g_home,-1.9e-05,negative,TEX
lineup_woba_top3_home,1.3e-05,positive,TEX
rest_days_diff,-1e-06,negative,TEX
is_home,0.0,negative,TEX
closer_availability_diff,-0.0,negative,TEX
