feature,shap_value,signed_effect,perspective_team
home_team_id,0.190734,positive,LAD
run_margin_diff,0.068804,positive,LAD
away_team_id,0.058339,positive,LAD
lineup_woba_std_diff,-0.0132,negative,LAD
sp_era_home,0.00987,positive,LAD
sp_k9_away,0.009544,positive,LAD
lineup_handedness_matchup_advantage,-0.009493,negative,LAD
bullpen_whip_diff,0.009228,positive,LAD
win_pct_diff,0.008069,positive,LAD
team_exitvelo_15g_away,0.00701,positive,LAD
team_exitvelo_diff,0.006873,positive,LAD
sp_fbvelo_diff,0.006275,positive,LAD
sp_era_5g_diff,-0.005809,negative,LAD
away_win_pct,-0.005321,negative,LAD
sp_fbpct_diff,0.005187,positive,LAD
air_density_velocity_boost,0.004736,positive,LAD
home_win_pct,0.004691,positive,LAD
ace_efficiency_factor,-0.004653,negative,LAD
pitcher_regression_indicator,0.004587,positive,LAD
sp_xwoba_vs_l_diff,0.004436,positive,LAD
bullpen_whip_3g_home,0.004338,positive,LAD
bullpen_pitches_diff,-0.003859,negative,LAD
woba_30g_away,-0.003853,negative,LAD
team_hardhit_diff,0.003762,positive,LAD
sp_k9_home,-0.003725,negative,LAD
team_barrel_diff,-0.003615,negative,LAD
bullpen_whip_10g_away,0.00357,positive,LAD
lineup_woba_mean_diff,0.003282,positive,LAD
bullpen_whip_10g_home,0.00328,positive,LAD
sp_xwoba_diff,-0.003274,negative,LAD
sp_k9_diff,-0.002684,negative,LAD
sp_era_diff,-0.002517,negative,LAD
team_barrel_15g_away,-0.002303,negative,LAD
bullpen_meltdown_risk,0.002174,positive,LAD
sp_xwoba_away,-0.001931,negative,LAD
lineup_woba_top3_diff,-0.001901,negative,LAD
sp_era_away,-0.001845,negative,LAD
sp_whiff_diff,-0.001825,negative,LAD
home_elo,-0.001777,negative,LAD
woba_30g_home,0.001504,positive,LAD
sp_k9_5g_diff,0.001363,positive,LAD
lineup_depth_multiplier,0.001234,positive,LAD
bullpen_whip_3g_diff,0.001134,positive,LAD
park_factor_slug_diff,-0.000849,negative,LAD
team_barrel_15g_home,-0.000847,negative,LAD
team_exitvelo_15g_home,-0.000758,negative,LAD
lineup_woba_top3_home,-0.000658,negative,LAD
woba_30g_diff,0.000632,positive,LAD
sp_xwoba_home,-0.000598,negative,LAD
lineup_woba_top3_away,-0.000399,negative,LAD
lineup_woba_mean_away,0.000345,positive,LAD
elo_diff,0.000313,positive,LAD
travel_fatigue_diff,-0.000286,negative,LAD
bullpen_whip_3g_away,0.000211,positive,LAD
wind_advantage_flyball_factor,0.00012,positive,LAD
lineup_woba_mean_home,9.8e-05,positive,LAD
away_elo,7.7e-05,positive,LAD
dome_is_neutral,-4.9e-05,negative,LAD
closer_availability_diff,5e-06,positive,LAD
rest_days_diff,1e-06,positive,LAD
is_home,0.0,negative,LAD
