feature,shap_value,signed_effect,perspective_team
away_team_id,-0.077364,negative,KC
run_margin_diff,-0.024882,negative,KC
bullpen_whip_3g_home,0.011812,positive,KC
bullpen_whip_10g_home,0.010313,positive,KC
sp_xwoba_away,-0.009461,negative,KC
sp_era_diff,0.008005,positive,KC
bullpen_meltdown_risk,-0.006991,negative,KC
away_win_pct,-0.006955,negative,KC
bullpen_whip_3g_diff,0.006757,positive,KC
lineup_depth_multiplier,0.006721,positive,KC
sp_xwoba_home,0.006702,positive,KC
lineup_handedness_matchup_advantage,-0.006114,negative,KC
bullpen_pitches_diff,0.005852,positive,KC
team_exitvelo_15g_home,0.005456,positive,KC
sp_xwoba_diff,0.005431,positive,KC
wind_advantage_flyball_factor,0.005391,positive,KC
team_hardhit_diff,0.005362,positive,KC
sp_xwoba_vs_l_diff,0.004942,positive,KC
team_exitvelo_diff,0.004513,positive,KC
team_barrel_diff,-0.004453,negative,KC
team_exitvelo_15g_away,0.004223,positive,KC
woba_30g_away,-0.004114,negative,KC
home_elo,0.004082,positive,KC
home_win_pct,-0.003934,negative,KC
home_team_id,0.003442,positive,KC
sp_k9_home,-0.003437,negative,KC
pitcher_regression_indicator,0.003139,positive,KC
lineup_woba_mean_away,0.002991,positive,KC
sp_era_away,0.002833,positive,KC
sp_fbpct_diff,-0.002472,negative,KC
lineup_woba_top3_diff,0.002442,positive,KC
lineup_woba_std_diff,0.002258,positive,KC
air_density_velocity_boost,0.00213,positive,KC
team_barrel_15g_home,-0.002114,negative,KC
sp_fbvelo_diff,0.00209,positive,KC
woba_30g_home,0.002065,positive,KC
park_factor_slug_diff,-0.002059,negative,KC
lineup_woba_top3_home,0.00184,positive,KC
lineup_woba_mean_diff,0.001477,positive,KC
away_elo,-0.001411,negative,KC
win_pct_diff,-0.001341,negative,KC
bullpen_whip_10g_away,-0.001171,negative,KC
sp_era_home,0.00109,positive,KC
sp_k9_5g_diff,0.000853,positive,KC
sp_k9_diff,0.000792,positive,KC
bullpen_whip_3g_away,-0.000661,negative,KC
lineup_woba_top3_away,-0.00061,negative,KC
sp_k9_away,0.000606,positive,KC
elo_diff,-0.000524,negative,KC
sp_era_5g_diff,0.000362,positive,KC
woba_30g_diff,-0.000322,negative,KC
bullpen_whip_diff,0.000223,positive,KC
team_barrel_15g_away,-0.000204,negative,KC
lineup_woba_mean_home,-0.000197,negative,KC
dome_is_neutral,-0.000135,negative,KC
sp_whiff_diff,0.000112,positive,KC
travel_fatigue_diff,-1.7e-05,negative,KC
ace_efficiency_factor,-1.6e-05,negative,KC
closer_availability_diff,-5e-06,negative,KC
rest_days_diff,-4e-06,negative,KC
is_home,0.0,negative,KC
