feature,shap_value,signed_effect,perspective_team
away_team_id,0.123657,positive,CLE
home_team_id,0.107684,positive,CLE
sp_xwoba_vs_l_diff,-0.031955,negative,CLE
run_margin_diff,-0.030439,negative,CLE
sp_fbpct_diff,-0.017539,negative,CLE
bullpen_meltdown_risk,0.017244,positive,CLE
sp_era_5g_diff,0.016551,positive,CLE
sp_k9_away,0.010501,positive,CLE
bullpen_whip_diff,0.00935,positive,CLE
sp_k9_diff,0.007323,positive,CLE
team_exitvelo_diff,-0.007015,negative,CLE
lineup_handedness_matchup_advantage,0.006983,positive,CLE
pitcher_regression_indicator,-0.00575,negative,CLE
sp_era_home,0.005709,positive,CLE
away_win_pct,0.005148,positive,CLE
home_win_pct,0.004887,positive,CLE
bullpen_whip_10g_home,-0.004469,negative,CLE
woba_30g_home,-0.00445,negative,CLE
air_density_velocity_boost,-0.004421,negative,CLE
lineup_woba_mean_home,-0.004362,negative,CLE
sp_fbvelo_diff,-0.00402,negative,CLE
lineup_depth_multiplier,-0.004015,negative,CLE
home_elo,0.003934,positive,CLE
sp_k9_home,0.003825,positive,CLE
bullpen_whip_3g_home,-0.003228,negative,CLE
team_exitvelo_15g_away,-0.003117,negative,CLE
away_elo,0.002903,positive,CLE
sp_xwoba_away,0.002859,positive,CLE
sp_xwoba_home,-0.002786,negative,CLE
sp_era_away,0.002721,positive,CLE
team_barrel_diff,-0.002515,negative,CLE
lineup_woba_top3_diff,0.002384,positive,CLE
team_hardhit_diff,-0.002277,negative,CLE
lineup_woba_std_diff,-0.002015,negative,CLE
woba_30g_away,-0.002015,negative,CLE
sp_xwoba_diff,0.00176,positive,CLE
bullpen_whip_10g_away,0.00172,positive,CLE
bullpen_pitches_diff,0.001324,positive,CLE
team_exitvelo_15g_home,0.001272,positive,CLE
lineup_woba_top3_away,-0.001184,negative,CLE
sp_k9_5g_diff,-0.000978,negative,CLE
lineup_woba_mean_diff,-0.000937,negative,CLE
park_factor_slug_diff,0.000893,positive,CLE
wind_advantage_flyball_factor,-0.00089,negative,CLE
team_barrel_15g_home,0.000886,positive,CLE
bullpen_whip_3g_diff,-0.000811,negative,CLE
sp_era_diff,-0.000791,negative,CLE
lineup_woba_mean_away,-0.000781,negative,CLE
team_barrel_15g_away,-0.000763,negative,CLE
bullpen_whip_3g_away,0.000736,positive,CLE
lineup_woba_top3_home,-0.000453,negative,CLE
ace_efficiency_factor,-0.00045,negative,CLE
sp_whiff_diff,0.000429,positive,CLE
woba_30g_diff,0.00041,positive,CLE
win_pct_diff,0.00037,positive,CLE
travel_fatigue_diff,0.000275,positive,CLE
elo_diff,-0.000273,negative,CLE
closer_availability_diff,8.6e-05,positive,CLE
dome_is_neutral,8.1e-05,positive,CLE
is_home,-0.0,negative,CLE
rest_days_diff,0.0,negative,CLE
