feature,shap_value,signed_effect,perspective_team
away_team_id,0.054517,positive,DET
home_team_id,-0.04085,negative,DET
bullpen_whip_3g_home,0.036013,positive,DET
sp_era_5g_diff,0.029077,positive,DET
bullpen_whip_diff,-0.011667,negative,DET
run_margin_diff,-0.011294,negative,DET
sp_k9_home,-0.009536,negative,DET
bullpen_pitches_diff,0.007877,positive,DET
sp_k9_away,-0.007692,negative,DET
bullpen_whip_10g_home,-0.007685,negative,DET
woba_30g_diff,-0.007166,negative,DET
elo_diff,-0.00634,negative,DET
sp_fbvelo_diff,0.006214,positive,DET
exp2_cat_k_fastball_diff,0.005986,positive,DET
sp_xwoba_away,-0.005756,negative,DET
lineup_woba_top3_home,0.005617,positive,DET
pitcher_regression_indicator,-0.005518,negative,DET
bullpen_meltdown_risk,0.005192,positive,DET
lineup_handedness_matchup_advantage,0.004964,positive,DET
away_win_pct,-0.00478,negative,DET
sp_era_diff,0.004122,positive,DET
woba_30g_home,-0.004065,negative,DET
sp_era_home,0.003789,positive,DET
team_barrel_15g_away,-0.00371,negative,DET
sp_xwoba_home,0.003551,positive,DET
away_elo,-0.003348,negative,DET
team_hardhit_diff,0.003156,positive,DET
woba_30g_away,0.003043,positive,DET
lineup_woba_std_diff,-0.003039,negative,DET
team_barrel_diff,-0.003013,negative,DET
exp2_centered_k_diff,0.002952,positive,DET
team_exitvelo_15g_away,0.002938,positive,DET
win_pct_diff,-0.002924,negative,DET
air_density_velocity_boost,0.002874,positive,DET
exp2_cat_k_breaking_diff,-0.002542,negative,DET
lineup_woba_top3_diff,-0.002335,negative,DET
home_elo,-0.002291,negative,DET
team_exitvelo_15g_home,-0.002178,negative,DET
lineup_woba_mean_away,0.002073,positive,DET
lineup_depth_multiplier,0.001739,positive,DET
team_barrel_15g_home,-0.001574,negative,DET
home_win_pct,-0.00145,negative,DET
team_exitvelo_diff,-0.001163,negative,DET
lineup_woba_mean_diff,0.00116,positive,DET
exp2_cat_xwoba_offspeed_diff,-0.000997,negative,DET
sp_era_away,0.000951,positive,DET
wind_advantage_flyball_factor,0.000938,positive,DET
exp2_cat_xwoba_fastball_diff,-0.000716,negative,DET
lineup_woba_mean_home,-0.000626,negative,DET
bullpen_whip_3g_diff,0.00057,positive,DET
bullpen_whip_10g_away,-0.000332,negative,DET
park_factor_slug_diff,-0.000327,negative,DET
exp2_cat_platoon_k_fastball_diff,-0.00026,negative,DET
exp2_cat_k_offspeed_diff,-0.000234,negative,DET
ace_efficiency_factor,-0.000176,negative,DET
bullpen_whip_3g_away,-0.000136,negative,DET
lineup_woba_top3_away,8.9e-05,positive,DET
dome_is_neutral,-7.2e-05,negative,DET
travel_fatigue_diff,-3.6e-05,negative,DET
exp2_cat_xwoba_breaking_diff,1.8e-05,positive,DET
rest_days_diff,-4e-06,negative,DET
closer_availability_diff,1e-06,positive,DET
is_home,0.0,negative,DET
