feature,shap_value,signed_effect,perspective_team
home_team_id,0.198548,positive,TOR
air_density_velocity_boost,0.052827,positive,TOR
lineup_woba_mean_away,0.029554,positive,TOR
sp_fbvelo_diff,0.022151,positive,TOR
run_margin_diff,0.01957,positive,TOR
bullpen_whip_10g_home,-0.013782,negative,TOR
sp_era_diff,0.011821,positive,TOR
bullpen_whip_3g_diff,-0.011503,negative,TOR
bullpen_whip_3g_home,-0.010475,negative,TOR
pitcher_regression_indicator,0.010079,positive,TOR
sp_era_5g_diff,0.009289,positive,TOR
team_barrel_15g_home,-0.008973,negative,TOR
sp_era_away,0.008804,positive,TOR
elo_diff,0.008535,positive,TOR
lineup_handedness_matchup_advantage,0.007633,positive,TOR
sp_xwoba_home,-0.006949,negative,TOR
sp_k9_diff,0.006905,positive,TOR
lineup_depth_multiplier,0.00664,positive,TOR
team_exitvelo_diff,-0.006471,negative,TOR
bullpen_pitches_diff,-0.006022,negative,TOR
away_team_id,-0.004975,negative,TOR
sp_xwoba_away,0.004945,positive,TOR
sp_whiff_diff,0.004662,positive,TOR
team_exitvelo_15g_away,-0.00462,negative,TOR
lineup_woba_top3_away,-0.004551,negative,TOR
lineup_woba_mean_home,-0.003666,negative,TOR
lineup_woba_top3_diff,-0.003622,negative,TOR
team_barrel_diff,-0.003578,negative,TOR
sp_xwoba_diff,0.00342,positive,TOR
bullpen_whip_3g_away,0.003414,positive,TOR
bullpen_meltdown_risk,0.003263,positive,TOR
wind_advantage_flyball_factor,-0.00316,negative,TOR
sp_k9_away,0.003006,positive,TOR
sp_fbpct_diff,0.00299,positive,TOR
park_factor_slug_diff,0.002598,positive,TOR
lineup_woba_top3_home,-0.002277,negative,TOR
away_win_pct,0.002155,positive,TOR
sp_k9_home,0.002137,positive,TOR
sp_xwoba_vs_l_diff,0.002023,positive,TOR
woba_30g_home,-0.001847,negative,TOR
team_exitvelo_15g_home,0.001771,positive,TOR
home_elo,0.001632,positive,TOR
away_elo,0.001618,positive,TOR
woba_30g_away,-0.001383,negative,TOR
sp_k9_5g_diff,0.001199,positive,TOR
lineup_woba_std_diff,0.001022,positive,TOR
win_pct_diff,0.001001,positive,TOR
team_barrel_15g_away,0.000881,positive,TOR
bullpen_whip_diff,0.000854,positive,TOR
lineup_woba_mean_diff,0.000517,positive,TOR
bullpen_whip_10g_away,0.000411,positive,TOR
woba_30g_diff,-0.000388,negative,TOR
sp_era_home,0.000358,positive,TOR
home_win_pct,0.000287,positive,TOR
team_hardhit_diff,-0.000161,negative,TOR
ace_efficiency_factor,0.00014,positive,TOR
dome_is_neutral,0.000121,positive,TOR
travel_fatigue_diff,2.8e-05,positive,TOR
rest_days_diff,4e-06,positive,TOR
closer_availability_diff,-1e-06,negative,TOR
is_home,-0.0,negative,TOR
