feature,shap_value,signed_effect,perspective_team
home_team_id,0.148968,positive,SD
run_margin_diff,0.137483,positive,SD
away_team_id,0.06218,positive,SD
bullpen_whip_3g_home,0.038234,positive,SD
lineup_woba_std_diff,-0.023673,negative,SD
sp_era_5g_diff,0.014156,positive,SD
bullpen_pitches_diff,0.01243,positive,SD
bullpen_meltdown_risk,-0.011221,negative,SD
away_win_pct,-0.010711,negative,SD
sp_era_home,-0.00991,negative,SD
elo_diff,0.008996,positive,SD
exp2_cat_k_fastball_diff,0.008889,positive,SD
bullpen_whip_diff,0.008564,positive,SD
exp2_cat_k_breaking_diff,-0.007755,negative,SD
sp_k9_away,0.007177,positive,SD
home_elo,-0.005888,negative,SD
lineup_handedness_matchup_advantage,0.005461,positive,SD
team_exitvelo_diff,0.005225,positive,SD
sp_xwoba_home,0.004983,positive,SD
sp_era_diff,-0.004914,negative,SD
bullpen_whip_10g_home,0.00469,positive,SD
sp_fbvelo_diff,0.004268,positive,SD
lineup_depth_multiplier,0.004267,positive,SD
team_hardhit_diff,0.003276,positive,SD
lineup_woba_mean_home,0.003107,positive,SD
lineup_woba_mean_away,0.002729,positive,SD
air_density_velocity_boost,0.002458,positive,SD
team_exitvelo_15g_away,0.002347,positive,SD
bullpen_whip_3g_diff,0.00225,positive,SD
win_pct_diff,0.002085,positive,SD
away_elo,-0.002,negative,SD
exp2_centered_k_diff,0.002,positive,SD
wind_advantage_flyball_factor,0.001867,positive,SD
team_barrel_diff,0.001821,positive,SD
sp_xwoba_away,-0.001399,negative,SD
lineup_woba_top3_home,0.001273,positive,SD
bullpen_whip_10g_away,0.00127,positive,SD
woba_30g_away,-0.001113,negative,SD
team_barrel_15g_home,-0.00104,negative,SD
exp2_cat_xwoba_offspeed_diff,-0.000969,negative,SD
lineup_woba_mean_diff,0.000918,positive,SD
sp_era_away,0.000916,positive,SD
exp2_cat_k_offspeed_diff,-0.000893,negative,SD
lineup_woba_top3_away,0.000664,positive,SD
pitcher_regression_indicator,0.000663,positive,SD
team_exitvelo_15g_home,-0.000597,negative,SD
park_factor_slug_diff,0.000581,positive,SD
woba_30g_diff,0.000574,positive,SD
home_win_pct,0.000519,positive,SD
exp2_cat_xwoba_breaking_diff,0.000449,positive,SD
exp2_cat_xwoba_fastball_diff,-0.000395,negative,SD
exp2_cat_platoon_k_fastball_diff,-0.000335,negative,SD
sp_k9_home,0.000327,positive,SD
lineup_woba_top3_diff,-0.00027,negative,SD
team_barrel_15g_away,0.00021,positive,SD
ace_efficiency_factor,0.000172,positive,SD
bullpen_whip_3g_away,-0.000136,negative,SD
woba_30g_home,4.6e-05,positive,SD
dome_is_neutral,-2.5e-05,negative,SD
travel_fatigue_diff,1e-06,positive,SD
is_home,0.0,negative,SD
rest_days_diff,-0.0,negative,SD
closer_availability_diff,0.0,negative,SD
