feature,shap_value,signed_effect,perspective_team
home_team_id,0.145627,positive,LAD
run_margin_diff,0.125849,positive,LAD
sp_xwoba_away,0.032096,positive,LAD
bullpen_whip_3g_home,0.019499,positive,LAD
away_team_id,-0.019446,negative,LAD
bullpen_whip_diff,0.01558,positive,LAD
sp_era_5g_diff,0.012632,positive,LAD
bullpen_meltdown_risk,0.009489,positive,LAD
bullpen_pitches_diff,-0.008237,negative,LAD
exp2_cat_k_fastball_diff,0.007211,positive,LAD
bullpen_whip_10g_home,0.007194,positive,LAD
sp_fbvelo_diff,0.006951,positive,LAD
away_win_pct,-0.006932,negative,LAD
home_win_pct,-0.006059,negative,LAD
sp_era_diff,0.005697,positive,LAD
lineup_depth_multiplier,0.005104,positive,LAD
sp_era_home,0.004994,positive,LAD
sp_xwoba_home,0.004798,positive,LAD
team_barrel_diff,-0.004388,negative,LAD
pitcher_regression_indicator,-0.00412,negative,LAD
lineup_woba_std_diff,0.004057,positive,LAD
air_density_velocity_boost,0.00392,positive,LAD
sp_k9_away,0.003135,positive,LAD
exp2_cat_xwoba_breaking_diff,0.003131,positive,LAD
woba_30g_away,-0.002741,negative,LAD
win_pct_diff,0.00269,positive,LAD
home_elo,0.00258,positive,LAD
team_exitvelo_15g_away,0.002309,positive,LAD
wind_advantage_flyball_factor,0.001994,positive,LAD
team_hardhit_diff,0.001826,positive,LAD
sp_k9_home,0.001724,positive,LAD
exp2_cat_xwoba_offspeed_diff,-0.001679,negative,LAD
away_elo,-0.001484,negative,LAD
lineup_woba_top3_diff,-0.001459,negative,LAD
bullpen_whip_10g_away,0.001377,positive,LAD
team_barrel_15g_away,-0.001341,negative,LAD
team_exitvelo_15g_home,-0.001233,negative,LAD
elo_diff,0.00113,positive,LAD
lineup_woba_top3_home,0.001074,positive,LAD
exp2_cat_k_breaking_diff,-0.000963,negative,LAD
bullpen_whip_3g_diff,-0.000946,negative,LAD
sp_era_away,0.000888,positive,LAD
exp2_cat_k_offspeed_diff,-0.000859,negative,LAD
exp2_centered_k_diff,0.000818,positive,LAD
exp2_cat_platoon_k_fastball_diff,-0.000787,negative,LAD
lineup_woba_mean_home,0.000782,positive,LAD
lineup_woba_mean_away,0.000768,positive,LAD
woba_30g_diff,0.000715,positive,LAD
team_barrel_15g_home,0.000606,positive,LAD
lineup_handedness_matchup_advantage,0.000576,positive,LAD
exp2_cat_xwoba_fastball_diff,-0.000332,negative,LAD
lineup_woba_top3_away,0.000251,positive,LAD
ace_efficiency_factor,-0.000249,negative,LAD
woba_30g_home,-0.000245,negative,LAD
lineup_woba_mean_diff,0.000198,positive,LAD
team_exitvelo_diff,0.000184,positive,LAD
park_factor_slug_diff,0.000163,positive,LAD
bullpen_whip_3g_away,-8.2e-05,negative,LAD
closer_availability_diff,6.7e-05,positive,LAD
dome_is_neutral,-3.8e-05,negative,LAD
travel_fatigue_diff,-1.1e-05,negative,LAD
rest_days_diff,-4e-06,negative,LAD
is_home,0.0,negative,LAD
