feature,shap_value,signed_effect,perspective_team
away_team_id,0.180539,positive,BOS
run_margin_diff,0.126062,positive,BOS
bullpen_whip_3g_home,0.03076,positive,BOS
lineup_woba_mean_diff,-0.026005,negative,BOS
bullpen_whip_10g_home,-0.023217,negative,BOS
lineup_woba_mean_away,-0.017716,negative,BOS
sp_era_5g_diff,-0.016636,negative,BOS
home_team_id,-0.014343,negative,BOS
bullpen_meltdown_risk,-0.013318,negative,BOS
sp_k9_away,-0.011584,negative,BOS
away_win_pct,0.010456,positive,BOS
sp_xwoba_home,-0.009199,negative,BOS
sp_fbvelo_diff,0.009027,positive,BOS
elo_diff,0.007353,positive,BOS
air_density_velocity_boost,0.004829,positive,BOS
exp2_cat_platoon_k_fastball_diff,-0.004639,negative,BOS
exp2_cat_k_breaking_diff,-0.004473,negative,BOS
sp_era_diff,-0.004351,negative,BOS
bullpen_pitches_diff,0.004343,positive,BOS
away_elo,0.003583,positive,BOS
sp_era_home,-0.003562,negative,BOS
woba_30g_home,0.00354,positive,BOS
ace_efficiency_factor,0.003394,positive,BOS
wind_advantage_flyball_factor,0.00324,positive,BOS
lineup_woba_mean_home,0.003193,positive,BOS
team_exitvelo_15g_away,0.002686,positive,BOS
bullpen_whip_3g_away,-0.002562,negative,BOS
home_elo,0.002418,positive,BOS
lineup_woba_std_diff,-0.002321,negative,BOS
team_exitvelo_diff,-0.002309,negative,BOS
team_exitvelo_15g_home,-0.002093,negative,BOS
pitcher_regression_indicator,-0.002033,negative,BOS
bullpen_whip_3g_diff,0.001762,positive,BOS
team_barrel_15g_away,-0.001581,negative,BOS
bullpen_whip_10g_away,0.001544,positive,BOS
exp2_cat_xwoba_offspeed_diff,-0.001465,negative,BOS
lineup_woba_top3_home,0.001316,positive,BOS
team_hardhit_diff,0.001208,positive,BOS
team_barrel_15g_home,-0.001158,negative,BOS
lineup_woba_top3_away,0.001153,positive,BOS
sp_k9_home,-0.001094,negative,BOS
exp2_cat_k_fastball_diff,0.001089,positive,BOS
exp2_cat_k_offspeed_diff,-0.000945,negative,BOS
home_win_pct,0.000887,positive,BOS
lineup_depth_multiplier,0.000836,positive,BOS
win_pct_diff,-0.00082,negative,BOS
sp_xwoba_away,-0.00082,negative,BOS
sp_era_away,-0.000813,negative,BOS
lineup_woba_top3_diff,-0.000765,negative,BOS
exp2_centered_k_diff,0.000597,positive,BOS
exp2_cat_xwoba_breaking_diff,0.000554,positive,BOS
bullpen_whip_diff,0.000525,positive,BOS
woba_30g_away,0.000451,positive,BOS
lineup_handedness_matchup_advantage,-0.000414,negative,BOS
exp2_cat_xwoba_fastball_diff,-0.0003,negative,BOS
park_factor_slug_diff,-0.000226,negative,BOS
woba_30g_diff,0.000217,positive,BOS
team_barrel_diff,0.000146,positive,BOS
dome_is_neutral,-5.4e-05,negative,BOS
travel_fatigue_diff,4.3e-05,positive,BOS
rest_days_diff,-2e-06,negative,BOS
closer_availability_diff,2e-06,positive,BOS
is_home,0.0,negative,BOS
