feature,shap_value,signed_effect,perspective_team
home_team_id,-0.183409,negative,CWS
away_team_id,0.136927,positive,CWS
run_margin_diff,0.039218,positive,CWS
air_density_velocity_boost,-0.032571,negative,CWS
bullpen_whip_3g_home,0.025941,positive,CWS
sp_fbvelo_diff,-0.022019,negative,CWS
sp_era_5g_diff,-0.015362,negative,CWS
pitcher_regression_indicator,-0.01333,negative,CWS
team_exitvelo_15g_away,-0.012453,negative,CWS
sp_era_diff,0.011142,positive,CWS
team_exitvelo_diff,0.011089,positive,CWS
sp_era_home,0.010932,positive,CWS
bullpen_whip_3g_away,-0.00908,negative,CWS
bullpen_whip_3g_diff,0.009065,positive,CWS
team_barrel_15g_home,-0.005128,negative,CWS
team_barrel_diff,0.004505,positive,CWS
bullpen_whip_10g_home,0.004442,positive,CWS
lineup_handedness_matchup_advantage,0.004317,positive,CWS
away_elo,-0.003858,negative,CWS
sp_k9_away,0.003761,positive,CWS
away_win_pct,-0.003658,negative,CWS
team_exitvelo_15g_home,-0.003521,negative,CWS
woba_30g_home,0.003431,positive,CWS
elo_diff,-0.003396,negative,CWS
sp_k9_home,0.003241,positive,CWS
ace_efficiency_factor,-0.003141,negative,CWS
exp2_cat_platoon_k_fastball_diff,0.003011,positive,CWS
exp2_cat_k_breaking_diff,-0.002983,negative,CWS
lineup_woba_mean_home,0.00278,positive,CWS
home_win_pct,-0.002411,negative,CWS
bullpen_whip_diff,0.002329,positive,CWS
woba_30g_diff,0.002088,positive,CWS
lineup_woba_top3_away,0.002054,positive,CWS
bullpen_pitches_diff,-0.001869,negative,CWS
park_factor_slug_diff,0.001281,positive,CWS
exp2_cat_k_fastball_diff,-0.001215,negative,CWS
lineup_woba_mean_diff,0.001102,positive,CWS
team_hardhit_diff,0.000997,positive,CWS
lineup_woba_top3_home,0.000971,positive,CWS
exp2_cat_k_offspeed_diff,-0.000946,negative,CWS
home_elo,0.000917,positive,CWS
exp2_cat_xwoba_offspeed_diff,0.00091,positive,CWS
exp2_cat_xwoba_fastball_diff,-0.000795,negative,CWS
sp_xwoba_away,-0.000776,negative,CWS
bullpen_meltdown_risk,0.000732,positive,CWS
sp_xwoba_home,-0.000699,negative,CWS
lineup_depth_multiplier,-0.000591,negative,CWS
woba_30g_away,0.000566,positive,CWS
lineup_woba_mean_away,0.000482,positive,CWS
win_pct_diff,-0.000481,negative,CWS
sp_era_away,0.000425,positive,CWS
lineup_woba_std_diff,0.000394,positive,CWS
wind_advantage_flyball_factor,0.000381,positive,CWS
team_barrel_15g_away,0.000323,positive,CWS
bullpen_whip_10g_away,0.000183,positive,CWS
dome_is_neutral,-5.3e-05,negative,CWS
lineup_woba_top3_diff,-2.4e-05,negative,CWS
exp2_centered_k_diff,-2.1e-05,negative,CWS
exp2_cat_xwoba_breaking_diff,-1.1e-05,negative,CWS
closer_availability_diff,-1e-05,negative,CWS
travel_fatigue_diff,-8e-06,negative,CWS
rest_days_diff,1e-06,positive,CWS
is_home,0.0,negative,CWS
