feature,shap_value,signed_effect,perspective_team
home_team_id,0.094475,positive,ATL
run_margin_diff,-0.041583,negative,ATL
bullpen_whip_3g_home,0.029246,positive,ATL
away_team_id,-0.013822,negative,ATL
sp_era_home,0.010145,positive,ATL
sp_era_diff,0.009547,positive,ATL
air_density_velocity_boost,0.00894,positive,ATL
home_win_pct,0.007635,positive,ATL
bullpen_meltdown_risk,-0.007604,negative,ATL
bullpen_whip_3g_away,-0.007577,negative,ATL
pitcher_regression_indicator,0.004461,positive,ATL
bullpen_whip_10g_home,0.004135,positive,ATL
bullpen_whip_3g_diff,0.003975,positive,ATL
lineup_woba_mean_diff,-0.003958,negative,ATL
sp_k9_home,0.003952,positive,ATL
bullpen_pitches_diff,-0.003785,negative,ATL
woba_30g_diff,-0.003773,negative,ATL
sp_fbvelo_diff,0.003769,positive,ATL
team_exitvelo_diff,0.003713,positive,ATL
sp_k9_away,0.003689,positive,ATL
team_barrel_diff,0.003259,positive,ATL
woba_30g_home,-0.003167,negative,ATL
home_elo,0.003089,positive,ATL
lineup_handedness_matchup_advantage,0.002721,positive,ATL
lineup_woba_top3_home,-0.002539,negative,ATL
lineup_woba_top3_away,0.002187,positive,ATL
lineup_depth_multiplier,0.002135,positive,ATL
lineup_woba_std_diff,0.00197,positive,ATL
away_elo,-0.001934,negative,ATL
team_exitvelo_15g_away,0.0019,positive,ATL
away_win_pct,0.001801,positive,ATL
elo_diff,-0.001708,negative,ATL
exp2_cat_k_breaking_diff,-0.001538,negative,ATL
exp2_cat_k_offspeed_diff,-0.001517,negative,ATL
exp2_cat_platoon_k_fastball_diff,0.001479,positive,ATL
team_barrel_15g_home,0.001449,positive,ATL
sp_xwoba_home,-0.001294,negative,ATL
exp2_cat_xwoba_offspeed_diff,0.001088,positive,ATL
team_hardhit_diff,0.001066,positive,ATL
team_exitvelo_15g_home,0.001009,positive,ATL
exp2_centered_k_diff,0.000999,positive,ATL
sp_xwoba_away,0.000996,positive,ATL
park_factor_slug_diff,0.000963,positive,ATL
wind_advantage_flyball_factor,-0.000814,negative,ATL
sp_era_5g_diff,-0.000675,negative,ATL
lineup_woba_top3_diff,-0.000614,negative,ATL
ace_efficiency_factor,0.000554,positive,ATL
lineup_woba_mean_home,0.000498,positive,ATL
exp2_cat_xwoba_fastball_diff,-0.000458,negative,ATL
exp2_cat_k_fastball_diff,-0.00033,negative,ATL
lineup_woba_mean_away,-0.000142,negative,ATL
woba_30g_away,-0.000134,negative,ATL
team_barrel_15g_away,0.000134,positive,ATL
bullpen_whip_diff,-0.000121,negative,ATL
bullpen_whip_10g_away,0.000115,positive,ATL
win_pct_diff,-7.2e-05,negative,ATL
sp_era_away,6.6e-05,positive,ATL
dome_is_neutral,-4.8e-05,negative,ATL
exp2_cat_xwoba_breaking_diff,-4.4e-05,negative,ATL
travel_fatigue_diff,-1.1e-05,negative,ATL
rest_days_diff,-4e-06,negative,ATL
closer_availability_diff,-3e-06,negative,ATL
is_home,0.0,negative,ATL
