feature,shap_value,signed_effect,perspective_team
home_team_id,0.160815,positive,PHI
away_team_id,-0.114326,negative,PHI
run_margin_diff,0.10772,positive,PHI
sp_k9_away,-0.016288,negative,PHI
lineup_handedness_matchup_advantage,-0.015907,negative,PHI
sp_era_home,0.013453,positive,PHI
sp_era_5g_diff,0.009702,positive,PHI
sp_fbvelo_diff,-0.009159,negative,PHI
home_win_pct,0.009107,positive,PHI
bullpen_pitches_diff,-0.009062,negative,PHI
sp_xwoba_home,0.008856,positive,PHI
pitcher_regression_indicator,0.007231,positive,PHI
bullpen_whip_3g_away,-0.005172,negative,PHI
sp_era_diff,0.004996,positive,PHI
exp2_cat_k_breaking_diff,-0.004749,negative,PHI
away_win_pct,-0.004385,negative,PHI
sp_xwoba_away,-0.0043,negative,PHI
ace_efficiency_factor,-0.003664,negative,PHI
exp2_centered_k_diff,0.003321,positive,PHI
bullpen_meltdown_risk,-0.003208,negative,PHI
woba_30g_diff,0.003089,positive,PHI
bullpen_whip_3g_home,0.002875,positive,PHI
away_elo,-0.002852,negative,PHI
lineup_woba_mean_home,0.00282,positive,PHI
team_exitvelo_15g_away,0.002788,positive,PHI
sp_k9_home,0.002578,positive,PHI
lineup_woba_mean_away,0.002327,positive,PHI
elo_diff,0.00222,positive,PHI
team_barrel_15g_away,0.002152,positive,PHI
exp2_cat_xwoba_offspeed_diff,-0.002066,negative,PHI
air_density_velocity_boost,0.002013,positive,PHI
win_pct_diff,-0.001999,negative,PHI
woba_30g_home,0.001928,positive,PHI
bullpen_whip_10g_home,0.001875,positive,PHI
lineup_depth_multiplier,0.001822,positive,PHI
lineup_woba_mean_diff,0.001811,positive,PHI
home_elo,0.001747,positive,PHI
exp2_cat_k_offspeed_diff,-0.00157,negative,PHI
bullpen_whip_diff,-0.001563,negative,PHI
team_hardhit_diff,-0.001521,negative,PHI
sp_era_away,-0.001386,negative,PHI
park_factor_slug_diff,-0.001293,negative,PHI
lineup_woba_top3_home,0.001237,positive,PHI
wind_advantage_flyball_factor,0.001176,positive,PHI
exp2_cat_platoon_k_fastball_diff,-0.001167,negative,PHI
team_barrel_15g_home,0.001166,positive,PHI
team_barrel_diff,0.001074,positive,PHI
team_exitvelo_diff,0.001016,positive,PHI
exp2_cat_xwoba_fastball_diff,-0.000957,negative,PHI
bullpen_whip_10g_away,-0.000873,negative,PHI
woba_30g_away,-0.000816,negative,PHI
exp2_cat_k_fastball_diff,0.000672,positive,PHI
lineup_woba_top3_away,0.000505,positive,PHI
lineup_woba_std_diff,0.000251,positive,PHI
team_exitvelo_15g_home,0.000241,positive,PHI
bullpen_whip_3g_diff,-0.000219,negative,PHI
dome_is_neutral,-7e-05,negative,PHI
lineup_woba_top3_diff,4.2e-05,positive,PHI
travel_fatigue_diff,4.1e-05,positive,PHI
exp2_cat_xwoba_breaking_diff,3.1e-05,positive,PHI
closer_availability_diff,-1.4e-05,negative,PHI
rest_days_diff,7e-06,positive,PHI
is_home,0.0,negative,PHI
