feature,shap_value,signed_effect,perspective_team
home_team_id,-0.093674,negative,MIA
sp_xwoba_away,0.045625,positive,MIA
sp_era_5g_diff,0.031694,positive,MIA
lineup_handedness_matchup_advantage,-0.01896,negative,MIA
exp2_cat_k_breaking_diff,-0.010815,negative,MIA
team_barrel_15g_home,-0.010044,negative,MIA
bullpen_meltdown_risk,0.009474,positive,MIA
bullpen_whip_10g_home,-0.009016,negative,MIA
bullpen_whip_diff,-0.007916,negative,MIA
bullpen_pitches_diff,0.006345,positive,MIA
lineup_woba_mean_home,0.005777,positive,MIA
sp_fbvelo_diff,0.005702,positive,MIA
air_density_velocity_boost,0.005407,positive,MIA
sp_era_home,-0.005326,negative,MIA
run_margin_diff,0.005002,positive,MIA
home_win_pct,-0.004799,negative,MIA
pitcher_regression_indicator,0.004584,positive,MIA
exp2_centered_k_diff,0.004212,positive,MIA
team_exitvelo_15g_away,0.003501,positive,MIA
team_hardhit_diff,0.003358,positive,MIA
sp_xwoba_home,-0.003249,negative,MIA
woba_30g_diff,0.003115,positive,MIA
lineup_depth_multiplier,0.003028,positive,MIA
bullpen_whip_3g_diff,-0.002839,negative,MIA
bullpen_whip_3g_away,-0.002824,negative,MIA
team_barrel_diff,-0.002823,negative,MIA
away_win_pct,-0.002738,negative,MIA
lineup_woba_mean_diff,0.002697,positive,MIA
elo_diff,-0.002657,negative,MIA
sp_k9_away,0.002595,positive,MIA
bullpen_whip_3g_home,0.002556,positive,MIA
sp_k9_home,-0.002533,negative,MIA
lineup_woba_top3_home,-0.002442,negative,MIA
away_elo,0.002378,positive,MIA
ace_efficiency_factor,0.002307,positive,MIA
sp_era_diff,0.002095,positive,MIA
lineup_woba_std_diff,0.002022,positive,MIA
sp_era_away,0.002003,positive,MIA
woba_30g_home,0.001915,positive,MIA
home_elo,0.001725,positive,MIA
away_team_id,0.001567,positive,MIA
exp2_cat_xwoba_offspeed_diff,-0.001563,negative,MIA
exp2_cat_k_offspeed_diff,-0.001541,negative,MIA
exp2_cat_xwoba_fastball_diff,-0.001244,negative,MIA
woba_30g_away,-0.001236,negative,MIA
exp2_cat_k_fastball_diff,0.001219,positive,MIA
lineup_woba_mean_away,-0.001193,negative,MIA
exp2_cat_platoon_k_fastball_diff,-0.001172,negative,MIA
team_exitvelo_15g_home,-0.000919,negative,MIA
team_barrel_15g_away,0.000761,positive,MIA
lineup_woba_top3_diff,-0.000751,negative,MIA
lineup_woba_top3_away,0.000685,positive,MIA
wind_advantage_flyball_factor,0.000523,positive,MIA
park_factor_slug_diff,0.000193,positive,MIA
dome_is_neutral,0.000166,positive,MIA
bullpen_whip_10g_away,-0.000166,negative,MIA
team_exitvelo_diff,9.8e-05,positive,MIA
win_pct_diff,9.1e-05,positive,MIA
travel_fatigue_diff,-3.7e-05,negative,MIA
exp2_cat_xwoba_breaking_diff,-3.1e-05,negative,MIA
closer_availability_diff,-1.7e-05,negative,MIA
rest_days_diff,7e-06,positive,MIA
is_home,0.0,negative,MIA
